id,http://dbpedia.org/ontology/seasonNumber,http://dbpedia.org/ontology/abstract,https://www.scads.de/movieBenchmark/ontology/title,http://dbpedia.org/ontology/episodeNumber,entityUrl,http://dbpedia.org/ontology/releaseDate,https://www.scads.de/movieBenchmark/ontology/job,https://www.scads.de/movieBenchmark/ontology/name,https://www.scads.de/movieBenchmark/ontology/status,https://www.scads.de/movieBenchmark/ontology/company_type
23,0,"Koyomi and Yotsugi land at the base of the mountain, where they are surprisingly met by Ougi Oshino. She talks with Koyomi for a while about his current situation and his upcoming confrontation with Teori. Koyomi and Yotsugi begin their journey up the mountain. The two discuss how they will be able to rescue Koyomi's sisters and Suruga. Koyomi hopes that they'll be able to sneak past Teori and get them without him noticing, but Yotsugi is doubtful of that plan. She expects that Koyomi will have to convince Teori to let them go, as this is how Koyomi normally deals with his opponents. Yotsugi then briefly explains how she was created. Back during their college days, Yozuru, Teori, Meme, and Deishu Kaiki did a project to create and artificial shikigami from the corpse of a human, under the direction of Izuko. Yozuru and Teori both fought for 'ownership' of Yotsugi, but in the end, Yotsugi chose to stay with Yozuru. This led to a falling out between Yozuru and Teori. Yotsugi discloses that the reason she is telling Koyomi this is because, if things were dire, he could choose to hand over Yotsugi to Teori in order to resolve the situation. Koyomi refuses to consider the option. He instead instructs Yotsugi to find the hostages, and use her power to immediately get away, while he distracts Teori. Yotsugi points out that if she were to leave, Koyomi and Shinobu would be left helpless before Teori. Yotsugi halfheartedly suggests offering Shinobu to Teori, which Koyomi refuses. Yotsugi points out that Koyomi's desire to have the hostages rescued while not being willing to give up either Yotsugi, Shinobu, or himself shows a lack of maturity. She then suggests that if she were to get close enough to Teori, she could use her powers to kill him before he has a chance to react. Koyomi is shocked at the suggestion. He wants to preserve what humanity is left in Yotsugi, and if she were to kill Teori, she would lose it. The two reach the shrine, and observe Teori. He is sitting on the offertory box, folding origami. Koyomi realizes that he is counting time with that: once the box is full of origami, time is up. Koyomi decides to use his simple decoy plan, and Yotsugi leaves to sneak in through the rear of the shrine. As Koyomi is preparing to confront Teori, Shinobu appears from his shadow. She tells him that she doesn't care if he is no longer human, so if Koyomi is about to die, she'll turn him into a full vampire. Koyomi then confronts Teori. Teori reveals that both he and Yozuru have a curse upon them that prevents them from walking on the ground. He then says that his reason for kidnapping those close to Koyomi was so that he could kill Koyomi. However, Teori is perplexed at the situation. He knows that he is there to kill Koyomi, but why him? On paper it seems like Teori is the best person to oppose Koyomi, almost as if he were cast for the role. He can't help but feel that someone else has manipulated events so that it would turn out to be him fighting Koyomi. While this conversation is taking place, Yotsugi is shown searching the shrine for the hostages. Koyomi is angered by Teori's musings on the situation, but Teori points out that Koyomi's anger merely fits the role that he had been cast. The two of them are following their scripts. He tells Koyomi to find Meme, as he is the one who could bring balance outside of the casting or script. Koyomi replies that he has searched, and asks Teori if he knows where Meme is. Teori replies that he does not. Teori drops a final origami into the offertory box, and it fills up. Teori gets ready to fight Koyomi, stating that he's sick of being manipulated and used like a pawn. Teori then appears to be talking to someone other than Koyomi. It is revealed to be Yotsugi, who appears in front of Teori. Yotsugi uses her powers and kills Teori. Koyomi is shocked. Yotsugi reassures him that he had nothing to do with her decision. Even if there were a way to save everyone, she decided to do it because she is a monster, in her own words. She tells Koyomi to not end up like her. Karen, Tsukihi, and Suruga are found in the offertory box, and are taken back to Suruga's house. Taking an external view of things, Koyomi realizes that the point of this incident was to create a rift between him and Yotsugi. He was disgusted by her actions. Later, Koyomi visits Hitagi Senjougahara's house, who surprises him with chocolates. He remembers that today is Valentine's Day. Koyomi and Hitagi discuss the previous day's events and what they mean for his future. Hitagi surmises that things are fine for now, and that worrying too much about the future isn't all that great. He should just focus on living his life. After returning home, Koyomi enters his sister's room and finds Yotsugi sitting on Tsukihi's bed. Yotsugi explains that she was won by Tsukihi in the same claw game that Koyomi played the previous night, though Tsukihi needed only three attempts to get her. She goes on to say that both Yozuru and Izuko realized that the point of the previous day's incident was to create a rift in between Koyomi and Yotsugi, and as such, they should oppose whatever party that is causing these incidents. Therefore, until balance is achieved in the town, Yotsugi will be living in the Araragi household, which will serve to help Koyomi and Yotsugi reconcile. ",Yotsugi Doll - Part 4,18,https://www.scads.de/movieBenchmark/resource/TVDB/episode5087117,2014-12-31,,,,
24,,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode19679dir0,,director,Nick Gomez,,
25,,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode117815dir0,,director,Rick Marshall,,
26,,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode402864guestStars0,,guestStars,Jessica Marais,,
27,,,,,https://www.scads.de/movieBenchmark/resource/TVDB/person3698,,actor,Daniel Baldwin,,
28,,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode4646105directors0,,directors,Martin Witz,,
29,1,"D.J. Mickus was about to leave the DNA Club to go home for the night when he runs into an army of six-legged robots. He becomes the latest contestant in a manical game show, and he gets push off for not answering a question. Ace, Cosmo, and Vega go to the hospital to try to figure what really happen. Cosmo then, explains about the game show interrupting regular progamming and how the same commericals appear. Ace suddenly gets a phone call from the show's host saying a poetry clue on who will be the next victim. They figure it was Zelda Cosmo's friend. Zelda had a problem herself because her motorcycle makes it 240 miles per hour, but Ace and Cosmo saved her. Back at the Magic Express, Ace, Cosmo, and Vega learn who is behind all this and the game's host: Patrick Shoemaker. Ace started his own show and according to Angel, Shoemaker blamed Ace for the fall from fame. Shoemaker then calls Ace and challenges him to play as a contestant in order to guess the next victim. With no choice Ace",The Challenge,9,https://www.scads.de/movieBenchmark/resource/TVDB/episode8087,1999-04-24,,,,
30,,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode186526writers0,,writers,Larry David,,
31,,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode14200writers1,,writers,Peter Barry,,
32,0,"A behind the scenes look at a cast reunion for Seinfeld cast members Jerry Seinfeld, Louis-Dreyfus, Jason Alexander and Michael Richards to start off season seven of Curb Your Enthusiasm. ",It's Not A Reunion Show But It's The Closest You're Gonna Get,11,https://www.scads.de/movieBenchmark/resource/TVDB/episode1065381,2009-09-08,,,,
33,,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode19640guestStars5,,guestStars,Nguyen-Tu Tucker,,
34,,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode4777857directors0,,directors,Salim Akil,,
35,,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode4646096directors0,,directors,Malik Bendjelloul,,
36,,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode14154guestStars0,,guestStars,Barbara Steele,,
37,3,"The Russian president's state visit becomes a cold war of wills, and some punks heat things up.",Chapter 29,3,https://www.scads.de/movieBenchmark/resource/TVDB/episode5043397,2015-02-27,,,,
38,4,"Koyomi Araragi waits in the ruins of the cram school to ask Suruga Kanbaru for help, a request he hopes she will refuse.",Shinobu Mail - Part 1,7,https://www.scads.de/movieBenchmark/resource/TVDB/episode5356171,2015-11-15,,,,
39,,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode19672guestStars2,,guestStars,Isabella Hofmann,,
40,,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode186523guestStars8,,guestStars,Jennifer Courtney,,
41,,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode4592330guestStars6,,guestStars,J.D. Evermore,,
42,,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode14127guestStars2,,guestStars,Viveca Lindfors,,
43,,,,,https://www.scads.de/movieBenchmark/resource/TVDB/person58218,,actor,Kulvinder Ghir,,
44,,,,,https://www.scads.de/movieBenchmark/resource/TVDB/person235261,,actor,Zdeněk Kryžánek,,
45,,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode84746directors0,,directors,Ellen Gittelsohn,,
46,,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode6321011directors0,,directors,Rob Cohen,,
47,,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode4134672writers0,,writers,Larry David,,
48,,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode186506guestStars15,,guestStars,Loren Marsteller,,
49,,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode186532guestStars1,,guestStars,Allan Rich,,
50,,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode19622guestStars0,,guestStars,Tony Lo Bianco,,
51,2,"In the middle of spring cleaning, Brock's discovery of a lost videotape from Jonas Venture Sr. sets Team Venture off on a global scavenger hunt for the hidden pieces of a fantastic and potentially deadly machine.  But to save humanity from a terrible fate, they'll have to overcome death, drug addiction, Jonny Quest and Professor Impossible - all under the watchful eye of the mysterious Grand Galactic Inquisitor.",20 Years to Midnight,5,https://www.scads.de/movieBenchmark/resource/TVDB/episode311957,2006-08-06,,,,
52,,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode7071365dir0,,director,Anya Adams,,
53,,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode255690dir1,,director,Gareth Carrivick,,
54,,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode19599writers0,,writers,James Yoshimura,,
55,,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode4592330directors0,,directors,Cary Fukunaga,,
56,,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode186507guestStars8,,guestStars,Ming Lo,,
57,,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode19656guestStars2,,guestStars,Karen Williams,,
58,2,,Episode 22,22,https://www.scads.de/movieBenchmark/resource/TVDB/episode6345327,2017-09-13,,,,
59,,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode186505guestStars3,,guestStars,Jennifer Caldwell,,
60,,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode14145dir0,,director,Felix Feist,,
61,,,,,https://www.scads.de/movieBenchmark/resource/TVDB/person310286,,actor,Ian McKellen,,
62,,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode298424directors0,,directors,Michael Jaffe,,
63,7,"Not tipping for a favor gets Larry into bad graces with the studio lot's coffee guy, while Julia Louis-Dreyfus accuses him of leaving a ring on an antique table in her house. Meanwhile, he deals with the suspicion that their closeness during production of the Seinfeld reunion has led to Cheryl sleeping with Jason Alexander.",Seinfeld,10,https://www.scads.de/movieBenchmark/resource/TVDB/episode1321541,2009-11-22,,,,
64,,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode6321011writers0,,writers,Danny Chun,,
65,,,,,https://www.scads.de/movieBenchmark/resource/TVDB/person3711,,actor,Yaphet Kotto,,
66,1,"Last time on The Magician, Ace was traped in the cryogenic chamber because Gus's revenge. Cosmo and Dr. Charles opened the chamber Ace is in but his body slowly breaks up into pieces as Cosmo touches it. But that Ace was a phoney because the real Ace just showed up. Gus Moreland's condition is dangerously critical and he apologizes Ace for his rude attitude and wants to know the whole truth. Ace tells him what happen the day they try to steal the money from a sciece company. Ace then explains about Jac Malone and how he said Gus is out of the gang and lied to Ace that Gus can get out there himself. Gus gets real mad at Jack or in other words, Black Jack. So now he's going after his family to avenge Black Jack. Ace gets in the way when the Cryogenic Center collapsed. Ace survives and Cosmo and Vega goes to Croesus Palace to keep an eye on Black Jack while Ace goes to Mona's house to warn her not leave her home for her life is now in danger. Gus arrives at the Croesus Palace and arranges",Cold Sweat (2),22,https://www.scads.de/movieBenchmark/resource/TVDB/episode8100,1999-07-10,,,,
67,,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode295433guestStars6,,guestStars,Julian Richings,,
68,,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode295431guestStars1,,guestStars,Kari Matchett,,
69,,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode4314166writers0,,writers,Amelia Bullmore,,
70,,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode5356173directors0,,directors,Akiyuki Shimbou,,
71,,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode186527guestStars10,,guestStars,Alyson Lyon,,
72,,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode421105directors0,,directors,Michael Hurst,,
73,,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode335173guestStars1,,guestStars,JB Smoove,,
74,,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode19612directors1,,directors,Tom Fontana,,
75,,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode19639writers2,,writers,Tom Fontana,,
76,,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode6576686writers1,,writers,Danny Chun,,
77,,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode4500042guestStars2,,guestStars,Sally Field,,
78,,,,,https://www.scads.de/movieBenchmark/resource/TVDB/person471857,,actor,Vegard Ylvisåker,,
79,,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode81673guestStars1,,guestStars,Christopher McCulloch,,
80,,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode19678guestStars11,,guestStars,Jerry Orbach,,
81,,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode19690guestStars2,,guestStars,Bray Poor,,
82,,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode431068dir0,,director,Geoffrey Cawthorn,,
83,,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode311963dir0,,director,Christopher McCulloch as Jackson Publick,,
84,,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode186512directors0,,directors,Keith Truesdell,,
85,,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode19625dir1,,director,Henry Bromell,,
86,,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode255694dir0,,director,Nick Wood,,
87,,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode5043417writers0,,writers,Beau Willimon,,
88,,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode117783dir0,,director,Laura Shepherd,,
89,,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode186495guestStars4,,guestStars,Tim Bagley,,
90,,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode14121directors0,,directors,Bernard Girard,,
91,1,"On Lt. Vega's birthday, he thinks no one's concerned about it, but his secretary Miss LeSage deliver a surprise present from Ace. But before he open it, he gets another surprise present from Capt. Friedrichs. Vega gets to work with a strange new partner: a robotic police recruit named Cyber. Invented by the Cyber Corporation, Cyber is the first cybernetic police officer, and it won't be the last thanks to the company's vice-president, Eldin Tyrole. Cyber gets his first test at the Croesus Palace where two robbers are causing trouble. Ace and Cosmo stop the robbers are causing trouble. Ace and Cosmo stop the robbers and Cyber hauls them off to jail, giving the cybercop a media blitz. Back at the Magic Express, Ace, Cosmo, and Vega learn the robbery was a set-up to give Cyber publicity. Before Vega can give robbers questions, Tyrole who just happens to be Black Jack's niece has already freed them. Vega gets ticked off when two more cybercops try to clean his office. As he yells at Cyber,",Cyber,4,https://www.scads.de/movieBenchmark/resource/TVDB/episode8082,1999-03-20,,,,
92,1,The truth behind the thousand year old legend of the Seeker Kieran is uncovered.,Revenant,13,https://www.scads.de/movieBenchmark/resource/TVDB/episode431068,2009-02-28,,,,
93,,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode19640guestStars0,,guestStars,Mimi Kennedy,,
94,,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode7023435writers1,,writers,Eric Wojtanik,,
95,,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode19674guestStars2,,guestStars,Mekhi Phifer,,
96,,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode186523guestStars3,,guestStars,Mina Kolb,,
97,,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode300451writers0,,writers,Larry David,,
98,,,,,https://www.scads.de/movieBenchmark/resource/TVDB/person427688,,actor,Kari Matchett,,
99,,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode19613guestStars2,,guestStars,Lauren Tom,,
100,,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode4592329guestStars13,,guestStars,Regis Harrington,,
101,,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode6253482directors0,,directors,Akiyuki Shinbo,,
102,,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode4592330guestStars1,,guestStars,Kevin Dunn,,
103,,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode400310directors0,,directors,Mark Beesley,,
104,0,,Koyomi Torus,29,https://www.scads.de/movieBenchmark/resource/TVDB/episode5484977,2016-03-05,,,,
105,,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode4592332guestStars6,,guestStars,J.D. Evermore,,
106,,"Ruthless and cunning, Congressman Francis Underwood and his wife Claire stop at nothing to conquer everything. This wicked political drama penetrates the shadowy world of greed, sex and corruption in modern D.C.",House of Cards (US),,https://www.scads.de/movieBenchmark/resource/TVDB/tvSeries262980,2013-02-01,,,Ended,
107,,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode19647guestStars4,,guestStars,Joey Scherr,,
108,,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode335176directors0,,directors,Jeff Schaffer,,
109,1,Isabella Rossellini explores the mating habits of worms., Earthworm,1,https://www.scads.de/movieBenchmark/resource/TVDB/episode6817818,2008-05-05,,,,
110,,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode4575733guestStars0,,guestStars,Terike Haapoja,,
111,,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode186506guestStars10,,guestStars,Antoinette Spolar,,
112,,,,,https://www.scads.de/movieBenchmark/resource/TVDB/person328017,,actor,Johannes Krisch,,
113,,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode181711guestStars1,,guestStars,Karen Racicot,,
114,1,"After the birthday party, Jaekyung shows her interest to Junpyo. With her easy going personality, Jaekyung becomes friend with Jandi. Although Jandi likes Jaekyung’s untainted and friendly attitude, she feels uncomfortable. Jihu runs into his grandfather while taking saddened Jandi to her volunteer work at the clinic. Yijung and Woobin fail to seclude Jaekyung from Junpyo. With Gaeul’s help, Yijung finally reunites Junpyo and Jandi.",Episode 16,16,https://www.scads.de/movieBenchmark/resource/TVDB/episode699381,2009-02-24,,,,
115,,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode19660writers0,,writers,Les Carter,,
116,,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode5776023directors0,,directors,Robert Cohen,,
117,1,"At last Jihu and Jandi go on an official date. Invited to Jihu's house, Jandi smiles bitterly at the remnants of Seohyun found all over the house. Tailing the two, Junpyo discovers that he still has feelings for Jandi. Meanwhile, Jandi rushes to the hospital upon hearing that Junpyo has been in an accident. There, she realizes her true feelings for Joon-pyo.",Episode 8,8,https://www.scads.de/movieBenchmark/resource/TVDB/episode699191,2009-01-27,,,,
118,1,Zedd uses magic to outsmart Darken Rahl and steal the third and final Box of Orden,Puppeteer,9,https://www.scads.de/movieBenchmark/resource/TVDB/episode402905,2009-01-17,,,,
119,,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode72976guestStars2,,guestStars,Don Megowan,,
120,,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode186507guestStars3,,guestStars,Frances Collier,,
121,,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode19629dir0,,director,Barry Levinson,,
122,0,,Presenting document Whores' Glory,23,https://www.scads.de/movieBenchmark/resource/TVDB/episode4646097,2013-10-16,,,,
123,,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode6035286dir0,,director,Claire Scanlon,,
124,,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode117808directors0,,directors,Rick Marshall,,
125,6,White and Billy grapple with their archenemy in their old neighborhood; Doc realizes he cannot face his responsibilities alone.,Maybe No Go,2,https://www.scads.de/movieBenchmark/resource/TVDB/episode5497726,2016-02-08,,,,
126,0,,Special Guests: Jasper Pääkkönen and Päivi Uljas,53,https://www.scads.de/movieBenchmark/resource/TVDB/episode4982487,2014-09-03,,,,
127,,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode14191dir0,,director,Ronald Weyman,,
128,0,"Mike Rowe takes a look at some of the tools and machines which make doing dirty jobs a little easier. Mike talks about some of the behind the scenes machine action from when he was a house mover, a tire recycler, a demolition worker, a scrap metal recycler, a golf ball recycler, and finally a hot tar roofer.",Dirtiest Tools & Machines,4,https://www.scads.de/movieBenchmark/resource/TVDB/episode339105,2006-01-03,,,,
129,5,"As the Jewish high holy days approach, a near-death experience, coupled with a comment made by his father, leaves Larry wondering if there's more to his identity than he thought. In better news, a sandwich now bears his name, but it's not entirely to his liking.",The Larry David Sandwich,1,https://www.scads.de/movieBenchmark/resource/TVDB/episode299599,2005-09-25,,,,
130,0,,Presenting document A Remix Manifesto,70,https://www.scads.de/movieBenchmark/resource/TVDB/episode4988879,2014-10-15,,,,
131,,,,,https://www.scads.de/movieBenchmark/resource/TVDB/person414382,,actor,Michael Ealy,,
132,1,Monty wonders if it is possible to feel both happy and sad at the same time.,Hello Goodbye,28,https://www.scads.de/movieBenchmark/resource/TVDB/episode5747190,2016-09-14,,,,
133,,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode295433guestStars1,,guestStars,Robbie Rox,,
134,,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode19683guestStars9,,guestStars,Charles J. Musumeci,,
135,1,"Monty doesn't have any money to get his Mum a birthday gift, and wonders if a gift has to be big or cost money to be special.",The Greatest Gift,52,https://www.scads.de/movieBenchmark/resource/TVDB/episode6187956,2017-07-11,,,,
136,0,'Volume 5: Death in a Heartbeat - Murder of Victor Chang (60mins) (M)The Body in the Bag - Jane Doe (20 mins) (M)Contract to Kill - Megan Kalazcich (25 mins) (MA 15+)The Mornington Monster - John Myles Sharpe (25 mins) (MA 15,Volume 5,5,https://www.scads.de/movieBenchmark/resource/TVDB/episode4604152,,,,,
137,,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode400311dir0,,director,Jesse Warn,,
138,0,"The series finale charts a year in the life of Freddie and Stuart, who enjoy their inheritance and a birthday. Violet, meanwhile, moves on from her divorce; and Ash has big news.",Finale - A Year,2,https://www.scads.de/movieBenchmark/resource/TVDB/episode5635981,2016-12-16,,,,
139,,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode19686guestStars12,,guestStars,Jonathan Orcutt,,
140,1,Nature and human nature in William Wordsworth. Featured performer: Julian Glover.,"Wordsworth, 1770-1850",10,https://www.scads.de/movieBenchmark/resource/TVDB/episode4783338,1984-10-28,,,,
141,,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode117802writers0,,writers,Libby Hinson,,
142,,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode81668dir0,,director,Christopher McCulloch as Jackson Publick,,
143,,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode6063234directors0,,directors,Christine Gernon,,
144,,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode311953writers0,,writers,Doc Hammer,,
