id,authors,title,year,venue,entityUrl
23,"Bin Li, Dennis Shasha",Free Parallel Data Mining,1998,SIGMOD Conference,conf/sigmod/LiS98
24,"Brian T. Tran, Jyh-Herng Chow, Michelle Jou, Jean Grandbois, Yun Wang, You-Chin Fuh, Weidong Chen, Nelson Mendon�a Mattos",High Level Indexing of User-Defined Types,1999,VLDB,conf/vldb/ChenCFGJMTW99
25,Philip A. Bernstein,PC Database Systems - Present and Future,1994,VLDB,conf/vldb/Bernstein94
26,"Jeffrey F. Naughton, Qiong Luo",Form-Based Proxy Caching for Database-Backed Web Sites,2001,VLDB,conf/vldb/LuoN01
27,"Tova Milo, Serge Abiteboul, Sophie Cluet",A Logical View of Structured Files,1998,VLDB J.,journals/vldb/AbiteboulCM98
28,"Evaggelia Pitoura, Serge Abiteboul, Michalis Vazirgiannis, Dieter Pfoser, George Samaras",DBGlobe: a service-oriented P2P system for global computing,2003,SIGMOD Record,journals/sigmod/PitouraAPSV03
29,"Reinhard Braumandl, Alfons Kemper, Donald Kossmann",Database Patchwork on the Internet,1999,SIGMOD Conference,conf/sigmod/BraumandlKK99
30,"Yannis E. Ioannidis, Maria Zemankova",Scientific Databases - State of the Art and Future Directions,1994,VLDB,conf/vldb/ZemankovaI94
31,"Bernhard Seeger, Peter Widmayer, Jochen Van den Bercken",A Generic Approach to Bulk Loading Multidimensional Index Structures,1997,VLDB,conf/vldb/BerckenSW97
32,"J�rg Sander, Jianjun Zhou",Data Bubbles for Non-Vector Data: Speeding-up Hierarchical Clustering in Arbitrary Metric Spaces,2003,VLDB,conf/vldb/ZhouS03
33,"Hector Garcia-Molina, Wilburt Labio",Efficient Snapshot Differential Algorithms for Data Warehousing,1996,VLDB,conf/vldb/LabioG96
34,"Roberta Cochrane, Hamid Pirahesh, Nelson Mendon�a Mattos",Integrating Triggers and Declarative Constraints in SQL Database Sytems,1996,VLDB,conf/vldb/CochranePM96
35,"Yannis Papakonstantinou, Luis Gravano, Vagelis Hristidis",Efficient IR-Style Keyword Search over Relational Databases,2003,VLDB,conf/vldb/HristidisGP03
36,Curtis E. Dyreson,"Temporal Coalescing with Now, Granularity, and Incomplete Information",2003,SIGMOD Conference,conf/sigmod/Dyreson03
37,"Sharma Chakravarthy, Y. Alp Aslandogan, Ramez Elmasri, Leonidas Fegaras, Jung-Hwan Oh",Database Research at UT Arlington,2003,SIGMOD Record,journals/sigmod/ChakravarthyAEFO03
38,"Kevin Strehlo, Ralph Kimball",Why Decision Support Fails and How To Fix It,1995,SIGMOD Record,journals/sigmod/KimballS95
39,"Alexandros Biliris, Banu �zden, Abraham Silberschatz, Rajeev Rastogi",A Low-Cost Storage Server for Movie on Demand Databases,1994,VLDB,conf/vldb/OzdenBRS94
40,"Theo H�rder, Norbert Ritter, Udo Nink",Generating Call-Level Interfaces for Advanced Database Application Programming,1999,VLDB,conf/vldb/NinkHR99
41,"Haixun Wang, Wei Wang, Philip S. Yu, Jiong Yang",Clustering by pattern similarity in large data sets,2002,SIGMOD Conference,conf/sigmod/WangWYY02
42,"Manuel Rodriguez-Martinez, Joseph J�J�, John M. McGann, Nick Roussopoulos, Zhexuan Song, Stephen Kelley, Vadim Katz",MOCHA: A Database Middleware System Featuring Automatic Deployment of Application-Specific Functionality,2000,SIGMOD Conference,conf/sigmod/Rodriguez-Martinez00
43,"Zengping Tian, Hongjun Lu, Yanlei Diao, Songting Chen",Fact: A Learning Based Web Query Processing System,2000,SIGMOD Conference,conf/sigmod/ChenDLT00
44,"Jim Melton, Andrew Eisenberg",SQL Multimedia and Application Packages (SQL/MM),2001,SIGMOD Record,journals/sigmod/MeltonE01
45,Amit P. Sheth,Bellcore's ADAPT/X Harness System for Managing Information on Internet and Intranets,1996,VLDB,conf/vldb/Sheth96
46,Per-�ke Larson,XML Data Management Go Native or Spruce up Relational Systems? (Panel Abstract),2001,SIGMOD Conference,conf/sigmod/Larson01
47,"Steven Berson, Richard R. Muntz, Shahram Ghandeharizadeh, Xiangyu Ju",Staggered Striping in Multimedia Information Systems,1994,SIGMOD Conference,conf/sigmod/BersonGMJ94
48,"Mario Gerla, Kaixin Xu",Multimedia streaming in large-scale sensor networks with mobile swarms,2003,SIGMOD Record,journals/sigmod/GerlaX03
49,Hans-Joachim Klein,How to Modify SQL Queries in Order to Guarantee Sure Answers,1994,SIGMOD Record,journals/sigmod/Klein94
50,"Alain Pirotte, Esteban Zim�nyi, Tatiana Yakusheva, David Massart",Materialization: A Powerful and Ubiquitous Abstraction Pattern,1994,VLDB,conf/vldb/PirotteZMY94
51,"Debra E. VanderMeer, Krithi Ramamritham, Helen M. Thomas, Anindya Datta, Kaushik Dutta",Dynamic Content Acceleration: A Caching Solution to Enable Scalable Dynamic Web Page Generation,2001,SIGMOD Conference,conf/sigmod/DattaDRTV01
52,Martin Bertram,Data Modelling in the Large,1994,SIGMOD Record,journals/sigmod/Bertram94
53,"Daniel S. Weld, Zachary G. Ives, Igor Tatarinov, Alon Y. Halevy",Updating XML,2001,SIGMOD Conference,conf/sigmod/TatarinovIHW01
54,"Alan F. Smeaton, Mark Roantree",Research in Information Managment at Dublin City University,2002,SIGMOD Record,journals/sigmod/RoantreeS02
55,"Andreas Dehmel, Peter Baumann, Norbert Widmann, Roland Ritsch, Paula Furtado",The Multidimensional Database System RasDaMan,1998,SIGMOD Conference,conf/sigmod/BaumannDFRW98
56,Goetz Graefe,The Value of Merge-Join and Hash-Join in SQL Server,1999,VLDB,conf/vldb/Graefe99
57,Andreas Weininger,Efficient execution of joins in a star schema,2002,SIGMOD Conference,conf/sigmod/Weininger02
58,"Theo H�rder, Joachim Thomas, G�nter Sauter",The Intrinsic Problems of Structural Heterogeneity and an Approach to Their Solution,1999,VLDB J.,journals/vldb/HarderST99
59,C. Mohan,A Database Perspective on Lotus Domino/Notes,1999,SIGMOD Conference,conf/sigmod/Mohan99
60,Rafael Camps,"Domains, Relations and Religious Wars",1996,SIGMOD Record,journals/sigmod/Camps96
61,Scott Shenker,The Data-Centric Revolution in Networking,2003,VLDB,conf/vldb/Shenker03
62,"Phillip B. Gibbons, Srinivasan Seshan, Suman Kumar Nath, Amol Deshpande",Cache-and-Query for Wide Area Sensor Databases,2003,SIGMOD Conference,conf/sigmod/DeshpandeNGS03
63,"Zhao-Hui Tang, Jean-Robert Gruser, Georges Gardarin",A Cost Model for Clustered Object-Oriented Databases,1995,VLDB,conf/vldb/GardarinGT95
64,"Wilburt Labio, Jun Yang, Hector Garcia-Molina",Expiring Data in a Warehouse,1998,VLDB,conf/vldb/Garcia-MolinaLY98
65,Xiaolei Qian,Opportunities in Information Management and Assurance,1997,SIGMOD Record,journals/sigmod/Qian97
66,"Andr� Eickler, Alfons Kemper, Donald Kossmann",Finding Data in the Neighborhood,1997,VLDB,conf/vldb/EicklerKK97
67,"Yannis Papakonstantinou, Vagelis Hristidis, Nick Koudas",PREFER: A System for the Efficient Execution of Multi-parametric Ranked Queries,2001,SIGMOD Conference,conf/sigmod/HristidisKP01
68,Ling Liu,Editor's Notes,2002,SIGMOD Record,journals/sigmod/Liu02
69,"Mukesh Mulchandani, Elke A. Rundensteiner, Xin Zhang, Brian Murphy, Steffen Christ",Rainbow: mapping-driven XQuery processing system,2002,SIGMOD Conference,conf/sigmod/ZhangMCMR02
70,"Alexander Aiken, Jennifer Widom, Joseph M. Hellerstein",Static Analysis Techniques for Predicting the Behavior of Active Database Rules,1995,ACM Trans. Database Syst.,journals/tods/AikenHW95
71,"Babis Theodoulidis, George Karvelis, Jayant Chaudhary, Aziz Ait-Braham, Simon Sou, George Andrianopoulos",The ORES Temporal Database Management System,1994,SIGMOD Conference,conf/sigmod/TheodoulidisAACKS94
72,"Hamid Pirahesh, Inderpal Singh Mumick, Raghu Ramakrishnan, Sheldon J. Finkelstein",Magic Conditions,1996,ACM Trans. Database Syst.,journals/tods/MumickFPR96
73,"Wolfgang Klas, Frank Moser, Achim Kraiss",L/MRP: A Buffer Management Strategy for Interactive Continuous Data Flows in a Multimedia DBMS,1995,VLDB,conf/vldb/MoserKK95
74,Peter M. Spiro,"Ubiquitous, Self-tuning, Scalable Servers",1998,SIGMOD Conference,conf/sigmod/Spiro98
75,Sunita Sarawagi,Explaining Differences in Multidimensional Aggregates,1999,VLDB,conf/vldb/Sarawagi99
76,"Kun-Lung Wu, Philip S. Yu, James Z. Teng, Jen-Yao Chung",A Performance Study of Workfile Disk Management for Concurrent Mergesorts in a Multiprocessor Database System,1995,VLDB,conf/vldb/WuYCT95
77,David Vaskevitch,Database in Crisis and Transition: A Technical Agenda for the Year 2001,1994,SIGMOD Conference,conf/sigmod/Vaskevitch94
78,Amit P. Sheth,"Workflow Automation: Applications, Technology, and Research (Tutorial)",1995,SIGMOD Conference,conf/sigmod/Sheth95
79,"Krishna Kant, Prasant Mohapatra","Workshop on Performance and Architecture of Web Servers (PAWS-2000, held in conjection with SIGMETRICS-2000)",2000,SIGMOD Record,journals/sigmod/KantM00
80,Richard T. Snodgrass,Why I Like Working in Academia,2002,SIGMOD Record,journals/sigmod/Snodgrass02
81,"Dimitrios Gunopulos, Aristides Gionis, Nick Koudas",Efficient and Tunable Similar Set Retrieval,2001,SIGMOD Conference,conf/sigmod/GionisGK01
82,"Mahesh V. Soundalgekar, Soumen Chakrabarti, Shourya Roy",Fast and Accurate Text Classification via Multiple Linear Discriminant Projections,2002,VLDB,conf/vldb/ChakrabartiRS02
83,"Meichun Hsu, Rivka Ladin, Umeshwar Dayal","Business Process Coordination: State of the Art, Trends, and Open Issues",2001,VLDB,conf/vldb/DayalHL01
84,Geoffrey C. Bowker,Work and Information Practices in the Sciences of Biodiversity,2000,VLDB,conf/vldb/Bowker00
85,"Simon J. Gibbs, Christian Breiteneder, Dennis Tsichritzis",Data Modeling of Time-Based Media,1994,SIGMOD Conference,conf/sigmod/GibbsBT94
86,"S. Sudarshan, Divesh Srivastava, Raghu Ramakrishnan, Jeffrey F. Naughton",Space Optimization in Deductive Databases,1995,ACM Trans. Database Syst.,journals/tods/SrivastavaSRN95
87,Richard T. Snodgrass,Chair's Message,2000,SIGMOD Record,journals/sigmod/Snodgrass00a
88,Rafael Alonso,Trade Press News - Announcement and Preface,1994,SIGMOD Record,journals/sigmod/Alonso94b
89,"Shimin Chen, Todd C. Mowry, Phillip B. Gibbons",Improving Index Performance through Prefetching,2001,SIGMOD Conference,conf/sigmod/ChenGM01
90,Xiaolei Qian,New Programs at DARPA and NSF,1996,SIGMOD Record,journals/sigmod/Qian96b
91,"Lucian Popa, Alin Deutsch, Val Tannen","Physical Data Independence, Constraints, and Optimization with Universal Plans",1999,VLDB,conf/vldb/DeutschPT99
92,"Daniel S. Weld, Alon Y. Levy, Marc Friedman, Zachary G. Ives, Daniela Florescu",An Adaptive Query Execution System for Data Integration,1999,SIGMOD Conference,conf/sigmod/IvesFFLW99
93,Pierre-Paul Sondag,The Semantic Web Paving the Way to the Knowledge Society,2001,VLDB,conf/vldb/Sondag01
94,"Rakesh Agrawal, John C. Shafer",Parallel Algorithms for High-dimensional Similarity Joins for Data Mining Applications,1997,VLDB,conf/vldb/ShaferA97
95,"Yanlei Diao, Hao Zhang, Peter M. Fischer, Michael J. Franklin, Mehmet Altinel",Path sharing and predicate evaluation for high-performance XML filtering,2003,ACM Trans. Database Syst.,journals/tods/DiaoAFZF03
96,"Sumit Ganguly, Minos N. Garofalakis, Rajeev Rastogi",Processing Set Expressions over Continuous Update Streams,2003,SIGMOD Conference,conf/sigmod/GangulyGR03
97,Theodore Johnson,Performance Measurements of Compressed Bitmap Indices,1999,VLDB,conf/vldb/Johnson99
98,"Chee Yong Chan, Yannis E. Ioannidis",Hierarchical Prefix Cubes for Range-Sum Queries,1999,VLDB,conf/vldb/ChanI99
99,"�sa Hagstr�m, Duminda Wijesekera, Francesco Parisi-Presicce, Sushil Jajodia",Removing permissions in the flexible authorization framework,2003,ACM Trans. Database Syst.,journals/tods/WijesekeraJPH03
100,"Ion Muslea, Greg Barish, Andrew Philpot, Craig A. Knoblock, Steven Minton, Jos� Luis Ambite, Pragnesh Jay Modi, Sheila Tejada, Naveen Ashish",ARIADNE: A System for Constructing Mediators for Internet Sources,1998,SIGMOD Conference,conf/sigmod/AmbiteABKMMMPT98
101,"Dimitris Papadias, Nikos Mamoulis",Multiway spatial joins,2001,ACM Trans. Database Syst.,journals/tods/MamoulisP01
102,"Anand Rajaraman, Jeffrey D. Ullman, Venky Harinarayan",Implementing Data Cubes Efficiently,1996,SIGMOD Conference,conf/sigmod/HarinarayanRU96
103,"Nelson Mendon�a Mattos, Linda G. DeMichiel",Recent Design Trade-offs in SQL3,1994,SIGMOD Record,journals/sigmod/MattosD94
104,"Andrew Eisenberg, Jim Melton",SQLJ-Part 1: SQL Routines Using the Java Programming Language,1999,SIGMOD Record,journals/sigmod/EisenbergM99a
105,"Alberto O. Mendelzon, Davood Rafiei",Similarity-Based Queries for Time Series Data,1997,SIGMOD Conference,conf/sigmod/RafieiM97
106,"Alistair N. Dunlop, Jasmin L. Wason, Denis A. Nicole, Mark Papiani","A Distributed Scientific Data Archive Using the Web, XML and SQL/MED",1999,SIGMOD Record,journals/sigmod/PapianiWDN99
107,"Katja Tham, Axel Kilian, Dieter Merkel, Peter Rieger, Stephan Heymann, Gunnar Wegner, Johann Christoph Freytag",Viator - A Tool Family for Graphical Networking and Data View Creation,2002,VLDB,conf/vldb/HeymannTKWRMF02
108,H. V. Jagadish,Information Warfare and Security - Book Review,2001,SIGMOD Record,journals/sigmod/Jagadish01
109,Kjetil N�rv�g,The Persistent Cache: Improving OID Indexing in Temporal Object-Oriented Database Systems,1999,VLDB,conf/vldb/Norvag99
110,"Christos Faloutsos, Alberto Belussi",Estimating the Selectivity of Spatial Queries Using the `Correlation' Fractal Dimension,1995,VLDB,conf/vldb/BelussiF95
111,"Dennis McLeod, Goksel Aslan",Semantic Heterogeneity Resolution in Federated Databases by Metadata Implantation and Stepwise Evolution,1999,VLDB J.,journals/vldb/AslanM99
112,"Chim-fu Yeung, Kam-yiu Lam, Sheung-lun Hung",Performance Evaluation of a New Distributed Deadlock Detection Algorithm,1994,SIGMOD Record,journals/sigmod/YeungHL94
113,"Jan-Eike Michels, Jim Melton, Krishna G. Kulkarni, Peter M. Schwarz, Kathy Zeidenstein, Vanja Josifovski",SQL and Management of External Data,2001,SIGMOD Record,journals/sigmod/MeltonMJKSZ01
114,"Alberto Lerner, Dennis Shasha","AQuery: Query Language for Ordered Data, Optimization Techniques, and Experiments",2003,VLDB,conf/vldb/LernerS03
115,"Banu �zden, Minos N. Garofalakis, Abraham Silberschatz",Resource Scheduling in Enhanced Pay-Per-View Continuous Media Databases,1997,VLDB,conf/vldb/GarofalakisOS97
116,"Yixin Ruan, Zhiyong Huang, Kian-Lee Tan, Jason Chionh, Lidan Shou",REVIEW: A Real Time Virtual Walkthrough System,2001,SIGMOD Conference,conf/sigmod/ShouCTRH01
117,"Norman S. Matloff, Patrick Tendick",A Modified Random Perturbation Method for Database Security,1994,ACM Trans. Database Syst.,journals/tods/TendickM94
118,Dan Suciu,Managing Web Data,1999,SIGMOD Conference,conf/sigmod/Suciu99
119,Vijay V. Raghavan,Loading the Data Warehouse Across Various Parallel Architectures,1996,VLDB,conf/vldb/Raghavan96
120,"Qing Li, Kamalakar Karlapalem, Chung-Dak Shum",HODFA: An Architectural Framework for Homogenizing Heterogeneous Legacy Database,1995,SIGMOD Record,journals/sigmod/KarlapalemLS95
121,"Jeffrey F. Naughton, Minos N. Garofalakis, Kenneth A. Ross",Reminiscences an Influential Papers,2003,SIGMOD Record,journals/sigmod/RossGN03
122,Jian Zhang,Application of OODB and SGML Techniques in Text Database: An Electronic Dictionary System,1995,SIGMOD Record,journals/sigmod/Zhang95
123,"Johannes Klein, Richard Pledereder, Gray Clossman, Brian Becker, Phil Shaw, Mark Hapner",Java and Relational Databases: SQLJ (Tutorial),1998,SIGMOD Conference,conf/sigmod/ClossmanSHKPB98
124,"Raghav Kaushik, Henry F. Korth, Jeffrey F. Naughton, Philip Bohannon",Covering indexes for branching path queries,2002,SIGMOD Conference,conf/sigmod/KaushikBNK02
125,"Wen-Syan Li, Chris Clifton",Semint: A System Prototype for Semantic Integration in Heterogeneous Databases,1995,SIGMOD Conference,conf/sigmod/LiC95
126,"Alexandros Labrinidis, Alberto O. Mendelzon",Career-Enhancing Services at SIGMOD Online,2001,SIGMOD Record,journals/sigmod/LabrinidisM01
127,"Krithi Ramamritham, Jayant R. Haritsa, Ramesh Gupta",Revisiting Commit Processing in Distributed Database Systems,1997,SIGMOD Conference,conf/sigmod/GuptaHR97
128,Suad Alagic,Type-Checking OQL Queries In the ODMG Type Systems,1999,ACM Trans. Database Syst.,journals/tods/Alagic99
129,Rob Golding,Things Every Update Replication Customer Should Know,1995,SIGMOD Conference,conf/sigmod/Golding95
130,Bj�rn ��r J�nsson,In Memory of G�sli R. Hjaltason,2003,SIGMOD Record,journals/sigmod/Jonsson03
131,"Inderpal Singh Mumick, Alon Y. Levy, Yehoshua Sagiv",Query Optimization by Predicate Move-Around,1994,VLDB,conf/vldb/LevyMS94
132,"Jaewoo Kang, Dan Suciu, Alon Y. Levy, Daniela Florescu, Mary F. Fernandez",Catching the Boat with Strudel: Experiences with a Web-Site Management System,1998,SIGMOD Conference,conf/sigmod/FernandezFKLS98
133,"Christian S. Jensen, Richard T. Snodgrass, Giedrius Slivinskas",Adaptable Query Optimization and Evaluation in Temporal Middleware,2001,SIGMOD Conference,conf/sigmod/SlivinskasJS01
134,"Raghu Ramakrishnan, Miron Livny, Tian Zhang",BIRCH: An Efficient Data Clustering Method for Very Large Databases,1996,SIGMOD Conference,conf/sigmod/ZhangRL96
135,"Dimitris Papadias, Yufei Tao",Time-parameterized queries in spatio-temporal databases,2002,SIGMOD Conference,conf/sigmod/TaoP02
136,"Eui-Hong Han, Vipin Kumar, George Karypis",Scalable Parallel Data Mining for Association Rules,1997,SIGMOD Conference,conf/sigmod/HanKK97
137,"Jennifer Widom, Elena Baralis",An algebraic approach to static analysis of active database rules,2000,ACM Trans. Database Syst.,journals/tods/BaralisW00
138,"Sorana Rabinovici, John Catozzi",OS Support for VLDBs: Unix Enhancements for the Teradata Data Base,1995,VLDB,conf/vldb/CatozziR95
139,"Yannis Kotidis, Yannis Sismanis, Antonios Deligiannakis, Nick Roussopoulos",Dwarf: shrinking the PetaCube,2002,SIGMOD Conference,conf/sigmod/SismanisDRK02
140,"Dao-I Lin, Peter Piatko, Roman Yangarber, Dennis Shasha",Thinksheet: A Tool for Tailoring Complex Documents,1996,SIGMOD Conference,conf/sigmod/PiatkoYLS96
141,"Betty Salzberg, Chendong Zou",On-line Reorganization of Sparsely-populated B+trees,1996,SIGMOD Conference,conf/sigmod/ZouS96
142,Andreas Weininger,Handling Very Large Databases with Informix Extended Parallel Server,2000,SIGMOD Conference,conf/sigmod/Weininger00
143,"Surajit Chaudhuri, Kyuseok Shim",Including Group-By in Query Optimization,1994,VLDB,conf/vldb/ChaudhuriS94
144,"Azer Bestavros, Spyridon Braoudakis",Value-cognizant Speculative Concurrency Control,1995,VLDB,conf/vldb/BestavrosB95
145,James Geller,Data Mining: Practical Machine Learning Tools and Techniques - Book Review,2002,SIGMOD Record,journals/sigmod/Geller02
146,"Dan Suciu, Maurizio Lenzerini, Daniele Nardi, Werner Nutt",Report on the 8th International Workshop on Knowledge Representation Meets Databases (KRDB),2001,SIGMOD Record,journals/sigmod/LenzeriniNNS01
147,"Hector Garcia-Molina, Luis Gravano, Kevin Chen-Chuan Chang, Andreas Paepcke",STARTS: Stanford Proposal for Internet Meta-Searching (Experience Paper),1997,SIGMOD Conference,conf/sigmod/GravanoCGP97
148,"Hans-Peter Kriegel, Stefan Berchtold, Daniel A. Keim",The X-tree : An Index Structure for High-Dimensional Data,1996,VLDB,conf/vldb/BerchtoldKK96
149,"Rohit Ananthakrishna, Venkatesh Ganti, Surajit Chaudhuri",Eliminating Fuzzy Duplicates in Data Warehouses,2002,VLDB,conf/vldb/AnanthakrishnaCG02
150,"Michael J. Franklin, Surajit Chaudhuri, Alejandro P. Buchmann, Gerhard Weikum, Daniel A. Keim, Martin L. Kersten",A Database Striptease or How to Manage Your Personal Databases,2003,VLDB,conf/vldb/KerstenWFKBC03
151,"Yildiray Kabak, Gokce Laleci, Sait Pektas, Serkan Toprak, Yusuf Tambag, Gokhan Kurt, Asuman Dogac, Pinar Pembecioglu",An ebXML infrastructure implementation through UDDI registries and RosettaNet PIPs,2002,SIGMOD Conference,conf/sigmod/DogacTPPLKTK02
152,Michael H. B�hlen,Temporal Database System Implementations,1995,SIGMOD Record,journals/sigmod/Bohlen95
153,"Yaron Kanza, Yehoshua Sagiv, Sara Cohen, Jonathan Mamou",XSEarch: A Semantic Search Engine for XML,2003,VLDB,conf/vldb/CohenMKS03
154,"Miron Livny, Eben M. Haber, Yannis E. Ioannidis",OPOSSUM: Desk-Top Schema Management through Customizable Visualization,1995,VLDB,conf/vldb/HaberIL95
155,"Hans-J�rg Schek, Gustavo Alonso, Heiko Schuldt, Catriel Beeri",Atomicity and isolation for transactional processes,2002,ACM Trans. Database Syst.,journals/tods/SchuldtABS02
156,"David B. Lomet, Mark R. Tuttle",Logical Logging to Extend Recovery to New Domains,1999,SIGMOD Conference,conf/sigmod/LometT99
157,"Jacek Skowronek, Maurice van Keulen, Jan Flokstra",The IMPRESS DDT: A Database Design Toolbox Based on a Formal Specification Language,1994,SIGMOD Conference,conf/sigmod/FlokstraKS94
158,"Helen J. Wang, Peter J. Haas, Joseph M. Hellerstein",Online Aggregation,1997,SIGMOD Conference,conf/sigmod/HellersteinHW97
159,"Artur Klauser, Alexander L. Wolf, Benjamin G. Zorn, Jonathan E. Cook","Semi-automatic, Self-adaptive Control of Garbage Collection Rates in Object Databases",1996,SIGMOD Conference,conf/sigmod/CookKWZ96
160,Ted Mihalisin,A Single Pass Computing Engine for Interactive Analysis of VLDBs,1998,VLDB,conf/vldb/Mihalisin98
161,"Zenon Protopapas, Christos Faloutsos, Eliot Siegel, Flip Korn, Nikolaos Sidiropoulos",Fast Nearest Neighbor Search in Medical Image Databases,1996,VLDB,conf/vldb/KornSFSP96
162,"Amit P. Sheth, Wolfgang Klas",Metadata for Digital Media: Introduction to the Special Issue,1994,SIGMOD Record,journals/sigmod/KlasS94
163,Hugh Darwen,"In Reply to Domains, relations and Religious Wars",1996,SIGMOD Record,journals/sigmod/Darwen96
164,"Mark Jahnke, Felipe Cari�o",Bank of America Case Study: The Information Currency Advantage,1998,VLDB,conf/vldb/CarinoJ98
165,"Divesh Srivastava, SungRan Cho, Laks V. S. Lakshmanan, Sihem Amer-Yahia",Tree pattern query minimization,2002,VLDB J.,journals/vldb/Amer-YahiaCLS02
166,"Timothy J. Norman, Nicholas R. Jennings, Peyman Faratin",ADEPT: An Agent-Based Approach to Business Process Management,1998,SIGMOD Record,journals/sigmod/JenningsNF98
167,Alexandros Labrinidis,Introduction to the Career Forum Column,2001,SIGMOD Record,journals/sigmod/Labrinidis01
168,"Kheng Guan Goh, Wynne Hsu, Mong-Li Lee",Image Mining in IRIS: Integrated Retinal Information System,2000,SIGMOD Conference,conf/sigmod/HsuLG00
169,Wesley P. Melling,Enterprise Information Architectures -- They're Finally Changing,1994,SIGMOD Conference,conf/sigmod/Melling94
170,Nelson Mendon�a Mattos,Integrating Information for On Demand Computing,2003,VLDB,conf/vldb/Mattos03
171,"Anne Doucet, V�ronique Benzaken",Th�mis: A Database Programming Language Handling Integrity Constraints,1995,VLDB J.,journals/vldb/BenzakenD95
172,"Kotagiri Ramamohanarao, James Harland",An Introduction to Deductive Database Languages and Systems,1994,VLDB J.,journals/vldb/RamamohanaraoH94
173,Suryanarayana M. Sripada,Information Management Challenges from the Aerospace Industry,2002,VLDB,conf/vldb/Sripada02
174,C. Mohan,State of the Art in Workflow Management Research and Products,1996,SIGMOD Conference,conf/sigmod/Mohan96
