https://www.scads.de/movieBenchmark/ontology/primaryProfessions,http://dbpedia.org/ontology/birthYear,https://www.scads.de/movieBenchmark/ontology/name,http://dbpedia.org/ontology/deathYear,entityUrl,https://www.scads.de/movieBenchmark/ontology/startYear,https://www.scads.de/movieBenchmark/ontology/runtimeMinutes,https://www.scads.de/movieBenchmark/ontology/isAdult,https://www.scads.de/movieBenchmark/ontology/title,https://www.scads.de/movieBenchmark/ontology/originalTitle,https://www.scads.de/movieBenchmark/ontology/genre_list,http://dbpedia.org/ontology/episodeNumber,http://dbpedia.org/ontology/seasonNumber,https://www.scads.de/movieBenchmark/ontology/endYear
,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0631031,1955-01-01,30,0,The Refinement of 'Ab',The Refinement of 'Ab',Drama,21,2,
,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0604333,1993-01-01,,0,A Shot in the Dark,A Shot in the Dark,"Crime,Drama,Mystery",4,1,
actress,,Hà Xuyên,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0944691,,,,,,,,,
"actor,miscellaneous",1914-01-01,Don Haggerty,1988-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0353628,,,,,,,,,
,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0710741,1963-01-01,60,0,Point of Entry,Point of Entry,"Drama,Sport,Western",21,1,
actor,1922-01-01,Don Megowan,1981-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0576353,,,,,,,,,
actor,1933-01-01,Ben Piazza,1991-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0681319,,,,,,,,,
actress,,Danica Dawn Johnston,,https://www.scads.de/movieBenchmark/resource/IMDB/nm9027219,,,,,,,,,
"writer,producer,actor",1940-01-01,Russell Banks,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0001930,,,,,,,,,
actor,1907-01-01,Abdulkhair Kasymov,2001-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0441059,,,,,,,,,
actress,1909-01-01,Margie Liszt,1992-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0514308,,,,,,,,,
,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0773944,2004-01-01,,0,Thomas Paine,Thomas Paine,"Biography,Comedy,Documentary",4,2,
"actor,director,producer",1970-01-01,Richard Yearwood,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0947073,,,,,,,,,
"writer,director",1915-01-01,William Bruckner,1987-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0115689,,,,,,,,,
"writer,script_department",,Ester Namdar,,https://www.scads.de/movieBenchmark/resource/IMDB/nm3751266,,,,,,,,,
,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0520156,1962-01-01,,0,The Shark Affair,The Shark Affair,Adventure,2,1,
"production_designer,director,art_director",1938-01-01,Boris Blank,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0087476,,,,,,,,,
actress,,Cheryl Crotser,,https://www.scads.de/movieBenchmark/resource/IMDB/nm1561463,,,,,,,,,
"actress,writer,producer",1961-01-01,Janet McTeer,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0005216,,,,,,,,,
"actor,director,producer",,Collin O'Neal,,https://www.scads.de/movieBenchmark/resource/IMDB/nm1661410,,,,,,,,,
actress,,Pamela Dean,,https://www.scads.de/movieBenchmark/resource/IMDB/nm1483969,,,,,,,,,
writer,1897-01-01,Robert J. Hogan,1963-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0389613,,,,,,,,,
"producer,director,actor",1901-01-01,Alec C. Snowden,1983-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0811344,,,,,,,,,
"actress,producer,writer",1970-01-01,Ingrid Veninger,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0893116,,,,,,,,,
"actress,animation_department,soundtrack",1984-01-01,Linda Chung,,https://www.scads.de/movieBenchmark/resource/IMDB/nm2351640,,,,,,,,,
"writer,producer,miscellaneous",1920-01-01,George W. George,2007-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0313434,,,,,,,,,
writer,1925-01-01,Stanford Whitmore,2014-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0926247,,,,,,,,,
"actor,miscellaneous,director",1921-01-01,Alan DeWitt,1976-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0223195,,,,,,,,,
,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0657670,1962-01-01,30,0,Ede's Bombshell,Ede's Bombshell,"Adventure,Drama,Family",25,2,
"actress,soundtrack",1938-01-01,Grit Boettcher,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0127154,,,,,,,,,
"actor,writer,soundtrack",1919-01-01,Gene Barry,2009-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0058001,,,,,,,,,
"actress,writer,script_department",1940-01-01,Beverly Hayes,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0370904,,,,,,,,,
"actor,director,writer",1930-01-01,Maximilian Schell,2014-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0001703,,,,,,,,,
,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0630832,1954-01-01,30,0,Big Little Lie,Big Little Lie,Drama,19,1,
"actor,sound_department,producer",1917-01-01,John Hart,2009-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0366359,,,,,,,,,
"actor,writer,miscellaneous",1925-01-01,Jan Merlin,2019-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0581005,,,,,,,,,
"actor,producer,director",1937-01-01,Don Edmonds,2009-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0103756,,,,,,,,,
actress,1943-01-01,Susan Seaforth Hayes,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0371238,,,,,,,,,
,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0505665,1960-01-01,48,0,Sink or Swim,Sink or Swim,Adventure,11,2,
,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0504571,1972-01-01,,0,Folge 4,Folge 4,"Comedy,War",4,1,
"producer,writer,miscellaneous",,Matt Witten,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0936976,,,,,,,,,
"actress,soundtrack",1913-01-01,Ruth Storey,1997-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0832495,,,,,,,,,
actor,1942-01-01,Michael Elwyn,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0255914,,,,,,,,,
"visual_effects,actor,writer",,Doc Hammer,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0358452,,,,,,,,,
,,Kirt Struemph,,https://www.scads.de/movieBenchmark/resource/IMDB/nm2809560,,,,,,,,,
"actress,soundtrack",1923-01-01,Gaby Stenberg,2011-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0826503,,,,,,,,,
writer,,David Robinson,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0732529,,,,,,,,,
"writer,producer,script_department",1938-01-01,Tony Morphett,2018-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0606179,,,,,,,,,
,,Kevin Carlyon,,https://www.scads.de/movieBenchmark/resource/IMDB/nm2365845,,,,,,,,,
actor,,Brad Goertz,,https://www.scads.de/movieBenchmark/resource/IMDB/nm9027214,,,,,,,,,
"actor,soundtrack",1910-01-01,Frank DeKova,1981-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0215308,,,,,,,,,
"director,producer,assistant_director",,Daniel Attias,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0003733,,,,,,,,,
"actor,soundtrack,music_department",1946-01-01,Johnny Crawford,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0186844,,,,,,,,,
"cinematographer,director,producer",1959-01-01,Alik Sakharov,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0002399,,,,,,,,,
actor,1916-01-01,Whitfield Connor,1988-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0175472,,,,,,,,,
,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0520151,1962-01-01,,0,The Mask of Talugi,The Mask of Talugi,Adventure,24,1,
"director,producer,miscellaneous",,Tucker Gates,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0003163,,,,,,,,,
,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt1640885,2011-01-01,30,0,The Hero,The Hero,Comedy,6,8,
actress,1920-01-01,Ruth Brady,1997-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0103719,,,,,,,,,
"actor,producer",1947-01-01,Hugh Corcoran,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0179328,,,,,,,,,
"writer,producer,script_department",1915-01-01,Ed Adamson,1972-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0011482,,,,,,,,,
"cinematographer,camera_department,editor",,Ben Cole,,https://www.scads.de/movieBenchmark/resource/IMDB/nm3144460,,,,,,,,,
actress,1933-01-01,June Kenney,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0448483,,,,,,,,,
"writer,director,cinematographer",,Mariano Lisa,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0513951,,,,,,,,,
"director,producer,actor",1913-01-01,Charles F. Haas,2011-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0351918,,,,,,,,,
,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0505628,1961-01-01,60,0,Adam San,Adam San,Adventure,29,2,
,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt3001926,2014-01-01,50,0,Chapter 18,Chapter 18,Drama,5,2,
"production_manager,producer,miscellaneous",1912-01-01,John London,2002-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm1401324,,,,,,,,,
actress,1912-01-01,Jacqueline deWit,1998-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0223190,,,,,,,,,
"actor,soundtrack",1904-01-01,J. Pat O'Malley,1985-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0641729,,,,,,,,,
"editor,sound_department,composer",,Joe Walker,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0907863,,,,,,,,,
,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt1110878,1999-01-01,21,0,Episode #2.4,Episode #2.4,Drama,4,2,
"actor,soundtrack,miscellaneous",1928-01-01,Dick Balduzzi,2020-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0049845,,,,,,,,,
actor,1908-01-01,Heinz Klevenow,1975-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0459374,,,,,,,,,
,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0630967,1953-01-01,30,0,Thanksgiving in Beaver Run,Thanksgiving in Beaver Run,Drama,10,1,
actor,1935-01-01,Norman Ollestad,1979-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0647322,,,,,,,,,
"actress,soundtrack",1926-01-01,Cloris Leachman,2021-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0001458,,,,,,,,,
"actress,soundtrack",1934-01-01,Merry Anders,2012-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0026039,,,,,,,,,
actor,1912-01-01,Charles G. Martin,1998-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0552064,,,,,,,,,
actor,1927-01-01,Guy Lee,1993-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0497343,,,,,,,,,
"director,actor,writer",1927-01-01,Jürgen Goslar,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0331495,,,,,,,,,
actor,1978-01-01,James Bulliard,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0007051,,,,,,,,,
"actress,soundtrack",1910-01-01,Sally Blane,1997-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0087434,,,,,,,,,
actor,,Samir,,https://www.scads.de/movieBenchmark/resource/IMDB/nm4866699,,,,,,,,,
"actor,producer",,Delroy Brown,,https://www.scads.de/movieBenchmark/resource/IMDB/nm2478333,,,,,,,,,
,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt1116560,2007-01-01,60,0,Rain Shadow,Rain Shadow,Drama,,,2007-01-01
,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0505660,1959-01-01,60,0,Peril at Pitcairn,Peril at Pitcairn,Adventure,9,1,
"actor,miscellaneous",1950-01-01,Philip Akin,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0015370,,,,,,,,,
,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0759972,1961-01-01,60,0,Appointment at Tara-Bi,Appointment at Tara-Bi,Adventure,1,3,
"actor,soundtrack,music_department",1936-01-01,Charles Napier,2011-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0621008,,,,,,,,,
"actress,soundtrack",1926-01-01,Nancy Gates,2019-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0309607,,,,,,,,,
actor,1963-01-01,Paul Haddad,2020-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0352664,,,,,,,,,
,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0883894,1994-01-01,21,0,Uncle Harry's Horrible House of Horrors,Uncle Harry's Horrible House of Horrors,"Animation,Comedy,Fantasy",10,2,
"producer,writer",,Jason Horwitch,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0395842,,,,,,,,,
"actor,miscellaneous",1944-01-01,Dipankar Dey,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0212541,,,,,,,,,
actor,1907-01-01,Harry Arnie,1984-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0036299,,,,,,,,,
actor,1882-01-01,Paul Harvey,1955-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0367670,,,,,,,,,
"actor,miscellaneous,soundtrack",1900-01-01,Fritz Feld,1993-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0270915,,,,,,,,,
actress,,Sari Mordana,,https://www.scads.de/movieBenchmark/resource/IMDB/nm2998868,,,,,,,,,
"actress,soundtrack",1893-01-01,Fay Bainter,1968-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0047810,,,,,,,,,
"actress,soundtrack",1977-01-01,Verónica Sánchez,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0845189,,,,,,,,,
"director,writer,actor",1963-01-01,Nick Gomez,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0327064,,,,,,,,,
,,Tom Dyer,,https://www.scads.de/movieBenchmark/resource/IMDB/nm4232071,,,,,,,,,
writer,1944-01-01,Bernard Cornwell,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0180486,,,,,,,,,
actor,1914-01-01,Walter Brooke,1986-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0111754,,,,,,,,,
actress,1947-01-01,Candy Moore,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0600993,,,,,,,,,
,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt2404521,2005-01-01,56,0,"Le 8 mai 1945, la capitulation","Le 8 mai 1945, la capitulation","Documentary,History,War",,,
actor,,John Allegra,,https://www.scads.de/movieBenchmark/resource/IMDB/nm7660728,,,,,,,,,
"director,writer,soundtrack",1969-01-01,Ami Canaan Mann,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0542642,,,,,,,,,
"actor,director,writer",1980-01-01,Christopher Redman,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0714992,,,,,,,,,
"director,actor,writer",1907-01-01,Helmut Weiss,1969-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0919012,,,,,,,,,
actor,1916-01-01,Naaman Brown,1988-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0114326,,,,,,,,,
,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0505623,1962-01-01,48,0,A Bride for the Captain,A Bride for the Captain,Adventure,23,3,
,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0604426,1996-01-01,,0,The Damage Done,The Damage Done,"Crime,Drama,Mystery",20,4,
"miscellaneous,editor,producer",1912-01-01,Hugo Grimaldi,1998-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0342120,,,,,,,,,
actor,1907-01-01,Willis Bouchey,1977-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0099071,,,,,,,,,
actress,1963-01-01,Kristina Lilley,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0510355,,,,,,,,,
,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0630962,1956-01-01,30,0,Take Care of My Child,Take Care of My Child,Drama,11,4,
"actor,soundtrack,writer",1923-01-01,Jean-Marc Thibault,2017-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0857776,,,,,,,,,
actress,1947-01-01,Sermin Hürmeriç,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0784039,,,,,,,,,
actor,1909-01-01,Roger Til,2002-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0863179,,,,,,,,,
"actor,miscellaneous",1975-01-01,Ori Pfeffer,,https://www.scads.de/movieBenchmark/resource/IMDB/nm1035854,,,,,,,,,
actress,1909-01-01,Gertrude Flynn,1996-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0283456,,,,,,,,,
actor,1949-01-01,George Buza,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0125579,,,,,,,,,
actress,,Rose Barbato,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0053284,,,,,,,,,
,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0551405,2001-01-01,30,0,The Car Salesman,The Car Salesman,Comedy,1,2,
"actress,miscellaneous",1924-01-01,Gloria Vanderbilt,2019-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0888742,,,,,,,,,
"actor,camera_department",1932-01-01,Robert Dowdell,2018-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0235703,,,,,,,,,
actor,,Yan Tual,,https://www.scads.de/movieBenchmark/resource/IMDB/nm5565659,,,,,,,,,
writer,,Walter Rathgeber,,https://www.scads.de/movieBenchmark/resource/IMDB/nm2228424,,,,,,,,,
,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0630925,1960-01-01,30,0,Off-Duty Affair,Off-Duty Affair,Drama,16,7,
"writer,actor,producer",1942-01-01,Bob Einstein,2019-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0251872,,,,,,,,,
actress,1975-01-01,Valentina Cardinalli,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0136520,,,,,,,,,
"writer,cinematographer,director",1948-01-01,Ivica Matic,1976-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0559039,,,,,,,,,
"actor,art_department",,Justin Brady,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0103659,,,,,,,,,
"director,writer,producer",1953-01-01,James Foley,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0001226,,,,,,,,,
,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0829714,2006-01-01,,0,Super Dirty,Super Dirty,Reality-TV,2,2,
,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0726137,1974-01-01,60,0,Joey the Weep,Joey the Weep,"Crime,Drama",16,1,
"actress,soundtrack",1937-01-01,Susan Hampshire,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0358925,,,,,,,,,
writer,,Audrey Lives,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0991369,,,,,,,,,
editor,,Natalya Loginova,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0517747,,,,,,,,,
"music_department,composer,producer",1943-01-01,Ray Loring,2008-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0521019,,,,,,,,,
"actor,writer,producer",1947-01-01,Richard Lewis,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0507659,,,,,,,,,
,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt1502370,2009-01-01,,0,Katy Perry,Katy Perry,"Documentary,Music",2,20,
,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0604421,1993-01-01,,0,Son of a Gun,Son of a Gun,"Crime,Drama,Mystery",3,1,
"director,producer,editor",1973-01-01,Misha Manson-Smith,,https://www.scads.de/movieBenchmark/resource/IMDB/nm1245204,,,,,,,,,
"writer,miscellaneous",1926-01-01,Patricia Falken Smith,2001-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0989955,,,,,,,,,
,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0551387,2000-01-01,29,0,Interior Decorator,Interior Decorator,Comedy,5,1,
"producer,writer",1920-01-01,Matthew Rapf,1991-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0710682,,,,,,,,,
actor,,Liam Barr,,https://www.scads.de/movieBenchmark/resource/IMDB/nm1063229,,,,,,,,,
"actor,soundtrack,music_department",1923-01-01,Tom Clancy,1990-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0163390,,,,,,,,,
"director,actor,writer",1905-01-01,Wolfgang Liebeneiner,1987-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0509327,,,,,,,,,
"production_designer,art_department,art_director",,Michael Whetstone,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0924115,,,,,,,,,
actor,1953-01-01,Joey Scott,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0779345,,,,,,,,,
"producer,director,writer",1977-01-01,Cary Joji Fukunaga,,https://www.scads.de/movieBenchmark/resource/IMDB/nm1560977,,,,,,,,,
actor,1923-01-01,Wright King,2018-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0455389,,,,,,,,,
actor,1922-01-01,John Van Dreelen,1992-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0886657,,,,,,,,,
,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0829696,2005-01-01,44,0,Chick Sexer,Chick Sexer,Reality-TV,4,1,
"producer,writer,director",,Patrick Loubert,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0521621,,,,,,,,,
,,Billy Bretherton,,https://www.scads.de/movieBenchmark/resource/IMDB/nm3091480,,,,,,,,,
,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt2582590,2013-01-01,23,0,Vicious,Vicious,Comedy,,,2016-01-01
"actress,soundtrack",1946-01-01,Jayne Eastwood,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0247720,,,,,,,,,
"director,writer,actor",1908-01-01,Helmut Käutner,1980-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0477702,,,,,,,,,
,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt7320860,2019-01-01,58,0,Kiss Tomorrow Goodbye,Kiss Tomorrow Goodbye,"Crime,Drama,Mystery",2,3,
actor,,Mike Grimmer,,https://www.scads.de/movieBenchmark/resource/IMDB/nm3097682,,,,,,,,,
"editor,editorial_department,producer",,Alpesh Patel,,https://www.scads.de/movieBenchmark/resource/IMDB/nm1195914,,,,,,,,,
"actress,soundtrack",1928-01-01,Jeanne Cooper,2013-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0178137,,,,,,,,,
,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0369945,2002-01-01,105,0,Smokey Joe's Cafe: The Songs of Leiber and Stoller,Smokey Joe's Cafe: The Songs of Leiber and Stoller,Musical,,,
"director,writer,producer",,Estela Bravo,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0106073,,,,,,,,,
actress,1910-01-01,Mary Adams,1973-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0011195,,,,,,,,,
