venue,title,year,authors,entityUrl
SIGMOD Conference,Free Parallel Data Mining,1998,"Bin Li, Dennis Shasha",conf/sigmod/LiS98
VLDB,High Level Indexing of User-Defined Types,1999,"Brian T. Tran, Jyh-Herng Chow, Michelle Jou, Jean Grandbois, Yun Wang, You-Chin Fuh, Weidong Chen, Nelson Mendon�a Mattos",conf/vldb/ChenCFGJMTW99
VLDB,PC Database Systems - Present and Future,1994,Philip A. Bernstein,conf/vldb/Bernstein94
VLDB,Form-Based Proxy Caching for Database-Backed Web Sites,2001,"Jeffrey F. Naughton, Qiong Luo",conf/vldb/LuoN01
VLDB J.,A Logical View of Structured Files,1998,"Tova Milo, Serge Abiteboul, Sophie Cluet",journals/vldb/AbiteboulCM98
SIGMOD Record,DBGlobe: a service-oriented P2P system for global computing,2003,"Evaggelia Pitoura, Serge Abiteboul, Michalis Vazirgiannis, Dieter Pfoser, George Samaras",journals/sigmod/PitouraAPSV03
SIGMOD Conference,Database Patchwork on the Internet,1999,"Reinhard Braumandl, Alfons Kemper, Donald Kossmann",conf/sigmod/BraumandlKK99
VLDB,Scientific Databases - State of the Art and Future Directions,1994,"Yannis E. Ioannidis, Maria Zemankova",conf/vldb/ZemankovaI94
VLDB,A Generic Approach to Bulk Loading Multidimensional Index Structures,1997,"Bernhard Seeger, Peter Widmayer, Jochen Van den Bercken",conf/vldb/BerckenSW97
VLDB,Data Bubbles for Non-Vector Data: Speeding-up Hierarchical Clustering in Arbitrary Metric Spaces,2003,"J�rg Sander, Jianjun Zhou",conf/vldb/ZhouS03
VLDB,Efficient Snapshot Differential Algorithms for Data Warehousing,1996,"Hector Garcia-Molina, Wilburt Labio",conf/vldb/LabioG96
VLDB,Integrating Triggers and Declarative Constraints in SQL Database Sytems,1996,"Roberta Cochrane, Hamid Pirahesh, Nelson Mendon�a Mattos",conf/vldb/CochranePM96
VLDB,Efficient IR-Style Keyword Search over Relational Databases,2003,"Yannis Papakonstantinou, Luis Gravano, Vagelis Hristidis",conf/vldb/HristidisGP03
VLDB J.,Indexing of now-relative spatio-bitemporal data,2002,"Simonas Saltenis, Christian S. Jensen",journals/vldb/SaltenisJ02
SIGMOD Conference,"Temporal Coalescing with Now, Granularity, and Incomplete Information",2003,Curtis E. Dyreson,conf/sigmod/Dyreson03
SIGMOD Record,Database Research at UT Arlington,2003,"Sharma Chakravarthy, Y. Alp Aslandogan, Ramez Elmasri, Leonidas Fegaras, Jung-Hwan Oh",journals/sigmod/ChakravarthyAEFO03
SIGMOD Record,Why Decision Support Fails and How To Fix It,1995,"Kevin Strehlo, Ralph Kimball",journals/sigmod/KimballS95
VLDB,A Low-Cost Storage Server for Movie on Demand Databases,1994,"Alexandros Biliris, Banu �zden, Abraham Silberschatz, Rajeev Rastogi",conf/vldb/OzdenBRS94
VLDB,Generating Call-Level Interfaces for Advanced Database Application Programming,1999,"Theo H�rder, Norbert Ritter, Udo Nink",conf/vldb/NinkHR99
SIGMOD Conference,Clustering by pattern similarity in large data sets,2002,"Haixun Wang, Wei Wang, Philip S. Yu, Jiong Yang",conf/sigmod/WangWYY02
SIGMOD Conference,MOCHA: A Database Middleware System Featuring Automatic Deployment of Application-Specific Functionality,2000,"Manuel Rodriguez-Martinez, Joseph J�J�, John M. McGann, Nick Roussopoulos, Zhexuan Song, Stephen Kelley, Vadim Katz",conf/sigmod/Rodriguez-Martinez00
SIGMOD Conference,Fact: A Learning Based Web Query Processing System,2000,"Zengping Tian, Hongjun Lu, Yanlei Diao, Songting Chen",conf/sigmod/ChenDLT00
SIGMOD Record,SQL Multimedia and Application Packages (SQL/MM),2001,"Jim Melton, Andrew Eisenberg",journals/sigmod/MeltonE01
VLDB,Bellcore's ADAPT/X Harness System for Managing Information on Internet and Intranets,1996,Amit P. Sheth,conf/vldb/Sheth96
SIGMOD Conference,XML Data Management Go Native or Spruce up Relational Systems? (Panel Abstract),2001,Per-�ke Larson,conf/sigmod/Larson01
SIGMOD Record,An Overview of Data Warehousing and OLAP Technology,1997,"Surajit Chaudhuri, Umeshwar Dayal",journals/sigmod/ChaudhuriD97
SIGMOD Conference,Staggered Striping in Multimedia Information Systems,1994,"Steven Berson, Richard R. Muntz, Shahram Ghandeharizadeh, Xiangyu Ju",conf/sigmod/BersonGMJ94
SIGMOD Record,Multimedia streaming in large-scale sensor networks with mobile swarms,2003,"Mario Gerla, Kaixin Xu",journals/sigmod/GerlaX03
SIGMOD Record,How to Modify SQL Queries in Order to Guarantee Sure Answers,1994,Hans-Joachim Klein,journals/sigmod/Klein94
VLDB,Materialization: A Powerful and Ubiquitous Abstraction Pattern,1994,"Alain Pirotte, Esteban Zim�nyi, Tatiana Yakusheva, David Massart",conf/vldb/PirotteZMY94
SIGMOD Conference,Dynamic Content Acceleration: A Caching Solution to Enable Scalable Dynamic Web Page Generation,2001,"Debra E. VanderMeer, Krithi Ramamritham, Helen M. Thomas, Anindya Datta, Kaushik Dutta",conf/sigmod/DattaDRTV01
SIGMOD Record,Data Modelling in the Large,1994,Martin Bertram,journals/sigmod/Bertram94
SIGMOD Conference,Updating XML,2001,"Daniel S. Weld, Zachary G. Ives, Igor Tatarinov, Alon Y. Halevy",conf/sigmod/TatarinovIHW01
SIGMOD Record,Research in Information Managment at Dublin City University,2002,"Alan F. Smeaton, Mark Roantree",journals/sigmod/RoantreeS02
SIGMOD Conference,The Multidimensional Database System RasDaMan,1998,"Andreas Dehmel, Peter Baumann, Norbert Widmann, Roland Ritsch, Paula Furtado",conf/sigmod/BaumannDFRW98
VLDB,Analyzing energy behavior of spatial access methods for memory-resident data,2001,"Anand Sivasubramaniam, Sudhanva Gurumurthi, Narayanan Vijaykrishnan, Ning An, Mary Jane Irwin, Mahmut T. Kandemir",conf/vldb/AnSVKIG01
VLDB,The Value of Merge-Join and Hash-Join in SQL Server,1999,Goetz Graefe,conf/vldb/Graefe99
SIGMOD Conference,Efficient execution of joins in a star schema,2002,Andreas Weininger,conf/sigmod/Weininger02
VLDB,PicoDMBS: Scaling Down Database Techniques for the Smartcard,2000,"Luc Bouganim, Patrick Valduriez, Philippe Pucheral, Christophe Bobineau",conf/vldb/ChristopheBPV00
VLDB,Multi-Dimensional Substring Selectivity Estimation,1999,"Divesh Srivastava, Olga Kapitskaia, Raymond T. Ng, H. V. Jagadish",conf/vldb/JagadishKNS99
VLDB J.,The Intrinsic Problems of Structural Heterogeneity and an Approach to Their Solution,1999,"Theo H�rder, Joachim Thomas, G�nter Sauter",journals/vldb/HarderST99
SIGMOD Conference,A Database Perspective on Lotus Domino/Notes,1999,C. Mohan,conf/sigmod/Mohan99
SIGMOD Record,"Domains, Relations and Religious Wars",1996,Rafael Camps,journals/sigmod/Camps96
VLDB,The Data-Centric Revolution in Networking,2003,Scott Shenker,conf/vldb/Shenker03
SIGMOD Conference,Cache-and-Query for Wide Area Sensor Databases,2003,"Phillip B. Gibbons, Srinivasan Seshan, Suman Kumar Nath, Amol Deshpande",conf/sigmod/DeshpandeNGS03
VLDB,A Cost Model for Clustered Object-Oriented Databases,1995,"Zhao-Hui Tang, Jean-Robert Gruser, Georges Gardarin",conf/vldb/GardarinGT95
VLDB,Expiring Data in a Warehouse,1998,"Wilburt Labio, Jun Yang, Hector Garcia-Molina",conf/vldb/Garcia-MolinaLY98
SIGMOD Record,Opportunities in Information Management and Assurance,1997,Xiaolei Qian,journals/sigmod/Qian97
VLDB,Finding Data in the Neighborhood,1997,"Andr� Eickler, Alfons Kemper, Donald Kossmann",conf/vldb/EicklerKK97
SIGMOD Conference,PREFER: A System for the Efficient Execution of Multi-parametric Ranked Queries,2001,"Yannis Papakonstantinou, Vagelis Hristidis, Nick Koudas",conf/sigmod/HristidisKP01
SIGMOD Record,Editor's Notes,2002,Ling Liu,journals/sigmod/Liu02
SIGMOD Conference,Rainbow: mapping-driven XQuery processing system,2002,"Mukesh Mulchandani, Elke A. Rundensteiner, Xin Zhang, Brian Murphy, Steffen Christ",conf/sigmod/ZhangMCMR02
VLDB J.,Algebraic Query Optimisation for Database Programming Languages,1996,"Carol Small, Alexandra Poulovassilis",journals/vldb/PoulovassilisS96
ACM Trans. Database Syst.,Static Analysis Techniques for Predicting the Behavior of Active Database Rules,1995,"Alexander Aiken, Jennifer Widom, Joseph M. Hellerstein",journals/tods/AikenHW95
SIGMOD Conference,The ORES Temporal Database Management System,1994,"Babis Theodoulidis, George Karvelis, Jayant Chaudhary, Aziz Ait-Braham, Simon Sou, George Andrianopoulos",conf/sigmod/TheodoulidisAACKS94
ACM Trans. Database Syst.,Magic Conditions,1996,"Hamid Pirahesh, Inderpal Singh Mumick, Raghu Ramakrishnan, Sheldon J. Finkelstein",journals/tods/MumickFPR96
VLDB,L/MRP: A Buffer Management Strategy for Interactive Continuous Data Flows in a Multimedia DBMS,1995,"Wolfgang Klas, Frank Moser, Achim Kraiss",conf/vldb/MoserKK95
SIGMOD Conference,"Ubiquitous, Self-tuning, Scalable Servers",1998,Peter M. Spiro,conf/sigmod/Spiro98
VLDB,Explaining Differences in Multidimensional Aggregates,1999,Sunita Sarawagi,conf/vldb/Sarawagi99
VLDB,A Performance Study of Workfile Disk Management for Concurrent Mergesorts in a Multiprocessor Database System,1995,"Kun-Lung Wu, Philip S. Yu, James Z. Teng, Jen-Yao Chung",conf/vldb/WuYCT95
SIGMOD Conference,Database in Crisis and Transition: A Technical Agenda for the Year 2001,1994,David Vaskevitch,conf/sigmod/Vaskevitch94
SIGMOD Conference,"Workflow Automation: Applications, Technology, and Research (Tutorial)",1995,Amit P. Sheth,conf/sigmod/Sheth95
SIGMOD Record,"Workshop on Performance and Architecture of Web Servers (PAWS-2000, held in conjection with SIGMETRICS-2000)",2000,"Krishna Kant, Prasant Mohapatra",journals/sigmod/KantM00
VLDB,A Scalable Algorithm for Answering Queries Using Views,2000,"Rachel Pottinger, Alon Y. Levy",conf/vldb/PottingerL00
SIGMOD Record,Why I Like Working in Academia,2002,Richard T. Snodgrass,journals/sigmod/Snodgrass02
SIGMOD Conference,Efficient and Tunable Similar Set Retrieval,2001,"Dimitrios Gunopulos, Aristides Gionis, Nick Koudas",conf/sigmod/GionisGK01
VLDB,Fast and Accurate Text Classification via Multiple Linear Discriminant Projections,2002,"Mahesh V. Soundalgekar, Soumen Chakrabarti, Shourya Roy",conf/vldb/ChakrabartiRS02
VLDB,"Business Process Coordination: State of the Art, Trends, and Open Issues",2001,"Meichun Hsu, Rivka Ladin, Umeshwar Dayal",conf/vldb/DayalHL01
VLDB,Work and Information Practices in the Sciences of Biodiversity,2000,Geoffrey C. Bowker,conf/vldb/Bowker00
SIGMOD Conference,Data Modeling of Time-Based Media,1994,"Simon J. Gibbs, Christian Breiteneder, Dennis Tsichritzis",conf/sigmod/GibbsBT94
ACM Trans. Database Syst.,Space Optimization in Deductive Databases,1995,"S. Sudarshan, Divesh Srivastava, Raghu Ramakrishnan, Jeffrey F. Naughton",journals/tods/SrivastavaSRN95
SIGMOD Record,Chair's Message,2000,Richard T. Snodgrass,journals/sigmod/Snodgrass00a
SIGMOD Record,Trade Press News - Announcement and Preface,1994,Rafael Alonso,journals/sigmod/Alonso94b
SIGMOD Conference,Improving Index Performance through Prefetching,2001,"Shimin Chen, Todd C. Mowry, Phillip B. Gibbons",conf/sigmod/ChenGM01
SIGMOD Record,New Programs at DARPA and NSF,1996,Xiaolei Qian,journals/sigmod/Qian96b
VLDB,Investigation of Algebraic Query Optimisation Techniques for Database Programming Languages,1994,"Alexandra Poulovassilis, Carol Small",conf/vldb/PoulovassilisS94
VLDB,"Physical Data Independence, Constraints, and Optimization with Universal Plans",1999,"Lucian Popa, Alin Deutsch, Val Tannen",conf/vldb/DeutschPT99
SIGMOD Conference,An Adaptive Query Execution System for Data Integration,1999,"Daniel S. Weld, Alon Y. Levy, Marc Friedman, Zachary G. Ives, Daniela Florescu",conf/sigmod/IvesFFLW99
VLDB,The Semantic Web Paving the Way to the Knowledge Society,2001,Pierre-Paul Sondag,conf/vldb/Sondag01
VLDB,Parallel Algorithms for High-dimensional Similarity Joins for Data Mining Applications,1997,"Rakesh Agrawal, John C. Shafer",conf/vldb/ShaferA97
ACM Trans. Database Syst.,Path sharing and predicate evaluation for high-performance XML filtering,2003,"Yanlei Diao, Hao Zhang, Peter M. Fischer, Michael J. Franklin, Mehmet Altinel",journals/tods/DiaoAFZF03
SIGMOD Conference,Processing Set Expressions over Continuous Update Streams,2003,"Sumit Ganguly, Minos N. Garofalakis, Rajeev Rastogi",conf/sigmod/GangulyGR03
VLDB,Performance Measurements of Compressed Bitmap Indices,1999,Theodore Johnson,conf/vldb/Johnson99
VLDB,Hierarchical Prefix Cubes for Range-Sum Queries,1999,"Chee Yong Chan, Yannis E. Ioannidis",conf/vldb/ChanI99
ACM Trans. Database Syst.,Removing permissions in the flexible authorization framework,2003,"�sa Hagstr�m, Duminda Wijesekera, Francesco Parisi-Presicce, Sushil Jajodia",journals/tods/WijesekeraJPH03
SIGMOD Conference,ARIADNE: A System for Constructing Mediators for Internet Sources,1998,"Ion Muslea, Greg Barish, Andrew Philpot, Craig A. Knoblock, Steven Minton, Jos� Luis Ambite, Pragnesh Jay Modi, Sheila Tejada, Naveen Ashish",conf/sigmod/AmbiteABKMMMPT98
ACM Trans. Database Syst.,Multiway spatial joins,2001,"Dimitris Papadias, Nikos Mamoulis",journals/tods/MamoulisP01
SIGMOD Conference,Implementing Data Cubes Efficiently,1996,"Anand Rajaraman, Jeffrey D. Ullman, Venky Harinarayan",conf/sigmod/HarinarayanRU96
SIGMOD Record,Recent Design Trade-offs in SQL3,1994,"Nelson Mendon�a Mattos, Linda G. DeMichiel",journals/sigmod/MattosD94
SIGMOD Record,SQLJ-Part 1: SQL Routines Using the Java Programming Language,1999,"Andrew Eisenberg, Jim Melton",journals/sigmod/EisenbergM99a
SIGMOD Conference,Similarity-Based Queries for Time Series Data,1997,"Alberto O. Mendelzon, Davood Rafiei",conf/sigmod/RafieiM97
SIGMOD Record,"A Distributed Scientific Data Archive Using the Web, XML and SQL/MED",1999,"Alistair N. Dunlop, Jasmin L. Wason, Denis A. Nicole, Mark Papiani",journals/sigmod/PapianiWDN99
VLDB,Viator - A Tool Family for Graphical Networking and Data View Creation,2002,"Katja Tham, Axel Kilian, Dieter Merkel, Peter Rieger, Stephan Heymann, Gunnar Wegner, Johann Christoph Freytag",conf/vldb/HeymannTKWRMF02
SIGMOD Record,Information Warfare and Security - Book Review,2001,H. V. Jagadish,journals/sigmod/Jagadish01
VLDB,The Persistent Cache: Improving OID Indexing in Temporal Object-Oriented Database Systems,1999,Kjetil N�rv�g,conf/vldb/Norvag99
VLDB,Estimating the Selectivity of Spatial Queries Using the `Correlation' Fractal Dimension,1995,"Christos Faloutsos, Alberto Belussi",conf/vldb/BelussiF95
VLDB J.,Semantic Heterogeneity Resolution in Federated Databases by Metadata Implantation and Stepwise Evolution,1999,"Dennis McLeod, Goksel Aslan",journals/vldb/AslanM99
SIGMOD Record,Performance Evaluation of a New Distributed Deadlock Detection Algorithm,1994,"Chim-fu Yeung, Kam-yiu Lam, Sheung-lun Hung",journals/sigmod/YeungHL94
SIGMOD Record,SQL and Management of External Data,2001,"Jan-Eike Michels, Jim Melton, Krishna G. Kulkarni, Peter M. Schwarz, Kathy Zeidenstein, Vanja Josifovski",journals/sigmod/MeltonMJKSZ01
VLDB,"AQuery: Query Language for Ordered Data, Optimization Techniques, and Experiments",2003,"Alberto Lerner, Dennis Shasha",conf/vldb/LernerS03
VLDB,Resource Scheduling in Enhanced Pay-Per-View Continuous Media Databases,1997,"Banu �zden, Minos N. Garofalakis, Abraham Silberschatz",conf/vldb/GarofalakisOS97
SIGMOD Conference,REVIEW: A Real Time Virtual Walkthrough System,2001,"Yixin Ruan, Zhiyong Huang, Kian-Lee Tan, Jason Chionh, Lidan Shou",conf/sigmod/ShouCTRH01
ACM Trans. Database Syst.,A Modified Random Perturbation Method for Database Security,1994,"Norman S. Matloff, Patrick Tendick",journals/tods/TendickM94
SIGMOD Conference,Managing Web Data,1999,Dan Suciu,conf/sigmod/Suciu99
VLDB,Loading the Data Warehouse Across Various Parallel Architectures,1996,Vijay V. Raghavan,conf/vldb/Raghavan96
SIGMOD Record,HODFA: An Architectural Framework for Homogenizing Heterogeneous Legacy Database,1995,"Qing Li, Kamalakar Karlapalem, Chung-Dak Shum",journals/sigmod/KarlapalemLS95
VLDB,"Database Tuning: Principles, Experiments, and Troubleshooting Techniques",2002,"Philippe Bonnet, Dennis Shasha",conf/vldb/ShashaB02
SIGMOD Record,Reminiscences an Influential Papers,2003,"Jeffrey F. Naughton, Minos N. Garofalakis, Kenneth A. Ross",journals/sigmod/RossGN03
SIGMOD Record,Application of OODB and SGML Techniques in Text Database: An Electronic Dictionary System,1995,Jian Zhang,journals/sigmod/Zhang95
SIGMOD Conference,Java and Relational Databases: SQLJ (Tutorial),1998,"Johannes Klein, Richard Pledereder, Gray Clossman, Brian Becker, Phil Shaw, Mark Hapner",conf/sigmod/ClossmanSHKPB98
SIGMOD Conference,Covering indexes for branching path queries,2002,"Raghav Kaushik, Henry F. Korth, Jeffrey F. Naughton, Philip Bohannon",conf/sigmod/KaushikBNK02
SIGMOD Conference,Semint: A System Prototype for Semantic Integration in Heterogeneous Databases,1995,"Wen-Syan Li, Chris Clifton",conf/sigmod/LiC95
SIGMOD Record,Career-Enhancing Services at SIGMOD Online,2001,"Alexandros Labrinidis, Alberto O. Mendelzon",journals/sigmod/LabrinidisM01
SIGMOD Conference,Revisiting Commit Processing in Distributed Database Systems,1997,"Krithi Ramamritham, Jayant R. Haritsa, Ramesh Gupta",conf/sigmod/GuptaHR97
ACM Trans. Database Syst.,Type-Checking OQL Queries In the ODMG Type Systems,1999,Suad Alagic,journals/tods/Alagic99
SIGMOD Conference,Things Every Update Replication Customer Should Know,1995,Rob Golding,conf/sigmod/Golding95
SIGMOD Record,In Memory of G�sli R. Hjaltason,2003,Bj�rn ��r J�nsson,journals/sigmod/Jonsson03
VLDB,Query Optimization by Predicate Move-Around,1994,"Inderpal Singh Mumick, Alon Y. Levy, Yehoshua Sagiv",conf/vldb/LevyMS94
SIGMOD Conference,Catching the Boat with Strudel: Experiences with a Web-Site Management System,1998,"Jaewoo Kang, Dan Suciu, Alon Y. Levy, Daniela Florescu, Mary F. Fernandez",conf/sigmod/FernandezFKLS98
SIGMOD Conference,Adaptable Query Optimization and Evaluation in Temporal Middleware,2001,"Christian S. Jensen, Richard T. Snodgrass, Giedrius Slivinskas",conf/sigmod/SlivinskasJS01
SIGMOD Conference,BIRCH: An Efficient Data Clustering Method for Very Large Databases,1996,"Raghu Ramakrishnan, Miron Livny, Tian Zhang",conf/sigmod/ZhangRL96
SIGMOD Conference,Time-parameterized queries in spatio-temporal databases,2002,"Dimitris Papadias, Yufei Tao",conf/sigmod/TaoP02
SIGMOD Conference,Scalable Parallel Data Mining for Association Rules,1997,"Eui-Hong Han, Vipin Kumar, George Karypis",conf/sigmod/HanKK97
ACM Trans. Database Syst.,An algebraic approach to static analysis of active database rules,2000,"Jennifer Widom, Elena Baralis",journals/tods/BaralisW00
VLDB,OS Support for VLDBs: Unix Enhancements for the Teradata Data Base,1995,"Sorana Rabinovici, John Catozzi",conf/vldb/CatozziR95
SIGMOD Conference,Dwarf: shrinking the PetaCube,2002,"Yannis Kotidis, Yannis Sismanis, Antonios Deligiannakis, Nick Roussopoulos",conf/sigmod/SismanisDRK02
SIGMOD Conference,Thinksheet: A Tool for Tailoring Complex Documents,1996,"Dao-I Lin, Peter Piatko, Roman Yangarber, Dennis Shasha",conf/sigmod/PiatkoYLS96
SIGMOD Conference,On-line Reorganization of Sparsely-populated B+trees,1996,"Betty Salzberg, Chendong Zou",conf/sigmod/ZouS96
SIGMOD Conference,Handling Very Large Databases with Informix Extended Parallel Server,2000,Andreas Weininger,conf/sigmod/Weininger00
VLDB,Including Group-By in Query Optimization,1994,"Surajit Chaudhuri, Kyuseok Shim",conf/vldb/ChaudhuriS94
VLDB,Value-cognizant Speculative Concurrency Control,1995,"Azer Bestavros, Spyridon Braoudakis",conf/vldb/BestavrosB95
SIGMOD Record,Data Mining: Practical Machine Learning Tools and Techniques - Book Review,2002,James Geller,journals/sigmod/Geller02
SIGMOD Record,Report on the 8th International Workshop on Knowledge Representation Meets Databases (KRDB),2001,"Dan Suciu, Maurizio Lenzerini, Daniele Nardi, Werner Nutt",journals/sigmod/LenzeriniNNS01
SIGMOD Conference,STARTS: Stanford Proposal for Internet Meta-Searching (Experience Paper),1997,"Hector Garcia-Molina, Luis Gravano, Kevin Chen-Chuan Chang, Andreas Paepcke",conf/sigmod/GravanoCGP97
VLDB,The X-tree : An Index Structure for High-Dimensional Data,1996,"Hans-Peter Kriegel, Stefan Berchtold, Daniel A. Keim",conf/vldb/BerchtoldKK96
VLDB,Eliminating Fuzzy Duplicates in Data Warehouses,2002,"Rohit Ananthakrishna, Venkatesh Ganti, Surajit Chaudhuri",conf/vldb/AnanthakrishnaCG02
VLDB,A Database Striptease or How to Manage Your Personal Databases,2003,"Michael J. Franklin, Surajit Chaudhuri, Alejandro P. Buchmann, Gerhard Weikum, Daniel A. Keim, Martin L. Kersten",conf/vldb/KerstenWFKBC03
SIGMOD Conference,An ebXML infrastructure implementation through UDDI registries and RosettaNet PIPs,2002,"Yildiray Kabak, Gokce Laleci, Sait Pektas, Serkan Toprak, Yusuf Tambag, Gokhan Kurt, Asuman Dogac, Pinar Pembecioglu",conf/sigmod/DogacTPPLKTK02
SIGMOD Record,Temporal Database System Implementations,1995,Michael H. B�hlen,journals/sigmod/Bohlen95
VLDB,XSEarch: A Semantic Search Engine for XML,2003,"Yaron Kanza, Yehoshua Sagiv, Sara Cohen, Jonathan Mamou",conf/vldb/CohenMKS03
VLDB,OPOSSUM: Desk-Top Schema Management through Customizable Visualization,1995,"Miron Livny, Eben M. Haber, Yannis E. Ioannidis",conf/vldb/HaberIL95
ACM Trans. Database Syst.,Atomicity and isolation for transactional processes,2002,"Hans-J�rg Schek, Gustavo Alonso, Heiko Schuldt, Catriel Beeri",journals/tods/SchuldtABS02
SIGMOD Conference,Logical Logging to Extend Recovery to New Domains,1999,"David B. Lomet, Mark R. Tuttle",conf/sigmod/LometT99
SIGMOD Conference,The IMPRESS DDT: A Database Design Toolbox Based on a Formal Specification Language,1994,"Jacek Skowronek, Maurice van Keulen, Jan Flokstra",conf/sigmod/FlokstraKS94
SIGMOD Conference,Online Aggregation,1997,"Helen J. Wang, Peter J. Haas, Joseph M. Hellerstein",conf/sigmod/HellersteinHW97
SIGMOD Conference,"Semi-automatic, Self-adaptive Control of Garbage Collection Rates in Object Databases",1996,"Artur Klauser, Alexander L. Wolf, Benjamin G. Zorn, Jonathan E. Cook",conf/sigmod/CookKWZ96
VLDB,A Single Pass Computing Engine for Interactive Analysis of VLDBs,1998,Ted Mihalisin,conf/vldb/Mihalisin98
VLDB,Fast Nearest Neighbor Search in Medical Image Databases,1996,"Zenon Protopapas, Christos Faloutsos, Eliot Siegel, Flip Korn, Nikolaos Sidiropoulos",conf/vldb/KornSFSP96
SIGMOD Record,Metadata for Digital Media: Introduction to the Special Issue,1994,"Amit P. Sheth, Wolfgang Klas",journals/sigmod/KlasS94
SIGMOD Record,"In Reply to Domains, relations and Religious Wars",1996,Hugh Darwen,journals/sigmod/Darwen96
VLDB,Bank of America Case Study: The Information Currency Advantage,1998,"Mark Jahnke, Felipe Cari�o",conf/vldb/CarinoJ98
VLDB J.,Tree pattern query minimization,2002,"Divesh Srivastava, SungRan Cho, Laks V. S. Lakshmanan, Sihem Amer-Yahia",journals/vldb/Amer-YahiaCLS02
