http://dbpedia.org/ontology/abstract,https://www.scads.de/movieBenchmark/ontology/title,http://dbpedia.org/ontology/episodeNumber,http://dbpedia.org/ontology/seasonNumber,entityUrl,http://dbpedia.org/ontology/releaseDate,https://www.scads.de/movieBenchmark/ontology/name,https://www.scads.de/movieBenchmark/ontology/job,https://www.scads.de/movieBenchmark/ontology/status,https://www.scads.de/movieBenchmark/ontology/company_type
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode5043396dir0,,John David Coles,director,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode14167directors0,,Tom Gries,directors,,
"Mike visits a coffee plantation in Hawaii and learns about the long process in how to make coffee, from picking the beans to roasting them.  Mike then goes to Sausalito, CA to be a marine mammal rescuer and help rehabilitate some injured seals.Finally, Mike learns about ostrich farming, from their daily upkeep to collecting their eggs.",Ostrich Farmer,8,1,https://www.scads.de/movieBenchmark/resource/TVDB/episode312625,2005-10-04,,,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode335173guestStars6,,Tom Amandes,guestStars,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode402863dir0,,Garth Maxwell,director,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode1130901dir0,,Mike Smith,director,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode19638guestStars2,,Carolyn McCormick,guestStars,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode14170guestStars0,,Alan Hale Jr.,guestStars,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode5539784directors0,,Na Young Seok,directors,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode81671guestStars1,,Christopher McCulloch,guestStars,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode186525directors0,,Robert B. Weide,directors,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode19690guestStars7,,Eric Lucas,guestStars,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode14134directors0,,Josef Leytes,directors,,
"Koyomi and Yotsugi land at the base of the mountain, where they are surprisingly met by Ougi Oshino. She talks with Koyomi for a while about his current situation and his upcoming confrontation with Teori. Koyomi and Yotsugi begin their journey up the mountain. The two discuss how they will be able to rescue Koyomi's sisters and Suruga. Koyomi hopes that they'll be able to sneak past Teori and get them without him noticing, but Yotsugi is doubtful of that plan. She expects that Koyomi will have to convince Teori to let them go, as this is how Koyomi normally deals with his opponents. Yotsugi then briefly explains how she was created. Back during their college days, Yozuru, Teori, Meme, and Deishu Kaiki did a project to create and artificial shikigami from the corpse of a human, under the direction of Izuko. Yozuru and Teori both fought for 'ownership' of Yotsugi, but in the end, Yotsugi chose to stay with Yozuru. This led to a falling out between Yozuru and Teori. Yotsugi discloses that the reason she is telling Koyomi this is because, if things were dire, he could choose to hand over Yotsugi to Teori in order to resolve the situation. Koyomi refuses to consider the option. He instead instructs Yotsugi to find the hostages, and use her power to immediately get away, while he distracts Teori. Yotsugi points out that if she were to leave, Koyomi and Shinobu would be left helpless before Teori. Yotsugi halfheartedly suggests offering Shinobu to Teori, which Koyomi refuses. Yotsugi points out that Koyomi's desire to have the hostages rescued while not being willing to give up either Yotsugi, Shinobu, or himself shows a lack of maturity. She then suggests that if she were to get close enough to Teori, she could use her powers to kill him before he has a chance to react. Koyomi is shocked at the suggestion. He wants to preserve what humanity is left in Yotsugi, and if she were to kill Teori, she would lose it. The two reach the shrine, and observe Teori. He is sitting on the offertory box, folding origami. Koyomi realizes that he is counting time with that: once the box is full of origami, time is up. Koyomi decides to use his simple decoy plan, and Yotsugi leaves to sneak in through the rear of the shrine. As Koyomi is preparing to confront Teori, Shinobu appears from his shadow. She tells him that she doesn't care if he is no longer human, so if Koyomi is about to die, she'll turn him into a full vampire. Koyomi then confronts Teori. Teori reveals that both he and Yozuru have a curse upon them that prevents them from walking on the ground. He then says that his reason for kidnapping those close to Koyomi was so that he could kill Koyomi. However, Teori is perplexed at the situation. He knows that he is there to kill Koyomi, but why him? On paper it seems like Teori is the best person to oppose Koyomi, almost as if he were cast for the role. He can't help but feel that someone else has manipulated events so that it would turn out to be him fighting Koyomi. While this conversation is taking place, Yotsugi is shown searching the shrine for the hostages. Koyomi is angered by Teori's musings on the situation, but Teori points out that Koyomi's anger merely fits the role that he had been cast. The two of them are following their scripts. He tells Koyomi to find Meme, as he is the one who could bring balance outside of the casting or script. Koyomi replies that he has searched, and asks Teori if he knows where Meme is. Teori replies that he does not. Teori drops a final origami into the offertory box, and it fills up. Teori gets ready to fight Koyomi, stating that he's sick of being manipulated and used like a pawn. Teori then appears to be talking to someone other than Koyomi. It is revealed to be Yotsugi, who appears in front of Teori. Yotsugi uses her powers and kills Teori. Koyomi is shocked. Yotsugi reassures him that he had nothing to do with her decision. Even if there were a way to save everyone, she decided to do it because she is a monster, in her own words. She tells Koyomi to not end up like her. Karen, Tsukihi, and Suruga are found in the offertory box, and are taken back to Suruga's house. Taking an external view of things, Koyomi realizes that the point of this incident was to create a rift between him and Yotsugi. He was disgusted by her actions. Later, Koyomi visits Hitagi Senjougahara's house, who surprises him with chocolates. He remembers that today is Valentine's Day. Koyomi and Hitagi discuss the previous day's events and what they mean for his future. Hitagi surmises that things are fine for now, and that worrying too much about the future isn't all that great. He should just focus on living his life. After returning home, Koyomi enters his sister's room and finds Yotsugi sitting on Tsukihi's bed. Yotsugi explains that she was won by Tsukihi in the same claw game that Koyomi played the previous night, though Tsukihi needed only three attempts to get her. She goes on to say that both Yozuru and Izuko realized that the point of the previous day's incident was to create a rift in between Koyomi and Yotsugi, and as such, they should oppose whatever party that is causing these incidents. Therefore, until balance is achieved in the town, Yotsugi will be living in the Araragi household, which will serve to help Koyomi and Yotsugi reconcile. ",Yotsugi Doll - Part 4,18,0,https://www.scads.de/movieBenchmark/resource/TVDB/episode5087117,2014-12-31,,,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode19679dir0,,Nick Gomez,director,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode117815dir0,,Rick Marshall,director,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode402864guestStars0,,Jessica Marais,guestStars,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/person3698,,Daniel Baldwin,actor,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode4646105directors0,,Martin Witz,directors,,
"D.J. Mickus was about to leave the DNA Club to go home for the night when he runs into an army of six-legged robots. He becomes the latest contestant in a manical game show, and he gets push off for not answering a question. Ace, Cosmo, and Vega go to the hospital to try to figure what really happen. Cosmo then, explains about the game show interrupting regular progamming and how the same commericals appear. Ace suddenly gets a phone call from the show's host saying a poetry clue on who will be the next victim. They figure it was Zelda Cosmo's friend. Zelda had a problem herself because her motorcycle makes it 240 miles per hour, but Ace and Cosmo saved her. Back at the Magic Express, Ace, Cosmo, and Vega learn who is behind all this and the game's host: Patrick Shoemaker. Ace started his own show and according to Angel, Shoemaker blamed Ace for the fall from fame. Shoemaker then calls Ace and challenges him to play as a contestant in order to guess the next victim. With no choice Ace",The Challenge,9,1,https://www.scads.de/movieBenchmark/resource/TVDB/episode8087,1999-04-24,,,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode186526writers0,,Larry David,writers,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode14200writers1,,Peter Barry,writers,,
"A behind the scenes look at a cast reunion for Seinfeld cast members Jerry Seinfeld, Louis-Dreyfus, Jason Alexander and Michael Richards to start off season seven of Curb Your Enthusiasm. ",It's Not A Reunion Show But It's The Closest You're Gonna Get,11,0,https://www.scads.de/movieBenchmark/resource/TVDB/episode1065381,2009-09-08,,,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode19640guestStars5,,Nguyen-Tu Tucker,guestStars,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode4777857directors0,,Salim Akil,directors,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode4646096directors0,,Malik Bendjelloul,directors,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode14154guestStars0,,Barbara Steele,guestStars,,
"The Russian president's state visit becomes a cold war of wills, and some punks heat things up.",Chapter 29,3,3,https://www.scads.de/movieBenchmark/resource/TVDB/episode5043397,2015-02-27,,,,
"Koyomi Araragi waits in the ruins of the cram school to ask Suruga Kanbaru for help, a request he hopes she will refuse.",Shinobu Mail - Part 1,7,4,https://www.scads.de/movieBenchmark/resource/TVDB/episode5356171,2015-11-15,,,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode19672guestStars2,,Isabella Hofmann,guestStars,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode186523guestStars8,,Jennifer Courtney,guestStars,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode4592330guestStars6,,J.D. Evermore,guestStars,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode14127guestStars2,,Viveca Lindfors,guestStars,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/person58218,,Kulvinder Ghir,actor,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/person235261,,Zdeněk Kryžánek,actor,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode84746directors0,,Ellen Gittelsohn,directors,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode6321011directors0,,Rob Cohen,directors,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode4134672writers0,,Larry David,writers,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode186506guestStars15,,Loren Marsteller,guestStars,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode186532guestStars1,,Allan Rich,guestStars,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode19622guestStars0,,Tony Lo Bianco,guestStars,,
"In the middle of spring cleaning, Brock's discovery of a lost videotape from Jonas Venture Sr. sets Team Venture off on a global scavenger hunt for the hidden pieces of a fantastic and potentially deadly machine.  But to save humanity from a terrible fate, they'll have to overcome death, drug addiction, Jonny Quest and Professor Impossible - all under the watchful eye of the mysterious Grand Galactic Inquisitor.",20 Years to Midnight,5,2,https://www.scads.de/movieBenchmark/resource/TVDB/episode311957,2006-08-06,,,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode7071365dir0,,Anya Adams,director,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode255690dir1,,Gareth Carrivick,director,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode19599writers0,,James Yoshimura,writers,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode4592330directors0,,Cary Fukunaga,directors,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode186507guestStars8,,Ming Lo,guestStars,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode19656guestStars2,,Karen Williams,guestStars,,
,Episode 22,22,2,https://www.scads.de/movieBenchmark/resource/TVDB/episode6345327,2017-09-13,,,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode186505guestStars3,,Jennifer Caldwell,guestStars,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode14145dir0,,Felix Feist,director,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/person310286,,Ian McKellen,actor,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode298424directors0,,Michael Jaffe,directors,,
"Not tipping for a favor gets Larry into bad graces with the studio lot's coffee guy, while Julia Louis-Dreyfus accuses him of leaving a ring on an antique table in her house. Meanwhile, he deals with the suspicion that their closeness during production of the Seinfeld reunion has led to Cheryl sleeping with Jason Alexander.",Seinfeld,10,7,https://www.scads.de/movieBenchmark/resource/TVDB/episode1321541,2009-11-22,,,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode6321011writers0,,Danny Chun,writers,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/person3711,,Yaphet Kotto,actor,,
"Last time on The Magician, Ace was traped in the cryogenic chamber because Gus's revenge. Cosmo and Dr. Charles opened the chamber Ace is in but his body slowly breaks up into pieces as Cosmo touches it. But that Ace was a phoney because the real Ace just showed up. Gus Moreland's condition is dangerously critical and he apologizes Ace for his rude attitude and wants to know the whole truth. Ace tells him what happen the day they try to steal the money from a sciece company. Ace then explains about Jac Malone and how he said Gus is out of the gang and lied to Ace that Gus can get out there himself. Gus gets real mad at Jack or in other words, Black Jack. So now he's going after his family to avenge Black Jack. Ace gets in the way when the Cryogenic Center collapsed. Ace survives and Cosmo and Vega goes to Croesus Palace to keep an eye on Black Jack while Ace goes to Mona's house to warn her not leave her home for her life is now in danger. Gus arrives at the Croesus Palace and arranges",Cold Sweat (2),22,1,https://www.scads.de/movieBenchmark/resource/TVDB/episode8100,1999-07-10,,,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode295433guestStars6,,Julian Richings,guestStars,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode295431guestStars1,,Kari Matchett,guestStars,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode4314166writers0,,Amelia Bullmore,writers,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode5356173directors0,,Akiyuki Shimbou,directors,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode186527guestStars10,,Alyson Lyon,guestStars,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode421105directors0,,Michael Hurst,directors,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode335173guestStars1,,JB Smoove,guestStars,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode19612directors1,,Tom Fontana,directors,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode19639writers2,,Tom Fontana,writers,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode6576686writers1,,Danny Chun,writers,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode4500042guestStars2,,Sally Field,guestStars,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/person471857,,Vegard Ylvisåker,actor,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode81673guestStars1,,Christopher McCulloch,guestStars,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode19678guestStars11,,Jerry Orbach,guestStars,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode19690guestStars2,,Bray Poor,guestStars,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode431068dir0,,Geoffrey Cawthorn,director,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode311963dir0,,Christopher McCulloch as Jackson Publick,director,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode186512directors0,,Keith Truesdell,directors,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode19625dir1,,Henry Bromell,director,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode255694dir0,,Nick Wood,director,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode5043417writers0,,Beau Willimon,writers,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode117783dir0,,Laura Shepherd,director,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode186495guestStars4,,Tim Bagley,guestStars,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode14121directors0,,Bernard Girard,directors,,
"On Lt. Vega's birthday, he thinks no one's concerned about it, but his secretary Miss LeSage deliver a surprise present from Ace. But before he open it, he gets another surprise present from Capt. Friedrichs. Vega gets to work with a strange new partner: a robotic police recruit named Cyber. Invented by the Cyber Corporation, Cyber is the first cybernetic police officer, and it won't be the last thanks to the company's vice-president, Eldin Tyrole. Cyber gets his first test at the Croesus Palace where two robbers are causing trouble. Ace and Cosmo stop the robbers are causing trouble. Ace and Cosmo stop the robbers and Cyber hauls them off to jail, giving the cybercop a media blitz. Back at the Magic Express, Ace, Cosmo, and Vega learn the robbery was a set-up to give Cyber publicity. Before Vega can give robbers questions, Tyrole who just happens to be Black Jack's niece has already freed them. Vega gets ticked off when two more cybercops try to clean his office. As he yells at Cyber,",Cyber,4,1,https://www.scads.de/movieBenchmark/resource/TVDB/episode8082,1999-03-20,,,,
The truth behind the thousand year old legend of the Seeker Kieran is uncovered.,Revenant,13,1,https://www.scads.de/movieBenchmark/resource/TVDB/episode431068,2009-02-28,,,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode19640guestStars0,,Mimi Kennedy,guestStars,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode7023435writers1,,Eric Wojtanik,writers,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode19674guestStars2,,Mekhi Phifer,guestStars,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode186523guestStars3,,Mina Kolb,guestStars,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode300451writers0,,Larry David,writers,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/person427688,,Kari Matchett,actor,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode19613guestStars2,,Lauren Tom,guestStars,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode4592329guestStars13,,Regis Harrington,guestStars,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode6253482directors0,,Akiyuki Shinbo,directors,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode4592330guestStars1,,Kevin Dunn,guestStars,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode400310directors0,,Mark Beesley,directors,,
,Koyomi Torus,29,0,https://www.scads.de/movieBenchmark/resource/TVDB/episode5484977,2016-03-05,,,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode4592332guestStars6,,J.D. Evermore,guestStars,,
"Ruthless and cunning, Congressman Francis Underwood and his wife Claire stop at nothing to conquer everything. This wicked political drama penetrates the shadowy world of greed, sex and corruption in modern D.C.",House of Cards (US),,,https://www.scads.de/movieBenchmark/resource/TVDB/tvSeries262980,2013-02-01,,,Ended,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode19647guestStars4,,Joey Scherr,guestStars,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode335176directors0,,Jeff Schaffer,directors,,
Isabella Rossellini explores the mating habits of worms., Earthworm,1,1,https://www.scads.de/movieBenchmark/resource/TVDB/episode6817818,2008-05-05,,,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode4575733guestStars0,,Terike Haapoja,guestStars,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode186506guestStars10,,Antoinette Spolar,guestStars,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/person328017,,Johannes Krisch,actor,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode181711guestStars1,,Karen Racicot,guestStars,,
"After the birthday party, Jaekyung shows her interest to Junpyo. With her easy going personality, Jaekyung becomes friend with Jandi. Although Jandi likes Jaekyung’s untainted and friendly attitude, she feels uncomfortable. Jihu runs into his grandfather while taking saddened Jandi to her volunteer work at the clinic. Yijung and Woobin fail to seclude Jaekyung from Junpyo. With Gaeul’s help, Yijung finally reunites Junpyo and Jandi.",Episode 16,16,1,https://www.scads.de/movieBenchmark/resource/TVDB/episode699381,2009-02-24,,,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode19660writers0,,Les Carter,writers,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode5776023directors0,,Robert Cohen,directors,,
"At last Jihu and Jandi go on an official date. Invited to Jihu's house, Jandi smiles bitterly at the remnants of Seohyun found all over the house. Tailing the two, Junpyo discovers that he still has feelings for Jandi. Meanwhile, Jandi rushes to the hospital upon hearing that Junpyo has been in an accident. There, she realizes her true feelings for Joon-pyo.",Episode 8,8,1,https://www.scads.de/movieBenchmark/resource/TVDB/episode699191,2009-01-27,,,,
Zedd uses magic to outsmart Darken Rahl and steal the third and final Box of Orden,Puppeteer,9,1,https://www.scads.de/movieBenchmark/resource/TVDB/episode402905,2009-01-17,,,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode72976guestStars2,,Don Megowan,guestStars,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode186507guestStars3,,Frances Collier,guestStars,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode19629dir0,,Barry Levinson,director,,
,Presenting document Whores' Glory,23,0,https://www.scads.de/movieBenchmark/resource/TVDB/episode4646097,2013-10-16,,,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode6035286dir0,,Claire Scanlon,director,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode117808directors0,,Rick Marshall,directors,,
White and Billy grapple with their archenemy in their old neighborhood; Doc realizes he cannot face his responsibilities alone.,Maybe No Go,2,6,https://www.scads.de/movieBenchmark/resource/TVDB/episode5497726,2016-02-08,,,,
,Special Guests: Jasper Pääkkönen and Päivi Uljas,53,0,https://www.scads.de/movieBenchmark/resource/TVDB/episode4982487,2014-09-03,,,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode14191dir0,,Ronald Weyman,director,,
"Mike Rowe takes a look at some of the tools and machines which make doing dirty jobs a little easier. Mike talks about some of the behind the scenes machine action from when he was a house mover, a tire recycler, a demolition worker, a scrap metal recycler, a golf ball recycler, and finally a hot tar roofer.",Dirtiest Tools & Machines,4,0,https://www.scads.de/movieBenchmark/resource/TVDB/episode339105,2006-01-03,,,,
"As the Jewish high holy days approach, a near-death experience, coupled with a comment made by his father, leaves Larry wondering if there's more to his identity than he thought. In better news, a sandwich now bears his name, but it's not entirely to his liking.",The Larry David Sandwich,1,5,https://www.scads.de/movieBenchmark/resource/TVDB/episode299599,2005-09-25,,,,
,Presenting document A Remix Manifesto,70,0,https://www.scads.de/movieBenchmark/resource/TVDB/episode4988879,2014-10-15,,,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/person414382,,Michael Ealy,actor,,
Monty wonders if it is possible to feel both happy and sad at the same time.,Hello Goodbye,28,1,https://www.scads.de/movieBenchmark/resource/TVDB/episode5747190,2016-09-14,,,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode295433guestStars1,,Robbie Rox,guestStars,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode19683guestStars9,,Charles J. Musumeci,guestStars,,
"Monty doesn't have any money to get his Mum a birthday gift, and wonders if a gift has to be big or cost money to be special.",The Greatest Gift,52,1,https://www.scads.de/movieBenchmark/resource/TVDB/episode6187956,2017-07-11,,,,
'Volume 5: Death in a Heartbeat - Murder of Victor Chang (60mins) (M)The Body in the Bag - Jane Doe (20 mins) (M)Contract to Kill - Megan Kalazcich (25 mins) (MA 15+)The Mornington Monster - John Myles Sharpe (25 mins) (MA 15,Volume 5,5,0,https://www.scads.de/movieBenchmark/resource/TVDB/episode4604152,,,,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode400311dir0,,Jesse Warn,director,,
"The series finale charts a year in the life of Freddie and Stuart, who enjoy their inheritance and a birthday. Violet, meanwhile, moves on from her divorce; and Ash has big news.",Finale - A Year,2,0,https://www.scads.de/movieBenchmark/resource/TVDB/episode5635981,2016-12-16,,,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode19686guestStars12,,Jonathan Orcutt,guestStars,,
Nature and human nature in William Wordsworth. Featured performer: Julian Glover.,"Wordsworth, 1770-1850",10,1,https://www.scads.de/movieBenchmark/resource/TVDB/episode4783338,1984-10-28,,,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode117802writers0,,Libby Hinson,writers,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode81668dir0,,Christopher McCulloch as Jackson Publick,director,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode6063234directors0,,Christine Gernon,directors,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode311953writers0,,Doc Hammer,writers,,
"'Mike Rowe goes on a wild goose chase - literally! After traveling to the tundra, Mike joins forces with a team of workers that round up a flock of wild geese with airplanes.",Wild Goose Chase,22,0,https://www.scads.de/movieBenchmark/resource/TVDB/episode334828,2007-08-27,,,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode19676writers1,,Anya Epstein,writers,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode370674guestStars0,,James Urbaniak,guestStars,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode19633guestStars7,,Zadalauna Watson,guestStars,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode6001590guestStars0,,Marko Lehtosalo,guestStars,,
