id,title,starring,entityUrl,writer,editor
153,Republic Pictures,Lane Bradford,Match7275,Ronald Davison,
154,,Emmanuelle Vaugier,D1154,Matthew Leutwyler,
155,Paradise Road,Frances Louise McDormand,Match14158,Martin Meader,
156,,Charles Grodin,Match9906,Neil Simon,
157,Harry and Tonto,Melanie Mayron,Match7344,Josh Greenfeld,
158,Rikyu,Rentaro Mikuni,Match14718,Genpei Akasegawa,
159,Brewster's Millions,John Franklin Candy,Match15020,George Barr McCutcheon,
160,Vivah,Shahid Kapoor,D1160,Sooraj R. Barjatya,
161,,Eddie Deezen,Match4183,Tim Conway,
162,,,Match1350,Nicholas Mosley,
163,,Diane Neal,Match7660,Joel Soisson,
164,Tuntematon sotilas,Reino Tolvanen,Match10573,Juha Nevalainen,
165,,Miriam Spickler,Match20886,Janet McClean,
166,,Georges Corraface,Match21855,Vicente Aranda Ezguerra,
167,,Kati Outinen,D1167,Timo Puustinen,
168,Satya,J.D Chakravarthy,Match10143,Saurabh Shukla,
169,Ruggles of Red Gap,Marie Anne Boland,Match16149,Humphrey Pearson,
170,Attack of the Puppet People,John Hoysradt,Match7086,George Worthing Yates,
171,,Eddi Rue McClanahan,Match25,Saladin K. Patterson,
172,Crossing Delancey,Jeroen Aart Krabbu00E9,Match5062,Susan Sandler,
173,,Peter Barton,Match21019,Randy Feldman,
174,Trial and Error,Michael Anthony Richards,Match4663,"Sara Bernstein
Gregory Bernstein",
175,,Mieczys?aw Czechowicz,D1175,Jacek Fedorowicz,
176,Renegades,,D1176,,
177,,Wendell Reid Corey,Match3114,Ketti Frings,
178,Hope Floats,Sandra Annette Bullock,Match14529,Steven Rogers,
179,,Alan Badel,D1179,Sidney Carroll,
180,Fata Morgana,"Marianne Benet
Antonia Casas
Alberto Dalbu00E9s
Antonio Ferrandis",Match16752,Gonzalo Suárez,
181,,Kamal Haasan,D1181,,
182,,Shraga Herpaz<BR>Niza Shaul<BR>Shimeon Finkel<BR>Hana Maron<BR>Andy Richman<BR>Anat Azmon,Match11146,Yaky Yosha,
183,,Mariel Hadley Hemingway,Match8489,Larry Jeff McMurtry,
184,Eklavya: The Royal Guard,Jackie Shroff,D1184,Vidhu Vinod Chopra,
185,,Ashok Kumar,Match16366,Apurba Kishore Bir,
186,The Left Hand of God,Agnes Robertson Moorehead,Match933,Alfred Hayes,
187,,Mahjabeen Bano,Match5536,,
188,,Kathrin Romany Beckinsale,Match2227,Bob Kellett,
189,,Richard Henry Sellers,Match16821,Stanley Mann,
190,Serial (film),Bud Geary,Match7273,Lynn Perkins,
191,,Phyllis Daniels,Match245,Émile Fabre,
192,,Gedde Watanabe,D1192,Hugh Parks,
193,,Emily Marie Bertelsen,Match8190,David Stern,
194,,Angelina Jolie Voight,Match4290,Glen Charles,
195,Rondo,Stevo Žigon,Match9528,Zvonimir Berkovi?,
196,The Agony and the Ecstasy,Harry Fleetwood Andrews,Match143,Irving Stone,
197,Meeting Resistance,,D1197,"Molly Bingham
Steve Connors",
198,,Vittorio Gassman,Match5371,"Ivan Shane
Maxwell Shane
Ivan Tors",
199,I Was a Teenage Frankenstein,Phyllis Coates,Match2599,Herman Cohen,
200,Cycle Psycho,Alfred Alderdice,D1200,John Lawrence,
201,,Antonio Rudolfo Oaxaca Quinn,Match14495,"Irving Stone (novel)
Norman Corwin",
202,,Larry Fine (actor),Match12631,,
203,Valiant,John Marwood Cleese,Match8332,Jordan Katz,
204,Rio Bravo,Ward Bond,Match16427,Jules Furthman,
205,War of the Worlds,Timothy Francis Robbins,Match6721,H. G. Wells,
206,Palmetto,Gina L. Gershon,Match5448,James Hadley Chase,
207,The Lonedale Operator,Verner Clarges,Match1936,Mack Sennett,
208,,William Davis Garwood Jr.,Match16018,Daniel Carson Goodman,
209,Rockin' with Judy Jetson,George O'Hanlon,Match5005,Joseph Barbera,
210,,Dyanne Maurer,D1210,Marven McGara,
211,"Sorry, Haters",Abdel Kechiche,Match11828,Jeff Stanzler,
212,Gilda Live,Gilda Susan Radner,Match4730,"Mike Nichols
Anne Beatts",
213,,Konidela Siva Sankara Vara Prasad,D1213,,
214,Andrey Rublyov,Anatoli Solonitsyn,Match2371,Andrei Konchalovsky,
215,Bucking Broadway,Molly Malone (actor),Match11140,George Hively,
216,Transylvania 6-5000,Carol Kane,Match4355,Rudy De Luca,
217,,Florence La Badie,Match206,,
218,,Bhanurekha Ganesan,Match3670,,
219,The Ultimate Gift,Donna Cherry,D1219,Jim Stovall,
220,,Corey Burton,Match8477,Kevin Campbell,
221,,Dale Hopkins,Match16703,Thomas Matthiesen,
222,Alvin Purple Rides Again,Graeme Blundell,Match12970,Alan Finney (actor),
223,,Mert Lawwill,Match13439,,
224,,Cecilia Cheung,Match11844,Yau Nai-Hoi,
225,,Diane Keen,D1225,Tudor Gates,
226,Mikau00EBl,Nora Gregor,D1226,Carl Theodor Dreyer,
227,,Woody Strode,Match12030,Edgar Rice Burroughs,
228,Fortress,Vernon Wells (actor),Match11949,Gabrielle Lord,
229,Black Hole,Kristy Swanson,Match1730,David Goodin,
230,Bad Dreams,Harris Yulin,Match9126,Andrew Fleming,
231,,Willie Nelson,Match5193,,
232,Zaza,Herbert Brough Falcon Marshall,Match15199,Pierre Berton,
233,,Tonino Guerra,Match12525,Alexander Sokurov,
234,The Red Badge of Courage,Robert Easton (actor),Match9944,Stephen Crane,
235,Serial (film),Ralph Hodges,Match2657,Ray Bailey,
236,The Good Night,Penu00E9lope Cruz Su00E1nchez,D1236,Jake Paltrow,
237,Nothing to Lose,"Arisara Wongchalee
Pierre Png",Match5780,Danny Pang,
238,,Tangi Miller,D1238,Mark Jones (screenwriter),
239,Supergator,Brad Johnson,D1239,Brian Clyde,
240,One Man's Journey,Dorothy Jordan (actress),Match650,Katharine Havilland-Taylor,
241,Kaliyugaya,"Punya Heendeniya
Henry Jayasena
Trelicia Gunawardena
Wickrema Bogoda",Match2609,A.J. Gunawardena,
242,,"Yamila Greco
 Eduardo Poli
 Andrea Alfonso
 Rodrigo Bianco
 Silvia Paz
 Salvador Haidar",D1242,Mariano Peralta,
243,,,D1243,David Keller,
244,,Çetin Tekindor,D1244,Ça?an Irmak,
245,Vampire Circus,Adrienne Riccoboni,Match13060,Judson Kinberg,
246,The Coastline,,D1246,,
247,,Allyn Joslyn,Match21192,,
248,,Mumtaz (actress),Match20917,,
249,,Charlotte Burton,Match8831,,
250,,Wallace Fitzgerald Beery,D1250,,
251,Gwendoline,Jean Rougerie,Match14433,John Willie,
252,,"Hobart Bosworth
Betty Harte",Match13690,Robert Louis Stevenson,
253,A Home at the End of the World,Colin James Farrell,Match15071,Michael Cunningham,
254,,Donald David Dixon Ronald Ou2019Connor,Match9403,"Lamar Trotti (story)
Phoebe Ephron
Henry Ephron",
255,,"Othon Bastos
 Mauru00EDcio do Valle",Match5642,,
256,,Nalini Murthy,Match16361,Poornachandra Tejaswi,
257,The Mirror,,Match16253,,
258,Pat and Mike,Katharine Hepburn,Match12,Ruth Gordon Jones,
259,Genie Award for Best Motion Picture,Patrick Goyette,Match916,Robert Lepage,
260,Party,Om Puri,Match16802,Mahesh Elkunchwar,
261,The Computer Wore Tennis Shoes,Alan Hewitt,Match13274,Joseph L. McEveety,
262,Rain Without Thunder,Jeff Daniels (actor),Match17026,Gary Bennet,
263,Mabel and Fatty's Married Life,Mabel Normand,Match6556,,
264,Sissi - Die junge Kaiserin,Rosemarie Magdalena Albach-Retty,Match10157,Ernst Marischka,
265,Contract Killers,Frida Show,D1265,Justin B. Rhodes,
266,,Ross Hagen,Match1303,Tony Huston,
267,Gangster No. 1,Malcolm John Taylor,Match1969,Johnny Ferguson,
268,George of the Jungle,John Marwood Cleese,Match21138,Dana Olsen,
269,Freedom Writers,Patrick Galen Dempsey,Match15591,Erin Gruwell,
270,,Jérémy Sanguinetti,Match8740,Etienne Faure,
271,Akasa Veedhilo,Gadde Rajendra Prasad,Match10211,Singeetam Srinivasa Rao,
272,,The Snow Queen (1957 film)#Voices,Match12726,Lev Atamanov,
273,,Periwinkle Kay O'Brien,D1273,Mike Mignola,
274,An Everlasting Piece,Brían F. O'Byrne,Match8475,Barry McEvoy,
275,,"Nandamuri Bala Krishna, Tabu, Shriya, Chalapathi Rao, Devayani, Jayaprakash Reddy",D1275,Ratnam,
276,Mon beau-fru00E8re a tuu00E9 ma soeur,,Match6168,Jacques Rouffio,
277,,Sacha Noam Baron Cohen 1987,Match10784,Sacha Noam Baron Cohen 1987,
278,Guyana Tragedy: The Story of Jim Jones,Todd Jones,Match2349,Charles A. Krause,
279,,Pentti Siimes,D1279,Mika Waltari,
280,Abby,Carol Speed,Match20322,G. Cornell Layne,
281,Quick Change,Virginia Elizabeth Davis,Match15273,Howard Franklin,
282,,Mr. Biz,D1282,Azur Allen,
283,Genie Award for Best Motion Picture,Gilles Maheu,Match7129,Jean-Claude Lauzon,
284,All of Me,Madolyn Smith,Match2454,Phil Alden Robinson,
285,Vertical Limit,Christopher Eugene O'Donnell,Match13879,Robert King,
286,Never Die Alone,DMX (rapper),Match10947,James Gibson (writer),
287,,Bryce Dallas Howard,D1287,Tennessee Williams,
288,,Sergei Stolyarov,Match22180,Alexander Dovzhenko,
289,The Bushido Blade,Richard Boone,Match11177,,
290,,David Suchet,Match17364,Stewart Harcourt,
291,,Pichet Pumhem,D1291,,
292,Metro,Irfan Khan,D1292,Anurag Basu,
293,Cold Creek Manor,Sharon Vonne Stone,Match11184,Richard Jeffries,
294,,James Stewart (actor),Match8692,Owen Crump,
295,,Valérie Lemercier,Match13094,Christopher Thompson,
296,,,D1296,Pao Lei,
297,,Ólafía Hrönn Jónsdóttir,Match13600,Arnaldur Indriðason,
298,The Baxter,Michael Showalter,Match8819,Michael Showalter,
299,,Vadim Glowna,Match16207,David Rayfiel,
300,The Mothman Prophecies,Lucinda Jenney,Match16558,Lewis Klahr,
301,Korczak,Ewa Dalkowska,D1301,Agnieszka Holland,
302,Dirty Hands,,D1302,Cetywa Powell,
303,Encino Man,Robin Tunney,Match14328,"George Zaloom
Shawn Schepps",
304,Faustrecht der Freiheit,Kurt Raab,Match6710,Christian Hohoff,
305,The Crimes of Stephen Hawke,Eric Harrison Portman,Match15358,H. F. Maltby,
306,Frostbiten,"Petra Nielsen, Grete Havnesku00F6ld, Jonas Karlstru00F6m & Emma u00C5berg",Match5675,Daniel Ojanlatva & Pidde Andersson,
307,National Lampoon Goes the the Movies,Robby Benson,Match10103,Gerald Sussman,
308,,William Davis Garwood Jr.,Match6719,,
309,,Phylbert Angellie Ranollo Fagestrom,Match11089,,
310,The Facts of Life,Lucille Du00E9siru00E9e Ball,Match19819,Norman Panama,
311,,Paul Rodgers,D1311,,
312,Jury Prize (Cannes Film Festival),Bruce Jones,Match11851,Jim Allen,
313,,Steve Jocz,D1313,,
314,You Only Live Once,Henry Jaynes Fonda,Match16076,C. Graham Baker,
315,,Nathalie Richard,Match13707,Christophe Honore,
316,,Theodor Friedrich Emil Janenz,Match14870,Carl Mayer,
317,,John Stephen Goodman,Match7716,Jeff Pidgeon,
318,Athanokkade,Kalyan Ram,D1318,Surender Reddy,
319,,Abhay Singh Deol,Match22686,Imtiaz Ali,
320,,Mukesh Khanna,Match11754,,
321,,Turhan Bey,Match15730,Curt Siodmak,
322,Atoll K,Suzy Delair,Match22625,"John D. Klorer
Frederick Kohner
Piero Tellini
Renu00E9 Wheeler",
323,Who Dares Wins,Lewis Collins,Match13351,Reginald Rose,
324,,Monica Bellucci,D1324,Carl Austin,
325,,Ernest B. Schoedsack,Match11829,Terry Ramsaye,
326,Blades of Glory,Romany Malco,Match6914,Jeff Cox,
327,Fearless,Thomas Edward Hulce,Match11866,Rafael Yglesias,
328,Darling,Isha Koppikar,D1328,Kusum Punjabi,
329,Ocean's Thirteen,Caleb Casey Affleck,Match7179,Brian Koppelman,
330,,Käthe Haack,Match9721,Fridel Köhne,
331,Children of Divorce,Esther Ralston,Match6466,Owen Johnson,
332,Street Smart,Morgan Freeman,Match16282,David Freeman,
333,,Rutger Oelsen Hauer,Match7023,Charles Robert Carner,
334,,Allari Naresh,D1334,"Varaprasad varma
EVV Satyanarayana",
335,"Merry Christmas, Mr. Lawrence",Thomas Conti,Match12801,Laurens van der Post,
336,The Sky is Falling,Howard Hesseman,Match7210,Florrie Laurence,
337,Acciu00F3n mutante,Fernando Guillén,Match6213,Jorge Guerricaechevarría,
338,The Longest Night in Shanghai,Zhao Wei,D1338,Yuji Yamamura,
339,,Robertas Urbonas,Match22250,Algimantas Puipa,
340,,Charles Hawtrey,Match17689,Talbot Rothwell,
341,A Walk to Remember,Mandy Moore,Match21450,Karen Janszen,
342,The Glass Mountain,Dulcie Gray,Match20825,Emery Bonnet,
343,Truth in Numbers: The Wikipedia Story,Ward Cunningham,D1343,,
344,Robin's Big Date,Sam Rockwell,Match14399,Will Carlough,
345,,Otto Sander,Match6045,"Christian Rateuke
Hartmann Schmige",
346,Texas Rangers,Christopher Ashton Kutcher,Match20633,Scott Busby,
347,,Ashok Kumar,Match17200,,
348,,Vivian Rich,Match19234,,
349,La Battaglia dell'ultimo panzer,Guy Madison,Match5385,"Giuseppe Chiarolla
Giuliana Garavaglia
Josu00E9 Luis Merino",
350,Zyzzyx Rd.,Tom Sizemore,D1350,John Penney,
351,,K. N. Singh,Match17244,,
352,The Trail of Hate,John Martin Feeney,Match19606,John Martin Feeney,
353,The Cars That Ate Paris,Terry Camilleri,Match4931,Peter Lindsay Weir,
354,,Ola Ray,Match17429,John David Landis,
355,,Tito Alonso,Match7517,Israel Chas de Cruz,
356,Yaadein,Balraj Dutt,Match16718,Akhtar-Ul-Iman,
357,Black Moon,Cathryn Harrison,Match13127,Joyce Buñuel,
358,The Tenderfoot's Money,Henry DeWitt Carey II,Match21944,Stanner E.V. Taylor,
359,House Party,Robin Harris,Match11484,Reginald Hudlin,
360,,Henry Herman McKinnies Jr.,D1360,"Harry Kleiner
(story)
Art Cohn",
361,In My Father's Den,David Matthew Macfadyen,Match18727,Brad McGann,
362,,Randolph Scott,Match13643,Thomas Leo McCarey,
363,,Soha Ali Khan,D1363,Yogesh Vinayak Joshi,
364,Phir Milenge,Shilpa Shetty,Match21979,Atul Sabharwal,
365,,Sangeetha,D1365,,
366,Get Smart,Steven John Carell,Match2970,"Tom J. Astle
Matt Ember",
367,,Brian Lopes,D1367,Derek Westerlund,
368,,Liv Johanne Ullmann,Match15936,Jeanine Meerapfel,
369,Plunkett & Macleane,Alan Cumming,Match3259,,
370,Perfect Friday,Ursula Andress,Match13254,Anthony Greville-Bell,
371,March of the Penguins,Emperor Penguin,Match12661,Luc Jacquet,
372,Dog Day Afternoon,James Broderick,Match15576,P. F. Kluge,
373,,Oliver Parniere,Match12204,"Catherine Breillat
Roger Salloch",
374,,Alexandra Wescourt,Match3258,Joel Soisson,
375,Masked,Hoot Gibson,Match18250,Harvey Gates,
376,Under Cover Man,,Match20137,John Wilstach,
377,,Ali,Match17517,,
378,,Jeffrey Alan Combs,Match2005,Kenneth M. Badish,
379,,,Match3840,Andrew Bampfield,
380,,Symona Boniface,Match20490,Felix Adler,
381,,Linda Hunt,Match20861,"Allen Estrin
Cindy Marcus
Flip Kobler",
382,Space Cowboys,James Scott Bumgarner,Match3021,Ken Kaufman,
383,,Michael Hordern,D1383,A. J. Cronin,
384,,Mariel Hadley Hemingway,Match18832,Mike Binder,
385,Till glu00E4dje,Maj-Britt Nilsson,D1385,Ingmar Bergman,
386,,Helen Westcott,Match14446,David Lang,
387,,Gail Russell,Match7548,Frank Partos,
388,The Secret Fury,Robert Bushnell Ryan,Match3303,Jack Leonard,
389,Elegy,Sonja Bennett,D1389,Nicholas Meyer,
390,Futurama: Bender's Big Score,Maurice LaMarche,Match3495,David X. Cohen,
391,,"Ivo Livi, born of Catholic peasants in Italy",Match5110,Henri Verneuil,
392,,Isha Sharvani,D1392,,
393,Scarfies,Willa O'Neill,D1393,Duncan Sarkies & Robert Sarkies,
394,,Marc Johnson (skateboarder),D1394,,
395,,Mel Blanc,Match2247,Tedd Pierce,
396,The Day of the Locust,Donald McNichol Sutherland,Match11591,Waldo Salt,
397,Where the Green Ants Dream,Bruce Spence,Match2775,Bob Ellis,
398,,Peter Henry Fonda,Match19826,Britt Allcroft,
399,Amorosa,Stina Ekblad,Match7847,Mai Zetterling,
400,,Flanagan (model),Match18346,Stanley  Long,
401,,Mary Jane West,Match15144,Michael Sarne,
402,Strange Days,Angela Bassett,Match14580,Jay Cocks,
403,Madhumasam,Parvati Melton,D1403,"Chandra Siddhartha (screenplay) 
 Satyanand (dialogue) 
 Balabhadrapatruni Ramani (novel)",
404,Dus,Shilpa Shetty,D1404,Mukul S. Anand,
405,,Tak Sakaguchi,Match12844,Ryuhei Kitamura,
406,,Leo Gordon,Match13803,Leo Gordon,
407,,Punya Heendeniya,D1407,P. K. D. Seneviratne,
408,Grand Prix (Cannes Film Festival),Giuseppe Ieracitano,Match22068,Stefano Rulli,
409,,Nell Barry,Match22132,Marisa Silver,
410,Dark Harvest,Jessica Dunphy,Match11875,Paul Moore,
411,Eraserhead,Charlotte Stewart,Match17844,David Keith Lynch,
412,,Sabiha,D1412,Hasan Imtisal,
413,,Charles Dennis Buchinsky,Match22093,Elliott Baker,
414,,Jonathan Winters,Match3240,Jim Lehrer,
415,Stardust,Adam Faith,Match22846,Ray Connolly,
416,Golden Lion,Rosalie Anderson MacDowell,Match20852,Frank Barhydt,
417,Going Upriver,,Match18595,Douglas Brinkley,
418,Beyond Evil,David Opatoshu,Match20495,"David Baughn
Herb Freed
Paul Ross",
419,,Rochelle Hudson,Match14,W. P. Lipscomb,
420,,Monte Collins,Match816,Clyde Bruckman,
