authors,venue,title,year,entityUrl
"Steven Berson, Richard R. Muntz, Shahram Ghandeharizadeh, Xiangyu Ju",SIGMOD Conference,Staggered Striping in Multimedia Information Systems,1994,conf/sigmod/BersonGMJ94
"Mario Gerla, Kaixin Xu",SIGMOD Record,Multimedia streaming in large-scale sensor networks with mobile swarms,2003,journals/sigmod/GerlaX03
Hans-Joachim Klein,SIGMOD Record,How to Modify SQL Queries in Order to Guarantee Sure Answers,1994,journals/sigmod/Klein94
"Alain Pirotte, Esteban Zim�nyi, Tatiana Yakusheva, David Massart",VLDB,Materialization: A Powerful and Ubiquitous Abstraction Pattern,1994,conf/vldb/PirotteZMY94
"Debra E. VanderMeer, Krithi Ramamritham, Helen M. Thomas, Anindya Datta, Kaushik Dutta",SIGMOD Conference,Dynamic Content Acceleration: A Caching Solution to Enable Scalable Dynamic Web Page Generation,2001,conf/sigmod/DattaDRTV01
Martin Bertram,SIGMOD Record,Data Modelling in the Large,1994,journals/sigmod/Bertram94
"Daniel S. Weld, Zachary G. Ives, Igor Tatarinov, Alon Y. Halevy",SIGMOD Conference,Updating XML,2001,conf/sigmod/TatarinovIHW01
"Alan F. Smeaton, Mark Roantree",SIGMOD Record,Research in Information Managment at Dublin City University,2002,journals/sigmod/RoantreeS02
"Andreas Dehmel, Peter Baumann, Norbert Widmann, Roland Ritsch, Paula Furtado",SIGMOD Conference,The Multidimensional Database System RasDaMan,1998,conf/sigmod/BaumannDFRW98
Goetz Graefe,VLDB,The Value of Merge-Join and Hash-Join in SQL Server,1999,conf/vldb/Graefe99
Andreas Weininger,SIGMOD Conference,Efficient execution of joins in a star schema,2002,conf/sigmod/Weininger02
"Theo H�rder, Joachim Thomas, G�nter Sauter",VLDB J.,The Intrinsic Problems of Structural Heterogeneity and an Approach to Their Solution,1999,journals/vldb/HarderST99
C. Mohan,SIGMOD Conference,A Database Perspective on Lotus Domino/Notes,1999,conf/sigmod/Mohan99
Rafael Camps,SIGMOD Record,"Domains, Relations and Religious Wars",1996,journals/sigmod/Camps96
Scott Shenker,VLDB,The Data-Centric Revolution in Networking,2003,conf/vldb/Shenker03
"Phillip B. Gibbons, Srinivasan Seshan, Suman Kumar Nath, Amol Deshpande",SIGMOD Conference,Cache-and-Query for Wide Area Sensor Databases,2003,conf/sigmod/DeshpandeNGS03
"Zhao-Hui Tang, Jean-Robert Gruser, Georges Gardarin",VLDB,A Cost Model for Clustered Object-Oriented Databases,1995,conf/vldb/GardarinGT95
"Wilburt Labio, Jun Yang, Hector Garcia-Molina",VLDB,Expiring Data in a Warehouse,1998,conf/vldb/Garcia-MolinaLY98
Xiaolei Qian,SIGMOD Record,Opportunities in Information Management and Assurance,1997,journals/sigmod/Qian97
"Andr� Eickler, Alfons Kemper, Donald Kossmann",VLDB,Finding Data in the Neighborhood,1997,conf/vldb/EicklerKK97
"Yannis Papakonstantinou, Vagelis Hristidis, Nick Koudas",SIGMOD Conference,PREFER: A System for the Efficient Execution of Multi-parametric Ranked Queries,2001,conf/sigmod/HristidisKP01
Ling Liu,SIGMOD Record,Editor's Notes,2002,journals/sigmod/Liu02
"Mukesh Mulchandani, Elke A. Rundensteiner, Xin Zhang, Brian Murphy, Steffen Christ",SIGMOD Conference,Rainbow: mapping-driven XQuery processing system,2002,conf/sigmod/ZhangMCMR02
"Alexander Aiken, Jennifer Widom, Joseph M. Hellerstein",ACM Trans. Database Syst.,Static Analysis Techniques for Predicting the Behavior of Active Database Rules,1995,journals/tods/AikenHW95
"Babis Theodoulidis, George Karvelis, Jayant Chaudhary, Aziz Ait-Braham, Simon Sou, George Andrianopoulos",SIGMOD Conference,The ORES Temporal Database Management System,1994,conf/sigmod/TheodoulidisAACKS94
"Hamid Pirahesh, Inderpal Singh Mumick, Raghu Ramakrishnan, Sheldon J. Finkelstein",ACM Trans. Database Syst.,Magic Conditions,1996,journals/tods/MumickFPR96
"Wolfgang Klas, Frank Moser, Achim Kraiss",VLDB,L/MRP: A Buffer Management Strategy for Interactive Continuous Data Flows in a Multimedia DBMS,1995,conf/vldb/MoserKK95
Peter M. Spiro,SIGMOD Conference,"Ubiquitous, Self-tuning, Scalable Servers",1998,conf/sigmod/Spiro98
Sunita Sarawagi,VLDB,Explaining Differences in Multidimensional Aggregates,1999,conf/vldb/Sarawagi99
"Kun-Lung Wu, Philip S. Yu, James Z. Teng, Jen-Yao Chung",VLDB,A Performance Study of Workfile Disk Management for Concurrent Mergesorts in a Multiprocessor Database System,1995,conf/vldb/WuYCT95
David Vaskevitch,SIGMOD Conference,Database in Crisis and Transition: A Technical Agenda for the Year 2001,1994,conf/sigmod/Vaskevitch94
Amit P. Sheth,SIGMOD Conference,"Workflow Automation: Applications, Technology, and Research (Tutorial)",1995,conf/sigmod/Sheth95
"Krishna Kant, Prasant Mohapatra",SIGMOD Record,"Workshop on Performance and Architecture of Web Servers (PAWS-2000, held in conjection with SIGMETRICS-2000)",2000,journals/sigmod/KantM00
Richard T. Snodgrass,SIGMOD Record,Why I Like Working in Academia,2002,journals/sigmod/Snodgrass02
"Dimitrios Gunopulos, Aristides Gionis, Nick Koudas",SIGMOD Conference,Efficient and Tunable Similar Set Retrieval,2001,conf/sigmod/GionisGK01
"Mahesh V. Soundalgekar, Soumen Chakrabarti, Shourya Roy",VLDB,Fast and Accurate Text Classification via Multiple Linear Discriminant Projections,2002,conf/vldb/ChakrabartiRS02
"Meichun Hsu, Rivka Ladin, Umeshwar Dayal",VLDB,"Business Process Coordination: State of the Art, Trends, and Open Issues",2001,conf/vldb/DayalHL01
Geoffrey C. Bowker,VLDB,Work and Information Practices in the Sciences of Biodiversity,2000,conf/vldb/Bowker00
"Simon J. Gibbs, Christian Breiteneder, Dennis Tsichritzis",SIGMOD Conference,Data Modeling of Time-Based Media,1994,conf/sigmod/GibbsBT94
"S. Sudarshan, Divesh Srivastava, Raghu Ramakrishnan, Jeffrey F. Naughton",ACM Trans. Database Syst.,Space Optimization in Deductive Databases,1995,journals/tods/SrivastavaSRN95
Richard T. Snodgrass,SIGMOD Record,Chair's Message,2000,journals/sigmod/Snodgrass00a
Rafael Alonso,SIGMOD Record,Trade Press News - Announcement and Preface,1994,journals/sigmod/Alonso94b
"Shimin Chen, Todd C. Mowry, Phillip B. Gibbons",SIGMOD Conference,Improving Index Performance through Prefetching,2001,conf/sigmod/ChenGM01
Xiaolei Qian,SIGMOD Record,New Programs at DARPA and NSF,1996,journals/sigmod/Qian96b
"Lucian Popa, Alin Deutsch, Val Tannen",VLDB,"Physical Data Independence, Constraints, and Optimization with Universal Plans",1999,conf/vldb/DeutschPT99
"Daniel S. Weld, Alon Y. Levy, Marc Friedman, Zachary G. Ives, Daniela Florescu",SIGMOD Conference,An Adaptive Query Execution System for Data Integration,1999,conf/sigmod/IvesFFLW99
Pierre-Paul Sondag,VLDB,The Semantic Web Paving the Way to the Knowledge Society,2001,conf/vldb/Sondag01
"Rakesh Agrawal, John C. Shafer",VLDB,Parallel Algorithms for High-dimensional Similarity Joins for Data Mining Applications,1997,conf/vldb/ShaferA97
"Yanlei Diao, Hao Zhang, Peter M. Fischer, Michael J. Franklin, Mehmet Altinel",ACM Trans. Database Syst.,Path sharing and predicate evaluation for high-performance XML filtering,2003,journals/tods/DiaoAFZF03
"Sumit Ganguly, Minos N. Garofalakis, Rajeev Rastogi",SIGMOD Conference,Processing Set Expressions over Continuous Update Streams,2003,conf/sigmod/GangulyGR03
Theodore Johnson,VLDB,Performance Measurements of Compressed Bitmap Indices,1999,conf/vldb/Johnson99
"Chee Yong Chan, Yannis E. Ioannidis",VLDB,Hierarchical Prefix Cubes for Range-Sum Queries,1999,conf/vldb/ChanI99
"�sa Hagstr�m, Duminda Wijesekera, Francesco Parisi-Presicce, Sushil Jajodia",ACM Trans. Database Syst.,Removing permissions in the flexible authorization framework,2003,journals/tods/WijesekeraJPH03
"Ion Muslea, Greg Barish, Andrew Philpot, Craig A. Knoblock, Steven Minton, Jos� Luis Ambite, Pragnesh Jay Modi, Sheila Tejada, Naveen Ashish",SIGMOD Conference,ARIADNE: A System for Constructing Mediators for Internet Sources,1998,conf/sigmod/AmbiteABKMMMPT98
"Dimitris Papadias, Nikos Mamoulis",ACM Trans. Database Syst.,Multiway spatial joins,2001,journals/tods/MamoulisP01
"Anand Rajaraman, Jeffrey D. Ullman, Venky Harinarayan",SIGMOD Conference,Implementing Data Cubes Efficiently,1996,conf/sigmod/HarinarayanRU96
"Nelson Mendon�a Mattos, Linda G. DeMichiel",SIGMOD Record,Recent Design Trade-offs in SQL3,1994,journals/sigmod/MattosD94
"Andrew Eisenberg, Jim Melton",SIGMOD Record,SQLJ-Part 1: SQL Routines Using the Java Programming Language,1999,journals/sigmod/EisenbergM99a
"Alberto O. Mendelzon, Davood Rafiei",SIGMOD Conference,Similarity-Based Queries for Time Series Data,1997,conf/sigmod/RafieiM97
"Alistair N. Dunlop, Jasmin L. Wason, Denis A. Nicole, Mark Papiani",SIGMOD Record,"A Distributed Scientific Data Archive Using the Web, XML and SQL/MED",1999,journals/sigmod/PapianiWDN99
"Katja Tham, Axel Kilian, Dieter Merkel, Peter Rieger, Stephan Heymann, Gunnar Wegner, Johann Christoph Freytag",VLDB,Viator - A Tool Family for Graphical Networking and Data View Creation,2002,conf/vldb/HeymannTKWRMF02
H. V. Jagadish,SIGMOD Record,Information Warfare and Security - Book Review,2001,journals/sigmod/Jagadish01
Kjetil N�rv�g,VLDB,The Persistent Cache: Improving OID Indexing in Temporal Object-Oriented Database Systems,1999,conf/vldb/Norvag99
"Christos Faloutsos, Alberto Belussi",VLDB,Estimating the Selectivity of Spatial Queries Using the `Correlation' Fractal Dimension,1995,conf/vldb/BelussiF95
"Dennis McLeod, Goksel Aslan",VLDB J.,Semantic Heterogeneity Resolution in Federated Databases by Metadata Implantation and Stepwise Evolution,1999,journals/vldb/AslanM99
"Chim-fu Yeung, Kam-yiu Lam, Sheung-lun Hung",SIGMOD Record,Performance Evaluation of a New Distributed Deadlock Detection Algorithm,1994,journals/sigmod/YeungHL94
"Jan-Eike Michels, Jim Melton, Krishna G. Kulkarni, Peter M. Schwarz, Kathy Zeidenstein, Vanja Josifovski",SIGMOD Record,SQL and Management of External Data,2001,journals/sigmod/MeltonMJKSZ01
"Alberto Lerner, Dennis Shasha",VLDB,"AQuery: Query Language for Ordered Data, Optimization Techniques, and Experiments",2003,conf/vldb/LernerS03
"Banu �zden, Minos N. Garofalakis, Abraham Silberschatz",VLDB,Resource Scheduling in Enhanced Pay-Per-View Continuous Media Databases,1997,conf/vldb/GarofalakisOS97
"Yixin Ruan, Zhiyong Huang, Kian-Lee Tan, Jason Chionh, Lidan Shou",SIGMOD Conference,REVIEW: A Real Time Virtual Walkthrough System,2001,conf/sigmod/ShouCTRH01
"Norman S. Matloff, Patrick Tendick",ACM Trans. Database Syst.,A Modified Random Perturbation Method for Database Security,1994,journals/tods/TendickM94
Dan Suciu,SIGMOD Conference,Managing Web Data,1999,conf/sigmod/Suciu99
Vijay V. Raghavan,VLDB,Loading the Data Warehouse Across Various Parallel Architectures,1996,conf/vldb/Raghavan96
"Qing Li, Kamalakar Karlapalem, Chung-Dak Shum",SIGMOD Record,HODFA: An Architectural Framework for Homogenizing Heterogeneous Legacy Database,1995,journals/sigmod/KarlapalemLS95
"Jeffrey F. Naughton, Minos N. Garofalakis, Kenneth A. Ross",SIGMOD Record,Reminiscences an Influential Papers,2003,journals/sigmod/RossGN03
Jian Zhang,SIGMOD Record,Application of OODB and SGML Techniques in Text Database: An Electronic Dictionary System,1995,journals/sigmod/Zhang95
"Johannes Klein, Richard Pledereder, Gray Clossman, Brian Becker, Phil Shaw, Mark Hapner",SIGMOD Conference,Java and Relational Databases: SQLJ (Tutorial),1998,conf/sigmod/ClossmanSHKPB98
"Raghav Kaushik, Henry F. Korth, Jeffrey F. Naughton, Philip Bohannon",SIGMOD Conference,Covering indexes for branching path queries,2002,conf/sigmod/KaushikBNK02
"Wen-Syan Li, Chris Clifton",SIGMOD Conference,Semint: A System Prototype for Semantic Integration in Heterogeneous Databases,1995,conf/sigmod/LiC95
"Alexandros Labrinidis, Alberto O. Mendelzon",SIGMOD Record,Career-Enhancing Services at SIGMOD Online,2001,journals/sigmod/LabrinidisM01
"Krithi Ramamritham, Jayant R. Haritsa, Ramesh Gupta",SIGMOD Conference,Revisiting Commit Processing in Distributed Database Systems,1997,conf/sigmod/GuptaHR97
Suad Alagic,ACM Trans. Database Syst.,Type-Checking OQL Queries In the ODMG Type Systems,1999,journals/tods/Alagic99
Rob Golding,SIGMOD Conference,Things Every Update Replication Customer Should Know,1995,conf/sigmod/Golding95
Bj�rn ��r J�nsson,SIGMOD Record,In Memory of G�sli R. Hjaltason,2003,journals/sigmod/Jonsson03
"Inderpal Singh Mumick, Alon Y. Levy, Yehoshua Sagiv",VLDB,Query Optimization by Predicate Move-Around,1994,conf/vldb/LevyMS94
"Jaewoo Kang, Dan Suciu, Alon Y. Levy, Daniela Florescu, Mary F. Fernandez",SIGMOD Conference,Catching the Boat with Strudel: Experiences with a Web-Site Management System,1998,conf/sigmod/FernandezFKLS98
"Christian S. Jensen, Richard T. Snodgrass, Giedrius Slivinskas",SIGMOD Conference,Adaptable Query Optimization and Evaluation in Temporal Middleware,2001,conf/sigmod/SlivinskasJS01
"Raghu Ramakrishnan, Miron Livny, Tian Zhang",SIGMOD Conference,BIRCH: An Efficient Data Clustering Method for Very Large Databases,1996,conf/sigmod/ZhangRL96
"Dimitris Papadias, Yufei Tao",SIGMOD Conference,Time-parameterized queries in spatio-temporal databases,2002,conf/sigmod/TaoP02
"Eui-Hong Han, Vipin Kumar, George Karypis",SIGMOD Conference,Scalable Parallel Data Mining for Association Rules,1997,conf/sigmod/HanKK97
"Jennifer Widom, Elena Baralis",ACM Trans. Database Syst.,An algebraic approach to static analysis of active database rules,2000,journals/tods/BaralisW00
"Sorana Rabinovici, John Catozzi",VLDB,OS Support for VLDBs: Unix Enhancements for the Teradata Data Base,1995,conf/vldb/CatozziR95
"Yannis Kotidis, Yannis Sismanis, Antonios Deligiannakis, Nick Roussopoulos",SIGMOD Conference,Dwarf: shrinking the PetaCube,2002,conf/sigmod/SismanisDRK02
"Dao-I Lin, Peter Piatko, Roman Yangarber, Dennis Shasha",SIGMOD Conference,Thinksheet: A Tool for Tailoring Complex Documents,1996,conf/sigmod/PiatkoYLS96
"Betty Salzberg, Chendong Zou",SIGMOD Conference,On-line Reorganization of Sparsely-populated B+trees,1996,conf/sigmod/ZouS96
Andreas Weininger,SIGMOD Conference,Handling Very Large Databases with Informix Extended Parallel Server,2000,conf/sigmod/Weininger00
"Surajit Chaudhuri, Kyuseok Shim",VLDB,Including Group-By in Query Optimization,1994,conf/vldb/ChaudhuriS94
"Azer Bestavros, Spyridon Braoudakis",VLDB,Value-cognizant Speculative Concurrency Control,1995,conf/vldb/BestavrosB95
James Geller,SIGMOD Record,Data Mining: Practical Machine Learning Tools and Techniques - Book Review,2002,journals/sigmod/Geller02
"Dan Suciu, Maurizio Lenzerini, Daniele Nardi, Werner Nutt",SIGMOD Record,Report on the 8th International Workshop on Knowledge Representation Meets Databases (KRDB),2001,journals/sigmod/LenzeriniNNS01
"Hector Garcia-Molina, Luis Gravano, Kevin Chen-Chuan Chang, Andreas Paepcke",SIGMOD Conference,STARTS: Stanford Proposal for Internet Meta-Searching (Experience Paper),1997,conf/sigmod/GravanoCGP97
"Hans-Peter Kriegel, Stefan Berchtold, Daniel A. Keim",VLDB,The X-tree : An Index Structure for High-Dimensional Data,1996,conf/vldb/BerchtoldKK96
"Rohit Ananthakrishna, Venkatesh Ganti, Surajit Chaudhuri",VLDB,Eliminating Fuzzy Duplicates in Data Warehouses,2002,conf/vldb/AnanthakrishnaCG02
"Michael J. Franklin, Surajit Chaudhuri, Alejandro P. Buchmann, Gerhard Weikum, Daniel A. Keim, Martin L. Kersten",VLDB,A Database Striptease or How to Manage Your Personal Databases,2003,conf/vldb/KerstenWFKBC03
"Yildiray Kabak, Gokce Laleci, Sait Pektas, Serkan Toprak, Yusuf Tambag, Gokhan Kurt, Asuman Dogac, Pinar Pembecioglu",SIGMOD Conference,An ebXML infrastructure implementation through UDDI registries and RosettaNet PIPs,2002,conf/sigmod/DogacTPPLKTK02
Michael H. B�hlen,SIGMOD Record,Temporal Database System Implementations,1995,journals/sigmod/Bohlen95
"Yaron Kanza, Yehoshua Sagiv, Sara Cohen, Jonathan Mamou",VLDB,XSEarch: A Semantic Search Engine for XML,2003,conf/vldb/CohenMKS03
"Miron Livny, Eben M. Haber, Yannis E. Ioannidis",VLDB,OPOSSUM: Desk-Top Schema Management through Customizable Visualization,1995,conf/vldb/HaberIL95
"Hans-J�rg Schek, Gustavo Alonso, Heiko Schuldt, Catriel Beeri",ACM Trans. Database Syst.,Atomicity and isolation for transactional processes,2002,journals/tods/SchuldtABS02
"David B. Lomet, Mark R. Tuttle",SIGMOD Conference,Logical Logging to Extend Recovery to New Domains,1999,conf/sigmod/LometT99
"Jacek Skowronek, Maurice van Keulen, Jan Flokstra",SIGMOD Conference,The IMPRESS DDT: A Database Design Toolbox Based on a Formal Specification Language,1994,conf/sigmod/FlokstraKS94
"Helen J. Wang, Peter J. Haas, Joseph M. Hellerstein",SIGMOD Conference,Online Aggregation,1997,conf/sigmod/HellersteinHW97
"Artur Klauser, Alexander L. Wolf, Benjamin G. Zorn, Jonathan E. Cook",SIGMOD Conference,"Semi-automatic, Self-adaptive Control of Garbage Collection Rates in Object Databases",1996,conf/sigmod/CookKWZ96
Ted Mihalisin,VLDB,A Single Pass Computing Engine for Interactive Analysis of VLDBs,1998,conf/vldb/Mihalisin98
"Zenon Protopapas, Christos Faloutsos, Eliot Siegel, Flip Korn, Nikolaos Sidiropoulos",VLDB,Fast Nearest Neighbor Search in Medical Image Databases,1996,conf/vldb/KornSFSP96
"Amit P. Sheth, Wolfgang Klas",SIGMOD Record,Metadata for Digital Media: Introduction to the Special Issue,1994,journals/sigmod/KlasS94
Hugh Darwen,SIGMOD Record,"In Reply to Domains, relations and Religious Wars",1996,journals/sigmod/Darwen96
"Mark Jahnke, Felipe Cari�o",VLDB,Bank of America Case Study: The Information Currency Advantage,1998,conf/vldb/CarinoJ98
"Divesh Srivastava, SungRan Cho, Laks V. S. Lakshmanan, Sihem Amer-Yahia",VLDB J.,Tree pattern query minimization,2002,journals/vldb/Amer-YahiaCLS02
"Timothy J. Norman, Nicholas R. Jennings, Peyman Faratin",SIGMOD Record,ADEPT: An Agent-Based Approach to Business Process Management,1998,journals/sigmod/JenningsNF98
Alexandros Labrinidis,SIGMOD Record,Introduction to the Career Forum Column,2001,journals/sigmod/Labrinidis01
"Kheng Guan Goh, Wynne Hsu, Mong-Li Lee",SIGMOD Conference,Image Mining in IRIS: Integrated Retinal Information System,2000,conf/sigmod/HsuLG00
Wesley P. Melling,SIGMOD Conference,Enterprise Information Architectures -- They're Finally Changing,1994,conf/sigmod/Melling94
Nelson Mendon�a Mattos,VLDB,Integrating Information for On Demand Computing,2003,conf/vldb/Mattos03
"Anne Doucet, V�ronique Benzaken",VLDB J.,Th�mis: A Database Programming Language Handling Integrity Constraints,1995,journals/vldb/BenzakenD95
"Kotagiri Ramamohanarao, James Harland",VLDB J.,An Introduction to Deductive Database Languages and Systems,1994,journals/vldb/RamamohanaraoH94
Suryanarayana M. Sripada,VLDB,Information Management Challenges from the Aerospace Industry,2002,conf/vldb/Sripada02
C. Mohan,SIGMOD Conference,State of the Art in Workflow Management Research and Products,1996,conf/sigmod/Mohan96
"Amit P. Sheth, Kshitij Shah, Clemens Bertram",SIGMOD Record,VideoAnywhere: A System for Searching and Managing Distributed Video Assets,1999,journals/sigmod/ShethBS99
"Roger S. Barga, David B. Lomet",SIGMOD Record,Phoenix Project: Fault-Tolerant Applications,2002,journals/sigmod/BargaL02
William L. Gettys,SIGMOD Conference,DIRECTV and Oracle Rdb: The Challenges of VLDB Transaction Processing,1995,conf/sigmod/Gettys95
"Bharat K. Bhargava, Aidong Zhang, Marian H. Nodine, Omran A. Bukhres",SIGMOD Conference,Ensuring Relaxed Atomicity for Flexible Transactions in Multidatabase Systems,1994,conf/sigmod/ZhangNBB94
