title,year,authors,venue
Density biased sampling: an improved method for data mining and clustering,2000,"Christopher R. Palmer, Christos Faloutsos",International Conference on Management of Data
LOF: identifying density-based local outliers,2000,"Markus M. Breunig, Hans-Peter Kriegel, Raymond T. Ng, J&#246;rg Sander",International Conference on Management of Data
Answering complex SQL queries using automatic summary tables,2000,"Markos Zaharioudakis, Roberta Cochrane, George Lapis, Hamid Pirahesh, Monica Urata",International Conference on Management of Data
Synchronizing a database to improve freshness,2000,"Junghoo Cho, Hector Garcia-Molina",International Conference on Management of Data
How to roll a join: asynchronous incremental view maintenance,2000,"Kenneth Salem, Kevin Beyer, Bruce Lindsay, Roberta Cochrane",International Conference on Management of Data
On wrapping query languages and efficient XML integration,2000,"Vassilis Christophides, Sophie Cluet, J&#233;r&#466;me Sim&#232;on",International Conference on Management of Data
XMill: an efficient compressor for XML data,2000,"Hartmut Liefke, Dan Suciu",International Conference on Management of Data
XTRACT: a system for extracting document type descriptors from XML documents,2000,"Minos Garofalakis, Aristides Gionis, Rajeev Rastogi, S. Seshadri, Kyuseok Shim",International Conference on Management of Data
Spatial join selectivity using power laws,2000,"Christos Faloutsos, Bernhard Seeger, Agma Traina, Caetano Traina, Jr.",International Conference on Management of Data
MOCHA: a self-extensible database middleware system for distributed data sources,2000,"Manuel Rodr&#237;guez-Mart&#237;nez, Nick Roussopoulos",International Conference on Management of Data
Closest pair queries in spatial databases,2000,"Antonio Corral, Yannis Manolopoulos, Yannis Theodoridis, Michael Vassilakopoulos",International Conference on Management of Data
Influence sets based on reverse nearest neighbor queries,2000,"Flip Korn, S. Muthukrishnan",International Conference on Management of Data
Security of random data perturbation methods,1999,"Krishnamurty Muralidhar, Rathindra Sarathy",ACM Transactions on Database Systems (TODS)
Improving database design through the analysis of relationships,1999,"Debabrata Dey, Veda C. Storey, Terence M. Barron",ACM Transactions on Database Systems (TODS)
The SIFT information dissemination system,1999,"Tak W. Yan, Hector Garcia-Molina",ACM Transactions on Database Systems (TODS)
An ontological analysis of the relationship construct in conceptual modeling,1999,"Yair Wand, Veda C. Storey, Ron Weber",ACM Transactions on Database Systems (TODS)
Chorochronos: a research network for spatiotemporal database systems,1999,"Andrew Frank, Stephane Grumbach, Ralf Hartmut G&#252;ting, Christian S. Jensen, Manolis Koubarakis, Nikos Lorentzos, Yannis Manolopoulos, Enrico Nardelli, Barbara Pernici, Hans-J&#246;rg Schek, Michel Scholl, Timos Sellis, Babis Theodoulidis, Peter Widmayer",ACM SIGMOD Record
Engineering federated information systems: report of EEFIS '99 workshop,1999,"S. Conrad, W. Hasselbring, U. Hohenstein, R.-D. Kutsche, M. Roantree, G. Saake, F. Saltor",ACM SIGMOD Record
First-class views: a key to user-centered computing,1999,"Arnon Rosenthal, Edward Sciore",ACM SIGMOD Record
Cost estimation of user-defined methods in object-relational database systems,1999,"Jihad Boulos, Kinji Ono",ACM SIGMOD Record
Distributed transactions in practice,1999,"Prabhu Ram, Lyman Do, Pamela Drew",ACM SIGMOD Record
On mutli-resolution document transmission in mobile Web,1999,"Stanley M. T. Yau, Hong Va Leong, Dennis McLeod, Antonio Si",ACM SIGMOD Record
An overview and classification of mediated query systems,1999,"Ruxandra Domenig, Klaus R. Dittrich",ACM SIGMOD Record
"A distributed scientific data archive using the Web, XML and SQL/MED",1999,"Mark Papiani, Jasmin L. Wason, Alistair N. Dunlop, Denis A. Nicole",ACM SIGMOD Record
Mining frequent patterns without candidate generation,2000,"Jiawei Han, Jian Pei, Yiwen Yin",International Conference on Management of Data
Database research at the University of Oklahoma,1999,"Le Gruenwald, Leonard Brown, Ravi Dirckze, Sylvain Guinepain, Carlos Sanchez, Brian Summers, Sirirut Vanichayobon",ACM SIGMOD Record
Turbo-charging vertical mining of large databases,2000,"Pradeep Shenoy, Jayant R. Haritsa, S. Sundarshan, Gaurav Bhalotia, Mayank Bawa, Devavrat Shah",International Conference on Management of Data
Data mining on an OLTP system (nearly) for free,2000,"Erik Riedel, Christos Faloutsos, Gregory R. Ganger, David F. Nagle",International Conference on Management of Data
A study on data point search for HG-trees,1999,"Joseph Kuan, Paul Lewis",ACM SIGMOD Record
The OASIS multidatabase prototype,1999,"Mark Roantree, John Murphy, Wilhelm Hasselbring",ACM SIGMOD Record
Efficient materialization and use of views in data warehouses,1999,"M&#225;rcio Farias de Souza, Marcus Costa Sampaio",ACM SIGMOD Record
Design principles for data-intensive Web sites,1999,"Stefano Ceri, Piero Fraternali, Stefano Paraboschi",ACM SIGMOD Record
"SQL: 1999, formerly known as SQL3",1999,"Andrew Eisenberg, Jim Melton",ACM SIGMOD Record
Broadcast protocols to support efficient retrieval from databases by mobile users,1999,"Anindya Datta, Debra E. VanderMeer, Aslihan Celik, Vijay Kumar",ACM Transactions on Database Systems (TODS)
Video anywhere: a system for searching and managing distributed heterogeneous video assets,1999,"Amit Sheth, Clemens Bertram, Kshitij Shah",ACM SIGMOD Record
NSF workshop on industrial/academic cooperation in database systems,1999,"Mike Carey, Len Seligman",ACM SIGMOD Record
Optimization of queries with user-defined predicates,1999,"Surajit Chaudhuri, Kyuseok Shim",ACM Transactions on Database Systems (TODS)
GlOSS: text-source discovery over the Internet,1999,"Luis Gravano, H&#233;ctor Garc&#237;a-Molina, Anthony Tomasic",ACM Transactions on Database Systems (TODS)
Database design for incomplete relations,1999,"Mark Levene, George Loizou",ACM Transactions on Database Systems (TODS)
Temporal FDs on complex objects,1999,Jef Wijsen,ACM Transactions on Database Systems (TODS)
Indexing large metric spaces for similarity search queries,1999,"Tolga Bozkaya, Meral Ozsoyoglu",ACM Transactions on Database Systems (TODS)
Specification and implementation of exceptions in workflow management systems,1999,"Fabio Casati, Stefano Ceri, Stefano Paraboschi, Guiseppe Pozzi",ACM Transactions on Database Systems (TODS)
Distance browsing in spatial databases,1999,"G&#237;sli R. Hjaltason, Hanan Samet",ACM Transactions on Database Systems (TODS)
Type-checking OQL queries in the ODMG type systems,1999,Suad Alag&#237;c,ACM Transactions on Database Systems (TODS)
The middleware muddle,1998,David Ritter,ACM SIGMOD Record
The Asilomar report on database research,1998,"Phil Bernstein, Michael Brodie, Stefano Ceri, David DeWitt, Mike Franklin, Hector Garcia-Molina, Jim Gray, Jerry Held, Joe Hellerstein, H. V. Jagadish, Michael Lesk, Dave Maier, Jeff Naughton, Hamid Pirahesh, Mike Stonebraker, Jeff Ullman",ACM SIGMOD Record
Electronic market: the roadmap for university libraries and members to survive in the information jungle,1998,"Michael Christoffel, Sebastian Pulkowski, Bethina Schmitt, Peter C. Lockemann",ACM SIGMOD Record
An anonymous electronic commerce scheme with an off-line authority and untrusted agents,1998,"Josep Domingo-Ferrer, Jordi Herrera-Joancomart&#237;",ACM SIGMOD Record
Semantic and pedagogic interoperability mechanisms in the ARIADNE educational repository,1999,"E. Forte, F. Haenni, K. Warkentyne, E. Duval, K. Cardinaels, E. Vervaet, K. Hendrikx, M. Wentland Forte, F. Simillion",ACM SIGMOD Record
Semantic integration of environmental models for application to global information systems and decision-making,1999,D. Scott Mackay,ACM SIGMOD Record
Semantic interoperability in global information systems,1999,"A. M. Ouksel, A. Sheth",ACM SIGMOD Record
"SQLJ Part 0, now known as SQL/OLB (Object-Language Bindings)",1998,"Andrew Eisenberg, Jim Melton",ACM SIGMOD Record
Dynamic service matchmaking among agents in open information environments,1999,"Katia Sycara, Matthias Klusch, Seth Widoff, Jianguo Lu",ACM SIGMOD Record
Contextualizing the information space in federated digital libraries,1999,"M. P. Papazoglou, J. Hoppenbrouwers",ACM SIGMOD Record
Semantic video indexing: approach and issues,1999,Arun Hampapur,ACM SIGMOD Record
Unpacking the semantics of source and usage to perform semantic reconciliation in large-scale information systems,1999,"Ken Smith, Leo Obrst",ACM SIGMOD Record
Report on the 13th Brazilian symposium on database systems (SBBD'98),1999,"Mario A. Nascimento, Claudia Bauzer Medeiros",ACM SIGMOD Record
Semantic interoperability in information services: experiencing with CoopWARE,1999,Avigdor Gal,ACM SIGMOD Record
Agent-based semantic interoperability in infosleuth,1999,"Jerry Fowler, Brad Perry, Marian Nodine, Bruce Bargmeyer",ACM SIGMOD Record
Semantic integration of semistructured and structured data sources,1999,"S. Bergamaschi, S. Castano, M. Vincini",ACM SIGMOD Record
Keynote Address,1995,Robert S. Epstein,International Conference on Management of Data
Keynote address,1995,Larry J. Ellison,International Conference on Management of Data
Object normal forms and dependency constraints for object-oriented schemata,1997,"Zahir Tari, John Stokes, Stefano Spaccapietra",ACM Transactions on Database Systems (TODS)
Database design with common sense business reasoning and learning,1997,"Veda C. Storey, Roger H. L. Chiang, Debabrata Dey, Robert C. Goldstein, Shankar Sudaresan",ACM Transactions on Database Systems (TODS)
Inverted files versus signature files for text indexing,1998,"Justin Zobel, Alistair Moffat, Kotagiri Ramamohanarao",ACM Transactions on Database Systems (TODS)
Ensuring consistency in multidatabases by preserving two-level serializability,1998,"Sharad Mehrotra, Rajeev Rastogi, Henry F. Korth, Abraham Silberschatz",ACM Transactions on Database Systems (TODS)
Towards a theory of cost management for digital libraries and electronic commerce,1998,"A. Prasad Sistla, Ouri Wolfson, Yelena Yesha, Robert Sloan",ACM Transactions on Database Systems (TODS)
Information gathering in the World-Wide Web: the W3QL query language and the W3QS system,1998,"David Konopnicki, Oded Shmueli",ACM Transactions on Database Systems (TODS)
A protein patent query system powered by Kleisli,1998,"Jing Chen, Limsoon Wong, Louxin Zhang",International Conference on Management of Data
DTL's DataSpot: database exploration as easy as browsing the Web...,1998,"Shaul Dar, Gadi Entin, Shai Geva, Eran Palmon",International Conference on Management of Data
Multiview access protocols for large-scale replication,1998,"Xiangning Liu, Abdelsalam Helal, Weimin Du",ACM Transactions on Database Systems (TODS)
Optimization techniques for queries with expensive methods,1998,Joseph M. Hellerstein,ACM Transactions on Database Systems (TODS)
MultiMediaMiner: a system prototype for multimedia data mining,1998,"Osmar R. Za&#239;ane, Jiawei Han, Ze-Nian Li, Sonny H. Chee, Jenny Y. Chiang",International Conference on Management of Data
Xmas: an extensible main-memory storage system for high-performance applications,1998,"Jang Ho Park, Yong Sik Kwon, Ki Hong Kim, Sang Ho Lee, Byoung Dae Park, Sang Kyun Cha",International Conference on Management of Data
The IDEA Web lab,1998,"Stefano Ceri, Piero Fraternali, Stefano Paraboschi",International Conference on Management of Data
SuperSQL: an extended SQL for database publishing and presentation,1998,Motomichi Toyama,International Conference on Management of Data
CONTROL: continuous output and navigation technology with refinement on-line,1998,"Ron Avnur, Joseph M. Hellerstein, Bruce Lo, Chris Olston, Bhaskaran Raman, Vijayshankar Raman, Tali Roth, Kirk Wylie",International Conference on Management of Data
AMDB: an access method debugging tool,1998,"Marcel Kornacker, Mehul Shah, Joseph M. Hellerstein",International Conference on Management of Data
User-oriented smart-cache for the Web: what you seek is what you get!,1998,"Zo&#233; Lacroix, Arnaud Sahuguet, Raman Chandrasekar",International Conference on Management of Data
The multidimensional database system RasDaMan,1998,"P. Baumann, A. Dehmel, P. Furtado, R. Ritsch, N. Widmann",International Conference on Management of Data
FlowBack: providing backward recovery for workflow management systems,1998,"Bartek Kiepuszewski, Ralf Muhlberger, Maria E. Orlowska",International Conference on Management of Data
Providing database-like access to the Web using queries based on textual similarity,1998,William W. Cohen,International Conference on Management of Data
Ariadne: a system for constructing mediators for Internet sources,1998,"Jos&#233; Luis Ambite, Naveen Ashish, Greg Barish, Craig A. Knoblock, Steven Minton, Pragnesh J. Modi, Ion Muslea, Andrew Philpot, Sheila Tejada",International Conference on Management of Data
Capability based mediation in TSIMMIS,1998,"Chen Li, Ramana Yerneni, Vasilis Vassalos, Hector Garcia-Molina, Yannis Papakonstantinou, Jeffrey Ullman, Murty Valiveti",International Conference on Management of Data
The Araneus Web-based management system,1998,"G. Mecca, P. Atzeni, A. Masci, G. Sindoni, P. Merialdo",International Conference on Management of Data
CQ: a personalized update monitoring toolkit,1998,"Ling Liu, Calton Pu, Wei Tang, David Buttler, John Biggs, Tong Zhou, Paul Benninghoff, Wei Han, Fenghua Yu",International Conference on Management of Data
DataSplash,1998,"Chris Olston, Allison Woodruff, Alexander Aiken, Michael Chu, Vuk Ercegovac, Mark Lin, Mybrid Spalding, Michael Stonebraker",International Conference on Management of Data
Microsoft index turning wizard for SQL Server 7.0,1998,"Surajit Chaudhuri, Vivek Narasayya",International Conference on Management of Data
Olympic records for data at the 1998 Nagano games,1998,Edwin R. Lassettre,International Conference on Management of Data
Delivering high availability for Inktomi search engines,1998,Eric A. Brewer,International Conference on Management of Data
Microsoft.com: a high-scale data management and transaction processing solution,1998,Sherri Kennamer,International Conference on Management of Data
Free parallel data mining,1998,"Bin Li, Dennis Shasha",International Conference on Management of Data
Real business processing meets the Web,1998,James Chong,International Conference on Management of Data
"Developing a high traffic, read-only Web site",1998,"John Nauman, Ray Suorsa",International Conference on Management of Data
FileNet integrated document management database usage and issues,1998,Daniel S. Whelan,International Conference on Management of Data
About Quark Digital Media System,1998,Kamar Aulakh,International Conference on Management of Data
"50,000 users on an Oracle8 universal server database",1998,"Tirthankar Lahiri, Ashok Joshi, Amit Jasuja, Sumanta Chatterjee",International Conference on Management of Data
Oracle Rdb's record caching model,1998,"Richard Anderson, Gopalan Arun, Richard Frank",International Conference on Management of Data
A data mining application: customer retention at the Port of Singapore Authority (PSA),1998,"KianSing Ng, Huan Liu, HweeBong Kwah",International Conference on Management of Data
Transactional publish/subscribe: the proactive multicast of database changes (abstract),1998,Arvola Chan,International Conference on Management of Data
The PointCast network (abstract),1998,"Satish Ramakrishnan, Vibha Dayal",International Conference on Management of Data
Data in your face: push technology in perspective,1998,"Michael Franklin, Stan Zdonik",International Conference on Management of Data
"Ubiquitous, self-tuning, scalable servers",1998,Peter Spiro,International Conference on Management of Data
Database systems management and Oracle8,1998,C. Gregory Doherty,International Conference on Management of Data
Managing large systems with DB2 UDB,1998,Chris Eaton,International Conference on Management of Data
SQL open heterogeneous data access,1998,"Berthold Reinwald, Hamid Pirahesh",International Conference on Management of Data
Enterprise Java platform data access,1998,"Seth White, Rick Cattell, Shel Finkelstein",International Conference on Management of Data
Microsoft universal data access platform,1998,"Jos&#233; A. Blakeley, Michael J. Pizzo",International Conference on Management of Data
Java and relational databases (tutorial): SQLJ,1998,"Gray Clossman, Phil Shaw, Mark Hapner, Johannes Klein, Richard Pledereder, Brian Becker",International Conference on Management of Data
High-dimensional index structures database support for next decade's applications (tutorial),1998,"Stefan Berchtold, Daniel A. Keim",International Conference on Management of Data
Electronic commerce: tutorial,1998,"Nabil R. Adam, Yelena Yesha",International Conference on Management of Data
SAP R/3 (tutorial): a database application system,1998,"Alfons Kemper, Donald Kossmann, Florian Matthes",International Conference on Management of Data
Are we working on the right problems? (panel),1998,Michael Stonebraker,International Conference on Management of Data
Next generation database systems won't work without semantics! (panel),1998,John Mylopoulos,International Conference on Management of Data
Memory management during run generation in external sorting,1998,"Per-&#197;ke Larson, Goetz Graefe",International Conference on Management of Data
"Replication, consistency, and practicality: are these mutually exclusive?",1998,"Todd Anderson, Yuri Breitbart, Henry F. Korth, Avishai Wool",International Conference on Management of Data
Wavelet-based histograms for selectivity estimation,1998,"Yossi Matias, Jeffrey Scott Vitter, Min Wang",International Conference on Management of Data
Efficient transparent application recovery in client-server information systems,1998,"David Lomet, Gerhard Weikum",International Conference on Management of Data
Approximate medians and other quantiles in one pass and with limited memory,1998,"Gurmeet Singh Manku, Sridhar Rajagopalan, Bruce G. Lindsay",International Conference on Management of Data
Random sampling for histogram construction: how much is enough?,1998,"Surajit Chaudhuri, Rajeev Motwani, Vivek Narasayya",International Conference on Management of Data
A multi-similarity algebra,1998,"S. Adali, P. Bonatti, M. L. Sapino, V. S. Subrahmanian",International Conference on Management of Data
Catching the boat with Strudel: experiences with a Web-site management system,1998,"Mary Fern&#225;ndez, Daniela Florescu, Jaewoo Kang, Alon Levy, Dan Suciu",International Conference on Management of Data
On parallel processing of aggregate and scalar functions in object-relational DBMS,1998,"Michael Jaedicke, Bernhard Mitschang",International Conference on Management of Data
Secure and portable database extensibility,1998,"Michael Godfrey, Tobias Mayr, Praveen Seshadri, Thorsten von Eicken",International Conference on Management of Data
On random sampling over joins,1999,"Surajit Chaudhuri, Rajeev Motwani, Vivek Narasayya",International Conference on Management of Data
Random sampling techniques for space efficient online computation of order statistics of large datasets,1999,"Gurmeet Singh Manku, Sridhar Rajagopalan, Bruce G. Lindsay",International Conference on Management of Data
Ripple joins for online aggregation,1999,"Peter J. Haas, Joseph M. Hellerstein",International Conference on Management of Data
Join synopses for approximate query answering,1999,"Swarup Acharya, Phillip B. Gibbons, Viswanath Poosala, Sridhar Ramaswamy",International Conference on Management of Data
Query optimization in the presence of limited access patterns,1999,"Daniela Florescu, Alon Levy, Ioana Manolescu, Dan Suciu",International Conference on Management of Data
An adaptive query execution system for data integration,1999,"Zachary G. Ives, Daniela Florescu, Marc Friedman, Alon Levy, Daniel S. Weld",International Conference on Management of Data
Mind your vocabulary: query mapping across heterogeneous information sources,1999,"Chen-Chuan K. Chang, H&#233;ctor Garc&#237;a-Molina",International Conference on Management of Data
Query processing techniques for arrays,1999,"Arunprasad P. Marathe, Kenneth Salem",International Conference on Management of Data
BOAT-optimistic decision tree construction,1999,"Johannes Gehrke, Venkatesh Ganti, Raghu Ramakrishnan, Wei-Yin Loh",International Conference on Management of Data
Optimization of constrained frequent set queries with 2-variable constraints,1999,"Laks V. S. Lakshmanan, Raymond Ng, Jiawei Han, Alex Pang",International Conference on Management of Data
Approximate computation of multidimensional aggregates of sparse data using wavelets,1999,"Jeffrey Scott Vitter, Min Wang",International Conference on Management of Data
Self-tuning histograms: building histograms without looking at data,1999,"Ashraf Aboulnaga, Surajit Chaudhuri",International Conference on Management of Data
An efficient bitmap encoding scheme for selection queries,1999,"Chee-Yong Chan, Yannis E. Ioannidis",International Conference on Management of Data
Multi-dimensional selectivity estimation using compressed histogram information,1999,"Ju-Hong Lee, Deok-Hwan Kim, Chin-Wan Chung",International Conference on Management of Data
A comparison of selectivity estimators for range queries on metric attributes,1999,"Bj&#246;rn Blohsfeld, Dieter Korus, Bernhard Seeger",International Conference on Management of Data
Query optimization for selections using bitmaps,1999,Ming-Chuan Wu,International Conference on Management of Data
Fast algorithms for projected clustering,1999,"Charu C. Aggarwal, Joel L. Wolf, Philip S. Yu, Cecilia Procopiuc, Jong Soo Park",International Conference on Management of Data
Logical logging to extend recovery to new domains,1999,"David Lomet, Mark Tuttle",International Conference on Management of Data
Efficient concurrency control for broadcast environments,1999,"Jayavel Shanmugasundaram, Arvind Nithrakashyap, Rajendran Sivasankaran, Krithi Ramamritham",International Conference on Management of Data
Update propagation protocols for replicated databates,1999,"Yuri Breitbart, Raghavan Komondoor, Rajeev Rastogi, S. Seshadri, Avi Silberschatz",International Conference on Management of Data
Belief reasoning in MLS deductive databases,1999,Hasan M. Jamil,International Conference on Management of Data
A multimedia presentation algebra,1999,"S. Adali, M. L. Sapino, V. S. Subrahmanian",International Conference on Management of Data
Querying network directories,1999,"H. V. Jagadish, Laks V. S. Lakshmanan, Tova Milo, Divesh Srivastava, Dimitra Vista",International Conference on Management of Data
