http://xmlns.com/foaf/0.1/gender,https://www.scads.de/movieBenchmark/ontology/name,entityUrl,https://www.scads.de/movieBenchmark/ontology/release_year,http://dbpedia.org/ontology/episodeNumber,http://dbpedia.org/ontology/releaseDate,http://dbpedia.org/ontology/seasonNumber,http://dbpedia.org/ontology/abstract,https://www.scads.de/movieBenchmark/ontology/title,https://www.scads.de/movieBenchmark/ontology/origin_country,https://www.scads.de/movieBenchmark/ontology/company_type,https://www.scads.de/movieBenchmark/ontology/known_for_department,https://www.scads.de/movieBenchmark/ontology/in_production,https://www.scads.de/movieBenchmark/ontology/last_air_date,https://www.scads.de/movieBenchmark/ontology/original_language,https://www.scads.de/movieBenchmark/ontology/genre_list,https://www.scads.de/movieBenchmark/ontology/languages,https://www.scads.de/movieBenchmark/ontology/originalTitle,https://www.scads.de/movieBenchmark/ontology/status,http://xmlns.com/foaf/0.1/homepage,http://dbpedia.org/ontology/numberOfSeasons,http://dbpedia.org/ontology/numberOfEpisodes,http://dbpedia.org/ontology/runtime,http://dbpedia.org/ontology/budget,https://www.scads.de/movieBenchmark/ontology/revenue,https://www.scads.de/movieBenchmark/ontology/production_countries,https://www.scads.de/movieBenchmark/ontology/spoken_languages,https://www.scads.de/movieBenchmark/ontology/birthPlace,http://dbpedia.org/ontology/birthDate,https://www.scads.de/movieBenchmark/ontology/tagline,https://www.scads.de/movieBenchmark/ontology/also_known_as
2,Edward Tang,https://www.scads.de/movieBenchmark/resource/TMDB/person46318,,,,,,,,,Writing,,,,,,,,,,,,,,,,,,,
2,Tony Roberts,https://www.scads.de/movieBenchmark/resource/TMDB/person10555,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,https://www.scads.de/movieBenchmark/resource/TMDB/episode1367951,2017-01-01,4,2017-10-22,9,Larry’s therapist accuses him of overstepping. Susie grows suspicious of Jeff. Larry bribes an usher at a funeral.,Running with the Bulls,,,,,,,,,,,,,,,,,,,,,,
0,Mary Houlihan,https://www.scads.de/movieBenchmark/resource/TMDB/person1887238,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,https://www.scads.de/movieBenchmark/resource/TMDB/episode548647,2009-01-01,17,2009-03-03,1,"As the merger of Shinhwa group and JK group begins, Junpyo and Jaekyung go out on their first date. However, Junpyo reminds of Jandi every place Jaekyung wants to go. Jaekyung senses it and asks Junpyo to kiss her as the lover. Jihoo and Jandi see this while they are talking on the stairway… Yijung witnesses his father with a woman at his workroom and has a big argument. Suffering deeply, Yijung thinks of Eunjae, his first love. Gaeul signs up for the pottery class and meets Cha Eunjae, the student teacher, in there.",Episode 17,,,,,,,,,,,,,,,,,,,,,,
2,Jerome Hairston,https://www.scads.de/movieBenchmark/resource/TMDB/person1628370,,,,,,,,,Writing,,,,,,,,,,,,,,,,,,,
0,Kenny Monger,https://www.scads.de/movieBenchmark/resource/TMDB/person1440852,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Nobuyoshi Nagayama,https://www.scads.de/movieBenchmark/resource/TMDB/person1481792,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,https://www.scads.de/movieBenchmark/resource/TMDB/episode1509320,2016-01-01,14,2016-07-07,1,"Stan and Violet get Monty a new bike, but Monty is disappointed to learn that this means his first, smaller bike will be passed on to someone else who can use it. He wonders why it is that you have to let go of your favourite things when you outgrow them.",Best Bike in the World,,,,,,,,,,,,,,,,,,,,,,
,,https://www.scads.de/movieBenchmark/resource/TMDB/episode199011,2008-01-01,8,2008-04-21,4,Mike travels to Alaska for an adventure aboard a fish processing ship.,Floating Fish Factory,,,,,,,,,,,,,,,,,,,,,,
,,https://www.scads.de/movieBenchmark/resource/TMDB/episode694603,1956-01-01,24,1956-02-19,3,,Tightwad Millionaire,,,,,,,,,,,,,,,,,,,,,,
0,Pierre Davoust,https://www.scads.de/movieBenchmark/resource/TMDB/person9760,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,https://www.scads.de/movieBenchmark/resource/TMDB/episode694413,1955-01-01,31,1955-04-03,2,,Let Columbus Discover You,,,,,,,,,,,,,,,,,,,,,,
,,https://www.scads.de/movieBenchmark/resource/TMDB/episode565580,1957-01-01,3,1957-10-10,1,,The Spear Gun,,,,,,,,,,,,,,,,,,,,,,
,,https://www.scads.de/movieBenchmark/resource/TMDB/episode463097,1962-01-01,23,1962-03-11,3,,A Bride for the Captain,,,,,,,,,,,,,,,,,,,,,,
,,https://www.scads.de/movieBenchmark/resource/TMDB/episode198989,2007-01-01,11,2007-07-17,3,Mike goes to Georgia to learn how to make artistic jugs. He then joins Richard Meyer and his sons in upstate New York to learn the ancient trade of tanning leather.,Leather Tanner,,,,,,,,,,,,,,,,,,,,,,
2,Miles Mander,https://www.scads.de/movieBenchmark/resource/TMDB/person19329,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Michael Lai Siu-Tin,https://www.scads.de/movieBenchmark/resource/TMDB/person1178936,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Barbara Kopple,https://www.scads.de/movieBenchmark/resource/TMDB/person22020,,,,,,,,,Directing,,,,,,,,,,,,,,,,,,,
,,https://www.scads.de/movieBenchmark/resource/TMDB/episode506595,1962-01-01,25,1962-03-26,2,,Ede's Bombshell,,,,,,,,,,,,,,,,,,,,,,
2,Jordi Bosch,https://www.scads.de/movieBenchmark/resource/TMDB/person43329,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Sylvia Pyke,https://www.scads.de/movieBenchmark/resource/TMDB/person2153679,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,https://www.scads.de/movieBenchmark/resource/TMDB/episode694585,1956-01-01,26,1956-03-04,3,,Father Hoppe,,,,,,,,,,,,,,,,,,,,,,
2,John L'Ecuyer,https://www.scads.de/movieBenchmark/resource/TMDB/person159767,,,,,,,,,Directing,,,,,,,,,,,,,,,,,,,
,,https://www.scads.de/movieBenchmark/resource/TMDB/episode694395,1954-01-01,13,1954-11-28,2,,Our Sacred Honor,,,,,,,,,,,,,,,,,,,,,,
0,John Hughes,https://www.scads.de/movieBenchmark/resource/TMDB/person1857411,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,https://www.scads.de/movieBenchmark/resource/TMDB/tvSeries70115,2016-01-01,,2016-11-18,,"Based on a novel by Jun Ioka, the Hulu series follows the relationship between Keisuke Okuyama, a brilliant attorney and his troubling client Tatsuya Ando who tormented and robbed him of his family in the past.",The Price,JP,,,false,2016-11-18,ja,Drama,ja,代償,Ended,http://drama-daisho.com/,1,6,,,,,,,,,
,,https://www.scads.de/movieBenchmark/resource/TMDB/episode933368,2012-01-01,4,2012-02-20,1,Hank tells us about the city of Eukaryopolis - the animal cell that is responsible for all the cool things that happen in our bodies.,Eukaryopolis - The City of Animal Cells,,,,,,,,,,,,,,,,,,,,,,
0,Kane Gilliam,https://www.scads.de/movieBenchmark/resource/TMDB/person2191458,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,https://www.scads.de/movieBenchmark/resource/TMDB/episode1243770,2016-01-01,1,2016-02-19,4,"Producer Na Young Seok goes to Phuket where the cast of “Reply 1988” is having a celebratory vacation. And he makes a prank on Jun Yeol, Jae Hong and Kyung Pyo and takes them to Africa to shoot “Youth Over Flowers in Africa”. Bo Gum who had to return from the vacation to Korea for a music show filming also joins the trip. The young actors manage to arrive in Namibia with few clothes, and they need to deal with many things from booking hotels, hiring a car, exchanging money to planning their journey.",From Phuket to Africa!,,,,,,,,,,,,,,,,,,,,,,
,,https://www.scads.de/movieBenchmark/resource/TMDB/episode389921,2010-01-01,9,2010-01-23,2,"Richard learns to use his wizard powers by the Sisters of the Light, while Zedd must name a new Seeker when Sister Nicci reveals a shocking secret.",Dark,,,,,,,,,,,,,,,,,,,,,,
0,Clayton H. Baker,https://www.scads.de/movieBenchmark/resource/TMDB/person2218318,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Bernard Grenet,https://www.scads.de/movieBenchmark/resource/TMDB/person8389,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,https://www.scads.de/movieBenchmark/resource/TMDB/episode1185179,1999-01-01,21,1999-05-27,6,,La Paliza de el Metido,,,,,,,,,,,,,,,,,,,,,,
,,https://www.scads.de/movieBenchmark/resource/TMDB/episode463110,1960-01-01,2,1960-10-10,2,,The Intruders,,,,,,,,,,,,,,,,,,,,,,
1,Jessie Nelson,https://www.scads.de/movieBenchmark/resource/TMDB/person16853,,,,,,,,,Production,,,,,,,,,,,,,,,,,,,
0,Tom Bullock,https://www.scads.de/movieBenchmark/resource/TMDB/person552445,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,https://www.scads.de/movieBenchmark/resource/TMDB/tvSeries41781,1972-01-01,,1972-02-06,,"'Die Abenteuer des braven Soldaten Schwejk is an Austrian television series.Schwejk is a bumbling fool (he claims to have been discharged from the army on the grounds of being a certified idiot) but manages to outwit his superiors and his arch nemesis, the secret policeman ''Bretschneider'' with hilarious results. Set during the first world war, it follow Schwejks adventures as a recruit in the Austro-Hungarian army.",The Adventures of the Good Soldier Schwejk,"DE, AT",,,false,1972-03-20,de,Comedy,de,Die Abenteuer des braven Soldaten Schwejk,Ended,,1,13,60,,,,,,,,
,,https://www.scads.de/movieBenchmark/resource/TMDB/episode506558,1961-01-01,20,1961-01-29,1,,The Calf,,,,,,,,,,,,,,,,,,,,,,
0,Santi Ricart,https://www.scads.de/movieBenchmark/resource/TMDB/person1460130,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,https://www.scads.de/movieBenchmark/resource/TMDB/episode548642,2009-01-01,12,2009-02-10,1,"Jeha kidnaps Jandi and Junpyo goes to rescue her alone. Jeha and his friends beat Junpyo, but Junpyo bears it. F4 members get into the scene, finish off the situation. When Jeha tries to hit Junpyo again, Jandi protects him. The two are hospitalized, but find out the feeling for each other again. The friends go on a ski trip together, and Junpyo gives Jandi a custom-made necklace. However, Jandi accidently loses it and braves the snowstorm to look for it.",Episode 12,,,,,,,,,,,,,,,,,,,,,,
,,https://www.scads.de/movieBenchmark/resource/TMDB/episode907796,2009-01-01,8,2009-08-28,1,"Koyomi takes Suruga to see Oshino in order to help her. However, the help he offers isn't the help Koyomi wanted...",Suruga Monkey (3),,,,,,,,,,,,,,,,,,,,,,
1,Gina Chen Jin,https://www.scads.de/movieBenchmark/resource/TMDB/person1541648,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Tae Hang-ho,https://www.scads.de/movieBenchmark/resource/TMDB/person1676562,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,https://www.scads.de/movieBenchmark/resource/TMDB/episode1439861,2018-01-01,15,2018-03-07,2,"Ray is miserable after breaking up with Taylor. When Maya cheers him up with a day out, Ray has a plan of his own. Meanwhile, JJ is nervous about his first friend date with Aaron, so Dylan offers to make sure everything goes smoothly; however, it’s everything but smooth. And Kenneth teaches Jimmy how to be the one in charge at home.",U-N– UNFORGETTABLE P-A– PAIN,,,,,,,,,,,,,,,,,,,,,,
,,https://www.scads.de/movieBenchmark/resource/TMDB/episode694548,1954-01-01,35,1954-05-23,1,,Something Always Happens,,,,,,,,,,,,,,,,,,,,,,
0,Sayid,https://www.scads.de/movieBenchmark/resource/TMDB/person144204,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Lila Lakshmanan,https://www.scads.de/movieBenchmark/resource/TMDB/person3782,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Mel Mendoza-Del Rosario,https://www.scads.de/movieBenchmark/resource/TMDB/person113270,,,,,,,,,Writing,,,,,,,,,,,,,,,,,,,
,,https://www.scads.de/movieBenchmark/resource/TMDB/episode324253,2011-01-01,6,2011-08-14,8,Larry plays the hero in the sky and underground; Jeff’s courtship of Ricky Gervais is sabotaged by a nosy waiter.,The Hero,,,,,,,,,,,,,,,,,,,,,,
,,https://www.scads.de/movieBenchmark/resource/TMDB/movie308552,1992-01-01,,1992-02-08,,Melodrama about a woman refusing surgery.,Gekashitsu,,,,,,en,Drama,,Gekashitsu,Released,,,,50,0,0,Japan,,,,,
,,https://www.scads.de/movieBenchmark/resource/TMDB/episode463092,1961-01-01,11,1961-12-17,3,"After a murder on the Tiki occurs, Adam is wrongfully accused of the crime and the passengers are asked for their testimonies at his trial.",The Trial of Adam Troy,,,,,,,,,,,,,,,,,,,,,,
,,https://www.scads.de/movieBenchmark/resource/TMDB/episode198984,2007-01-01,7,2007-03-06,3,Mike first heads off to Napa Valley to learn how to make wine. Mike then gets dirty at a Kansas Cattle Ranch learning about the cattle business.,Wine Maker,,,,,,,,,,,,,,,,,,,,,,
,,https://www.scads.de/movieBenchmark/resource/TMDB/tvSeries4464,1993-01-01,,1993-01-31,,"'Homicide: Life on the Street is an American police procedural television series chronicling the work of a fictional version of the Baltimore Police Department's Homicide Unit. It ran for seven seasons on NBC from 1993 to 1999, and was succeeded by a TV movie, which also acted as the de facto series finale. The series was originally based on David Simon's book Homicide: A Year on the Killing Streets. Many of the characters and stories used throughout the show were based on events depicted in the book, which was also part of the basis for Simon's own series, The Wire on HBO.Although Homicide featured an ensemble cast, Andre Braugher emerged as the series' breakout star through his portrayal of Frank Pembleton. The show won Television Critics Association Awards for Outstanding Achievement in Drama in 1996, 1997, and 1998. It also became the first drama ever to win three Peabody Awards for best drama in 1993, 1995, and 1997. In 1997, the episode ''Prison Riot'' was ranked No. 32 on TV Guide's 100 Greatest Episodes of All Time. In 2007, it was listed as one of Time magazine's ''Best TV Shows of All-TIME.'' In 1996 TV Guide named the series 'The Best Show You're Not Watching'. The show placed #46 on Entertainment Weekly's ''New TV Classics'' list.",Homicide: Life on the Street,US,,,false,1999-05-21,en, Crime,en,Homicide: Life on the Street,Ended,,7,122,45,,,,,,,,
,,https://www.scads.de/movieBenchmark/resource/TMDB/episode382817,,18,,1,,殷紅詐病　爭取原諒,,,,,,,,,,,,,,,,,,,,,,
2,Stepan Bubnov,https://www.scads.de/movieBenchmark/resource/TMDB/person229736,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Stephen Gyllenhaal,https://www.scads.de/movieBenchmark/resource/TMDB/person15912,,,,,,,,,Directing,,,,,,,,,,,,,,,,,,,
,,https://www.scads.de/movieBenchmark/resource/TMDB/episode1656867,1971-01-01,11,1971-11-21,1,,Episode 11,,,,,,,,,,,,,,,,,,,,,,
,,https://www.scads.de/movieBenchmark/resource/TMDB/episode1298617,1972-01-01,11,1972-03-10,1,,Episode 11,,,,,,,,,,,,,,,,,,,,,,
,,https://www.scads.de/movieBenchmark/resource/TMDB/episode506590,1962-01-01,20,1962-02-19,2,,The Feud,,,,,,,,,,,,,,,,,,,,,,
0,Jimmy Sharp,https://www.scads.de/movieBenchmark/resource/TMDB/person1898866,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Gaetano Grimaldi Filioli,https://www.scads.de/movieBenchmark/resource/TMDB/person1314137,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,https://www.scads.de/movieBenchmark/resource/TMDB/episode1176901,2016-01-01,7,2016-03-14,6,"In a case of mistaken identity, the Guild targets Dr. Venture for assassination, pooping his party for a fancy new friend.",A Party for Tarzan,,,,,,,,,,,,,,,,,,,,,,
2,Samandar Rzayev,https://www.scads.de/movieBenchmark/resource/TMDB/person2042437,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,David Lau,https://www.scads.de/movieBenchmark/resource/TMDB/person1346976,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,https://www.scads.de/movieBenchmark/resource/TMDB/episode694580,1955-01-01,3,1955-09-11,3,,Reunion,,,,,,,,,,,,,,,,,,,,,,
,,https://www.scads.de/movieBenchmark/resource/TMDB/episode1167527,2016-01-01,4,2016-02-22,6,A super villain launches an assault on the Ventures and Doc's latest invention or a blue vigilante may save the day.,Rapacity In Blue,,,,,,,,,,,,,,,,,,,,,,
,,https://www.scads.de/movieBenchmark/resource/TMDB/episode1281785,2017-01-01,8,2017-03-07,4,Mary Jane and Justin go rogue to chase a story as Mary Jane frets about meeting Lee's baby momma.,Getting Risky,,,,,,,,,,,,,,,,,,,,,,
,,https://www.scads.de/movieBenchmark/resource/TMDB/episode694390,1954-01-01,8,1954-10-17,2,,"On Your Honor, Your Honor",,,,,,,,,,,,,,,,,,,,,,
,,https://www.scads.de/movieBenchmark/resource/TMDB/tvSeries58938,2013-01-01,,2013-08-28,,'Documents about the surrounding world and Interesting conversation with experts about documentary subjects. Your hosts: Riku Rantala and Tunna Milonoff. Welcome to the journey!,Docventures,FI,,,true,2016-10-12,fi,Documentary,fi,Docventures,Returning Series,http://yle.fi/aihe/docventures,4,31,58,,,,,,,,
2,Bill Smitrovich,https://www.scads.de/movieBenchmark/resource/TMDB/person17200,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,https://www.scads.de/movieBenchmark/resource/TMDB/episode907759,2013-01-01,12,2013-10-06,3,"Nadeko spent the evening at the Araragi residence after Koyomi mistakes her for running away from home and takes her back to his place. The next morning, she talks to Koyomi's younger sister Tsukihi, a friend from back in grade school.",[43] Otorimonogatari [3] Nadeko Medusa - Part 3,,,,,,,,,,,,,,,,,,,,,,
0,Yoshitaka Nagaoka,https://www.scads.de/movieBenchmark/resource/TMDB/person1481750,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Diane Boehme,https://www.scads.de/movieBenchmark/resource/TMDB/person1313785,,,,,,,,,Production,,,,,,,,,,,,,,,,,,,
0,Zoran Sruk,https://www.scads.de/movieBenchmark/resource/TMDB/person2211436,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Anna Pinnock,https://www.scads.de/movieBenchmark/resource/TMDB/person8384,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Christoffer Hjalmarsson,https://www.scads.de/movieBenchmark/resource/TMDB/person2191073,,,,,,,,,Creator,,,,,,,,,,,,,,,,,,,
0,Yukari Fukui,https://www.scads.de/movieBenchmark/resource/TMDB/person90136,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Jang Hyuk,https://www.scads.de/movieBenchmark/resource/TMDB/person63438,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,https://www.scads.de/movieBenchmark/resource/TMDB/episode198947,2005-01-01,18,2005-12-20,1,,Dirtiest Water Jobs,,,,,,,,,,,,,,,,,,,,,,
,,https://www.scads.de/movieBenchmark/resource/TMDB/episode1185174,1999-01-01,16,1999-04-22,6,,Los Niños Honestos,,,,,,,,,,,,,,,,,,,,,,
2,Donatas Banionis,https://www.scads.de/movieBenchmark/resource/TMDB/person1190206,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,https://www.scads.de/movieBenchmark/resource/TMDB/episode1382535,2017-01-01,19,2017-08-14,2,,Episode 19,,,,,,,,,,,,,,,,,,,,,,
,,https://www.scads.de/movieBenchmark/resource/TMDB/movie459719,2017-01-01,,2017-06-30,,Prasad and Sreeja are a couple planning to set up a new life in Kasargod. On a bus journey they end up being robbed by a thief also named Prasad and this lands them up in a police station.,Thondimuthalum Driksakshiyum,,,,,,ml, Thriller,,തൊണ്ടിമുതലും ദൃക്സാക്ഷിയും,Released,,,,136,0,0,India,"?????, ",,,,
1,Maria Hofstätter,https://www.scads.de/movieBenchmark/resource/TMDB/person40525,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Stanislaw Mucha,https://www.scads.de/movieBenchmark/resource/TMDB/person46258,,,,,,,,,Directing,,,,,,,,,,,,,,,,,,,
,Teddy Productions,https://www.scads.de/movieBenchmark/resource/TMDB/company89863,,,,,,,,productionCompany,,,,,,,,,,,,,,,,,,,,
2,Thomas Stipsits,https://www.scads.de/movieBenchmark/resource/TMDB/person1041602,,,,,,,,,Acting,,,,,,,,,,,,,,,,,,,
,,https://www.scads.de/movieBenchmark/resource/TMDB/episode506553,1960-01-01,15,1960-12-25,1,,The Quarrel,,,,,,,,,,,,,,,,,,,,,,
,,https://www.scads.de/movieBenchmark/resource/TMDB/episode199141,2012-01-01,2,2012-08-29,9,"'In Australia, Mike Rowe teams up with local business ''Snakes Away'' to capture a poisonous Eastern brown snake without getting bitten, then joins a posse of local ''toadbusters'' in their war against the cane toad, a non-indigenous species destroying the local ecosystem.",Deadly Snake Wrangler,,,,,,,,,,,,,,,,,,,,,,
,,https://www.scads.de/movieBenchmark/resource/TMDB/episode907791,2009-01-01,2,2009-07-10,1,"When Hitagi is attacked by a crab god, Oshino is forced to intervene. This allows her to beg the crab to return her feeling and memories.",Hitagi Crab (2),,,,,,,,,,,,,,,,,,,,,,
