id,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.okkam.org/ontology_restaurant1.owl#name,entityUrl,http://www.okkam.org/ontology_restaurant1.owl#phone_number,http://www.okkam.org/ontology_restaurant1.owl#has_address,http://www.okkam.org/ontology_restaurant1.owl#category,http://www.okkam.org/ontology_restaurant1.owl#is_in_city,http://www.okkam.org/ontology_restaurant1.owl#street
26,http://www.okkam.org/ontology_restaurant1.owl#City,new york,http://www.okkam.org/oaie/restaurant1-City29,,,,,
27,http://www.okkam.org/ontology_restaurant1.owl#Restaurant,rose pistola,http://www.okkam.org/oaie/restaurant1-Restaurant111,415/399-0499,http://www.okkam.org/oaie/restaurant1-Address111,italian,,
28,http://www.okkam.org/ontology_restaurant1.owl#City,atlanta,http://www.okkam.org/oaie/restaurant1-City90,,,,,
29,http://www.okkam.org/ontology_restaurant1.owl#Restaurant,montrachet,http://www.okkam.org/oaie/restaurant1-Restaurant49,212/ 219-2777,http://www.okkam.org/oaie/restaurant1-Address49,french,,
30,http://www.okkam.org/ontology_restaurant1.owl#Address,,http://www.okkam.org/oaie/restaurant1-Address24,,,,http://www.okkam.org/oaie/restaurant1-City24,13 w. 54th st.
31,http://www.okkam.org/ontology_restaurant1.owl#City,new york,http://www.okkam.org/oaie/restaurant1-City60,,,,,
32,http://www.okkam.org/ontology_restaurant1.owl#Restaurant,rex il ristorante,http://www.okkam.org/oaie/restaurant1-Restaurant19,213/627-2300,http://www.okkam.org/oaie/restaurant1-Address19,italian,,
33,http://www.okkam.org/ontology_restaurant1.owl#Restaurant,delectables,http://www.okkam.org/oaie/restaurant1-Restaurant80,404/681-2909,http://www.okkam.org/oaie/restaurant1-Address80,american,,
34,http://www.okkam.org/ontology_restaurant1.owl#Restaurant,hotel bel-air,http://www.okkam.org/oaie/restaurant1-Restaurant2,310/472-1211,http://www.okkam.org/oaie/restaurant1-Address2,californian,,
35,http://www.okkam.org/ontology_restaurant1.owl#Address,,http://www.okkam.org/oaie/restaurant1-Address96,,,,http://www.okkam.org/oaie/restaurant1-City96,1 mission st.
36,http://www.okkam.org/ontology_restaurant1.owl#City,new york,http://www.okkam.org/oaie/restaurant1-City30,,,,,
37,http://www.okkam.org/ontology_restaurant1.owl#Restaurant,oceana,http://www.okkam.org/oaie/restaurant1-Restaurant50,212/759-5941,http://www.okkam.org/oaie/restaurant1-Address50,seafood,,
38,http://www.okkam.org/ontology_restaurant1.owl#Address,,http://www.okkam.org/oaie/restaurant1-Address66,,,,http://www.okkam.org/oaie/restaurant1-City66,152 w. 44th st.
39,http://www.okkam.org/ontology_restaurant1.owl#Address,,http://www.okkam.org/oaie/restaurant1-Address107,,,,http://www.okkam.org/oaie/restaurant1-City107,1737 post st.
40,http://www.okkam.org/ontology_restaurant1.owl#Restaurant,spago,http://www.okkam.org/oaie/restaurant1-Restaurant20,310/652-4025,http://www.okkam.org/oaie/restaurant1-Address20,californian,,
41,http://www.okkam.org/ontology_restaurant1.owl#Address,,http://www.okkam.org/oaie/restaurant1-Address36,,,,http://www.okkam.org/oaie/restaurant1-City36,42 e. 20th st.  between park ave. s and broadway
42,http://www.okkam.org/ontology_restaurant1.owl#City,las vegas,http://www.okkam.org/oaie/restaurant1-City72,,,,,
43,http://www.okkam.org/ontology_restaurant1.owl#Restaurant,toulouse,http://www.okkam.org/oaie/restaurant1-Restaurant92,404/351-9533,http://www.okkam.org/oaie/restaurant1-Address92,french,,
44,http://www.okkam.org/ontology_restaurant1.owl#City,studio city,http://www.okkam.org/oaie/restaurant1-City1,,,,,
45,http://www.okkam.org/ontology_restaurant1.owl#City,new york,http://www.okkam.org/oaie/restaurant1-City42,,,,,
46,http://www.okkam.org/ontology_restaurant1.owl#Restaurant,smith & wollensky,http://www.okkam.org/oaie/restaurant1-Restaurant62,212/753-1530,http://www.okkam.org/oaie/restaurant1-Address62,american,,
47,http://www.okkam.org/ontology_restaurant1.owl#Address,,http://www.okkam.org/oaie/restaurant1-Address78,,,,http://www.okkam.org/oaie/restaurant1-City78,3073 piedmont road
48,http://www.okkam.org/ontology_restaurant1.owl#City,los angeles,http://www.okkam.org/oaie/restaurant1-City12,,,,,
49,http://www.okkam.org/ontology_restaurant1.owl#Restaurant,dawat,http://www.okkam.org/oaie/restaurant1-Restaurant32,212/355-7555,http://www.okkam.org/oaie/restaurant1-Address32,asian,,
50,http://www.okkam.org/ontology_restaurant1.owl#Address,,http://www.okkam.org/oaie/restaurant1-Address48,,,,http://www.okkam.org/oaie/restaurant1-City48,57 jane st.  off hudson st.
51,http://www.okkam.org/ontology_restaurant1.owl#Restaurant,lulu,http://www.okkam.org/oaie/restaurant1-Restaurant105,415/495-5775,http://www.okkam.org/oaie/restaurant1-Address105,mediterranean,,
52,http://www.okkam.org/ontology_restaurant1.owl#City,atlanta,http://www.okkam.org/oaie/restaurant1-City84,,,,,
53,http://www.okkam.org/ontology_restaurant1.owl#Address,,http://www.okkam.org/oaie/restaurant1-Address18,,,,http://www.okkam.org/oaie/restaurant1-City18,12969 ventura blvd.
54,http://www.okkam.org/ontology_restaurant1.owl#City,san francisco,http://www.okkam.org/oaie/restaurant1-City107,,,,,
55,http://www.okkam.org/ontology_restaurant1.owl#City,new york,http://www.okkam.org/oaie/restaurant1-City54,,,,,
56,http://www.okkam.org/ontology_restaurant1.owl#Restaurant,abruzzi,http://www.okkam.org/oaie/restaurant1-Restaurant74,404/261-8186,http://www.okkam.org/oaie/restaurant1-Address74,italian,,
57,http://www.okkam.org/ontology_restaurant1.owl#Address,,http://www.okkam.org/oaie/restaurant1-Address1,,,,http://www.okkam.org/oaie/restaurant1-City1,12224 ventura blvd.
58,http://www.okkam.org/ontology_restaurant1.owl#City,new york,http://www.okkam.org/oaie/restaurant1-City24,,,,,
59,http://www.okkam.org/ontology_restaurant1.owl#Restaurant,lutece,http://www.okkam.org/oaie/restaurant1-Restaurant44,212/752-2225,http://www.okkam.org/oaie/restaurant1-Address44,french,,
60,http://www.okkam.org/ontology_restaurant1.owl#City,san francisco,http://www.okkam.org/oaie/restaurant1-City96,,,,,
61,http://www.okkam.org/ontology_restaurant1.owl#Restaurant,matsuhisa,http://www.okkam.org/oaie/restaurant1-Restaurant14,310/659-9639,http://www.okkam.org/oaie/restaurant1-Address14,asian,,
62,http://www.okkam.org/ontology_restaurant1.owl#Address,,http://www.okkam.org/oaie/restaurant1-Address91,,,,http://www.okkam.org/oaie/restaurant1-City91,181 peachtree st.
63,http://www.okkam.org/ontology_restaurant1.owl#City,new york,http://www.okkam.org/oaie/restaurant1-City66,,,,,
64,http://www.okkam.org/ontology_restaurant1.owl#Restaurant,mary mac's tea room,http://www.okkam.org/oaie/restaurant1-Restaurant86,404/876-1800,http://www.okkam.org/oaie/restaurant1-Address86,southern,,
65,http://www.okkam.org/ontology_restaurant1.owl#Restaurant,granita,http://www.okkam.org/oaie/restaurant1-Restaurant8,310/456-0488,http://www.okkam.org/oaie/restaurant1-Address8,californian,,
66,http://www.okkam.org/ontology_restaurant1.owl#Address,,http://www.okkam.org/oaie/restaurant1-Address102,,,,http://www.okkam.org/oaie/restaurant1-City102,22 hawthorne st.
67,http://www.okkam.org/ontology_restaurant1.owl#Address,,http://www.okkam.org/oaie/restaurant1-Address61,,,,http://www.okkam.org/oaie/restaurant1-City61,1110 3rd ave. at 65th st.
68,http://www.okkam.org/ontology_restaurant1.owl#City,new york,http://www.okkam.org/oaie/restaurant1-City36,,,,,
69,http://www.okkam.org/ontology_restaurant1.owl#Restaurant,river cafe,http://www.okkam.org/oaie/restaurant1-Restaurant56,718/522-5200,http://www.okkam.org/oaie/restaurant1-Address56,american,,
70,http://www.okkam.org/ontology_restaurant1.owl#Address,,http://www.okkam.org/oaie/restaurant1-Address31,,,,http://www.okkam.org/oaie/restaurant1-City31,20 e. 76th st.
71,http://www.okkam.org/ontology_restaurant1.owl#Restaurant,cafe lalo,http://www.okkam.org/oaie/restaurant1-Restaurant26,212/496-6031,http://www.okkam.org/oaie/restaurant1-Address26,coffee bar,,
72,http://www.okkam.org/ontology_restaurant1.owl#City,atlanta,http://www.okkam.org/oaie/restaurant1-City78,,,,,
73,http://www.okkam.org/ontology_restaurant1.owl#Restaurant,campton place,http://www.okkam.org/oaie/restaurant1-Restaurant98,415/955-5555,http://www.okkam.org/oaie/restaurant1-Address98,american,,
74,http://www.okkam.org/ontology_restaurant1.owl#City,hollywood,http://www.okkam.org/oaie/restaurant1-City7,,,,,
75,http://www.okkam.org/ontology_restaurant1.owl#Address,,http://www.okkam.org/oaie/restaurant1-Address73,,,,http://www.okkam.org/oaie/restaurant1-City73,2245 e. flamingo rd.
76,http://www.okkam.org/ontology_restaurant1.owl#City,new york,http://www.okkam.org/oaie/restaurant1-City48,,,,,
77,http://www.okkam.org/ontology_restaurant1.owl#Restaurant,coyote cafe,http://www.okkam.org/oaie/restaurant1-Restaurant68,702/891-7349,http://www.okkam.org/oaie/restaurant1-Address68,southwestern,,
78,http://www.okkam.org/ontology_restaurant1.owl#Address,,http://www.okkam.org/oaie/restaurant1-Address43,,,,http://www.okkam.org/oaie/restaurant1-City43,2 e. 55th st.
79,http://www.okkam.org/ontology_restaurant1.owl#City,los angeles,http://www.okkam.org/oaie/restaurant1-City18,,,,,
80,http://www.okkam.org/ontology_restaurant1.owl#Restaurant,fleur de lys,http://www.okkam.org/oaie/restaurant1-Restaurant100,415/673-7779,http://www.okkam.org/oaie/restaurant1-Address100,french,,
81,http://www.okkam.org/ontology_restaurant1.owl#Restaurant,jo jo,http://www.okkam.org/oaie/restaurant1-Restaurant38,212/223-5656,http://www.okkam.org/oaie/restaurant1-Address38,american,,
82,http://www.okkam.org/ontology_restaurant1.owl#Address,,http://www.okkam.org/oaie/restaurant1-Address13,,,,http://www.okkam.org/oaie/restaurant1-City13,3rd st.
83,http://www.okkam.org/ontology_restaurant1.owl#City,san francisco,http://www.okkam.org/oaie/restaurant1-City102,,,,,
84,http://www.okkam.org/ontology_restaurant1.owl#Address,,http://www.okkam.org/oaie/restaurant1-Address85,,,,http://www.okkam.org/oaie/restaurant1-City85,2637 peachtree rd.  peachtree house condominium
85,http://www.okkam.org/ontology_restaurant1.owl#Address,,http://www.okkam.org/oaie/restaurant1-Address7,,,,http://www.okkam.org/oaie/restaurant1-City7,8358 sunset blvd. west
86,http://www.okkam.org/ontology_restaurant1.owl#Address,,http://www.okkam.org/oaie/restaurant1-Address55,,,,http://www.okkam.org/oaie/restaurant1-City55,30 rockefeller plaza
87,http://www.okkam.org/ontology_restaurant1.owl#Restaurant,adriano's ristorante,http://www.okkam.org/oaie/restaurant1-Restaurant112,310/475-9807,http://www.okkam.org/oaie/restaurant1-Address112,italian,,
88,http://www.okkam.org/ontology_restaurant1.owl#City,atlanta,http://www.okkam.org/oaie/restaurant1-City91,,,,,
89,http://www.okkam.org/ontology_restaurant1.owl#Address,,http://www.okkam.org/oaie/restaurant1-Address25,,,,http://www.okkam.org/oaie/restaurant1-City25,34 e. 61st st.
90,http://www.okkam.org/ontology_restaurant1.owl#City,new york,http://www.okkam.org/oaie/restaurant1-City61,,,,,
91,http://www.okkam.org/ontology_restaurant1.owl#Restaurant,georgia grille,http://www.okkam.org/oaie/restaurant1-Restaurant81,404/352-3517,http://www.okkam.org/oaie/restaurant1-Address81,american,,
92,http://www.okkam.org/ontology_restaurant1.owl#Restaurant,cafe bizou,http://www.okkam.org/oaie/restaurant1-Restaurant3,818/788-3536,http://www.okkam.org/oaie/restaurant1-Address3,french,,
93,http://www.okkam.org/ontology_restaurant1.owl#Address,,http://www.okkam.org/oaie/restaurant1-Address97,,,,http://www.okkam.org/oaie/restaurant1-City97,7 claude la.
94,http://www.okkam.org/ontology_restaurant1.owl#City,new york,http://www.okkam.org/oaie/restaurant1-City31,,,,,
95,http://www.okkam.org/ontology_restaurant1.owl#Restaurant,park avenue cafe,http://www.okkam.org/oaie/restaurant1-Restaurant51,212/644-1900,http://www.okkam.org/oaie/restaurant1-Address51,american,,
96,http://www.okkam.org/ontology_restaurant1.owl#Address,,http://www.okkam.org/oaie/restaurant1-Address108,,,,http://www.okkam.org/oaie/restaurant1-City108,3201 fillmore st.
97,http://www.okkam.org/ontology_restaurant1.owl#Address,,http://www.okkam.org/oaie/restaurant1-Address67,,,,http://www.okkam.org/oaie/restaurant1-City67,3200 las vegas blvd. s
98,http://www.okkam.org/ontology_restaurant1.owl#Restaurant,valentino,http://www.okkam.org/oaie/restaurant1-Restaurant21,310/829-4313,http://www.okkam.org/oaie/restaurant1-Address21,italian,,
99,http://www.okkam.org/ontology_restaurant1.owl#Address,,http://www.okkam.org/oaie/restaurant1-Address37,,,,http://www.okkam.org/oaie/restaurant1-City37,402 w. 44th st.
100,http://www.okkam.org/ontology_restaurant1.owl#City,las vegas,http://www.okkam.org/oaie/restaurant1-City73,,,,,
101,http://www.okkam.org/ontology_restaurant1.owl#Restaurant,veni vidi vici,http://www.okkam.org/oaie/restaurant1-Restaurant93,404/875-8424,http://www.okkam.org/oaie/restaurant1-Address93,italian,,
102,http://www.okkam.org/ontology_restaurant1.owl#City,bel air,http://www.okkam.org/oaie/restaurant1-City2,,,,,
103,http://www.okkam.org/ontology_restaurant1.owl#City,new york,http://www.okkam.org/oaie/restaurant1-City43,,,,,
104,http://www.okkam.org/ontology_restaurant1.owl#Restaurant,tavern on the green,http://www.okkam.org/oaie/restaurant1-Restaurant63,212/873-3200,http://www.okkam.org/oaie/restaurant1-Address63,american,,
105,http://www.okkam.org/ontology_restaurant1.owl#Address,,http://www.okkam.org/oaie/restaurant1-Address79,,,,http://www.okkam.org/oaie/restaurant1-City79,1529 piedmont ave.
106,http://www.okkam.org/ontology_restaurant1.owl#City,los angeles,http://www.okkam.org/oaie/restaurant1-City13,,,,,
107,http://www.okkam.org/ontology_restaurant1.owl#Restaurant,felidia,http://www.okkam.org/oaie/restaurant1-Restaurant33,212/758-1479,http://www.okkam.org/oaie/restaurant1-Address33,italian,,
108,http://www.okkam.org/ontology_restaurant1.owl#Address,,http://www.okkam.org/oaie/restaurant1-Address49,,,,http://www.okkam.org/oaie/restaurant1-City49,239 w. broadway  between walker and white sts.
109,http://www.okkam.org/ontology_restaurant1.owl#Restaurant,masa's,http://www.okkam.org/oaie/restaurant1-Restaurant106,415/989-7154,http://www.okkam.org/oaie/restaurant1-Address106,french,,
110,http://www.okkam.org/ontology_restaurant1.owl#City,atlanta,http://www.okkam.org/oaie/restaurant1-City85,,,,,
111,http://www.okkam.org/ontology_restaurant1.owl#Address,,http://www.okkam.org/oaie/restaurant1-Address19,,,,http://www.okkam.org/oaie/restaurant1-City19,617 s. olive st.
112,http://www.okkam.org/ontology_restaurant1.owl#Address,,http://www.okkam.org/oaie/restaurant1-Address80,,,,http://www.okkam.org/oaie/restaurant1-City80,1 margaret mitchell sq.
113,http://www.okkam.org/ontology_restaurant1.owl#City,san francisco,http://www.okkam.org/oaie/restaurant1-City108,,,,,
114,http://www.okkam.org/ontology_restaurant1.owl#City,new york,http://www.okkam.org/oaie/restaurant1-City55,,,,,
115,http://www.okkam.org/ontology_restaurant1.owl#Restaurant,bacchanalia,http://www.okkam.org/oaie/restaurant1-Restaurant75,404/365-0410,http://www.okkam.org/oaie/restaurant1-Address75,international,,
116,http://www.okkam.org/ontology_restaurant1.owl#Address,,http://www.okkam.org/oaie/restaurant1-Address2,,,,http://www.okkam.org/oaie/restaurant1-City2,701 stone canyon rd.
117,http://www.okkam.org/ontology_restaurant1.owl#Address,,http://www.okkam.org/oaie/restaurant1-Address50,,,,http://www.okkam.org/oaie/restaurant1-City50,55 e. 54th st.
118,http://www.okkam.org/ontology_restaurant1.owl#City,new york,http://www.okkam.org/oaie/restaurant1-City25,,,,,
119,http://www.okkam.org/ontology_restaurant1.owl#Restaurant,manhattan ocean club,http://www.okkam.org/oaie/restaurant1-Restaurant45,212/ 371-7777,http://www.okkam.org/oaie/restaurant1-Address45,seafood,,
120,http://www.okkam.org/ontology_restaurant1.owl#Address,,http://www.okkam.org/oaie/restaurant1-Address20,,,,http://www.okkam.org/oaie/restaurant1-City20,1114 horn ave.
121,http://www.okkam.org/ontology_restaurant1.owl#City,san francisco,http://www.okkam.org/oaie/restaurant1-City97,,,,,
122,http://www.okkam.org/ontology_restaurant1.owl#Restaurant,the palm,http://www.okkam.org/oaie/restaurant1-Restaurant15,310/550-8811,http://www.okkam.org/oaie/restaurant1-Address15,american,,
123,http://www.okkam.org/ontology_restaurant1.owl#Address,,http://www.okkam.org/oaie/restaurant1-Address92,,,,http://www.okkam.org/oaie/restaurant1-City92,b peachtree rd.
124,http://www.okkam.org/ontology_restaurant1.owl#City,las vegas,http://www.okkam.org/oaie/restaurant1-City67,,,,,
125,http://www.okkam.org/ontology_restaurant1.owl#Restaurant,nikolai's roof,http://www.okkam.org/oaie/restaurant1-Restaurant87,404/221-6362,http://www.okkam.org/oaie/restaurant1-Address87,continental,,
126,http://www.okkam.org/ontology_restaurant1.owl#Address,,http://www.okkam.org/oaie/restaurant1-Address62,,,,http://www.okkam.org/oaie/restaurant1-City62,201 e. 49th st.
127,http://www.okkam.org/ontology_restaurant1.owl#Restaurant,grill on the alley,http://www.okkam.org/oaie/restaurant1-Restaurant9,310/276-0615,http://www.okkam.org/oaie/restaurant1-Address9,american,,
128,http://www.okkam.org/ontology_restaurant1.owl#Address,,http://www.okkam.org/oaie/restaurant1-Address103,,,,http://www.okkam.org/oaie/restaurant1-City103,5937 geary blvd.
129,http://www.okkam.org/ontology_restaurant1.owl#City,new york,http://www.okkam.org/oaie/restaurant1-City37,,,,,
130,http://www.okkam.org/ontology_restaurant1.owl#Restaurant,san domenico,http://www.okkam.org/oaie/restaurant1-Restaurant57,212/265-5959,http://www.okkam.org/oaie/restaurant1-Address57,italian,,
131,http://www.okkam.org/ontology_restaurant1.owl#Address,,http://www.okkam.org/oaie/restaurant1-Address32,,,,http://www.okkam.org/oaie/restaurant1-City32,210 e. 58th st.
132,http://www.okkam.org/ontology_restaurant1.owl#Restaurant,cafe des artistes,http://www.okkam.org/oaie/restaurant1-Restaurant27,212/877-3500,http://www.okkam.org/oaie/restaurant1-Address27,continental,,
133,http://www.okkam.org/ontology_restaurant1.owl#City,atlanta,http://www.okkam.org/oaie/restaurant1-City79,,,,,
134,http://www.okkam.org/ontology_restaurant1.owl#Restaurant,chez michel,http://www.okkam.org/oaie/restaurant1-Restaurant99,415/775-7036,http://www.okkam.org/oaie/restaurant1-Address99,french,,
135,http://www.okkam.org/ontology_restaurant1.owl#City,malibu,http://www.okkam.org/oaie/restaurant1-City8,,,,,
136,http://www.okkam.org/ontology_restaurant1.owl#Address,,http://www.okkam.org/oaie/restaurant1-Address74,,,,http://www.okkam.org/oaie/restaurant1-City74,2355 peachtree rd.  peachtree battle shopping center
137,http://www.okkam.org/ontology_restaurant1.owl#City,new york,http://www.okkam.org/oaie/restaurant1-City49,,,,,
138,http://www.okkam.org/ontology_restaurant1.owl#Restaurant,le montrachet,http://www.okkam.org/oaie/restaurant1-Restaurant69,702/732-5111,http://www.okkam.org/oaie/restaurant1-Address69,continental,,
139,http://www.okkam.org/ontology_restaurant1.owl#Address,,http://www.okkam.org/oaie/restaurant1-Address44,,,,http://www.okkam.org/oaie/restaurant1-City44,249 e. 50th st.
140,http://www.okkam.org/ontology_restaurant1.owl#City,los angeles,http://www.okkam.org/oaie/restaurant1-City19,,,,,
141,http://www.okkam.org/ontology_restaurant1.owl#Restaurant,fringale,http://www.okkam.org/oaie/restaurant1-Restaurant101,415/543-0573,http://www.okkam.org/oaie/restaurant1-Address101,french,,
142,http://www.okkam.org/ontology_restaurant1.owl#City,atlanta,http://www.okkam.org/oaie/restaurant1-City80,,,,,
143,http://www.okkam.org/ontology_restaurant1.owl#Restaurant,la caravelle,http://www.okkam.org/oaie/restaurant1-Restaurant39,212/586-4252,http://www.okkam.org/oaie/restaurant1-Address39,french,,
144,http://www.okkam.org/ontology_restaurant1.owl#Address,,http://www.okkam.org/oaie/restaurant1-Address14,,,,http://www.okkam.org/oaie/restaurant1-City14,129 n. la cienega blvd.
145,http://www.okkam.org/ontology_restaurant1.owl#City,san francisco,http://www.okkam.org/oaie/restaurant1-City103,,,,,
146,http://www.okkam.org/ontology_restaurant1.owl#City,new york,http://www.okkam.org/oaie/restaurant1-City50,,,,,
147,http://www.okkam.org/ontology_restaurant1.owl#Restaurant,palace court,http://www.okkam.org/oaie/restaurant1-Restaurant70,702/731-7547,http://www.okkam.org/oaie/restaurant1-Address70,continental,,
148,http://www.okkam.org/ontology_restaurant1.owl#Address,,http://www.okkam.org/oaie/restaurant1-Address86,,,,http://www.okkam.org/oaie/restaurant1-City86,224 ponce de leon ave.
149,http://www.okkam.org/ontology_restaurant1.owl#City,los angeles,http://www.okkam.org/oaie/restaurant1-City20,,,,,
150,http://www.okkam.org/ontology_restaurant1.owl#Restaurant,la cote basque,http://www.okkam.org/oaie/restaurant1-Restaurant40,212/688-6525,http://www.okkam.org/oaie/restaurant1-Address40,french,,
151,http://www.okkam.org/ontology_restaurant1.owl#Address,,http://www.okkam.org/oaie/restaurant1-Address8,,,,http://www.okkam.org/oaie/restaurant1-City8,23725 w. malibu rd.
152,http://www.okkam.org/ontology_restaurant1.owl#Address,,http://www.okkam.org/oaie/restaurant1-Address56,,,,http://www.okkam.org/oaie/restaurant1-City56,1 water st. at the east river
153,http://www.okkam.org/ontology_restaurant1.owl#City,atlanta,http://www.okkam.org/oaie/restaurant1-City92,,,,,
154,http://www.okkam.org/ontology_restaurant1.owl#Restaurant,restaurant katsu,http://www.okkam.org/oaie/restaurant1-Restaurant10,213/665-1891,http://www.okkam.org/oaie/restaurant1-Address10,asian,,
155,http://www.okkam.org/ontology_restaurant1.owl#Address,,http://www.okkam.org/oaie/restaurant1-Address26,,,,http://www.okkam.org/oaie/restaurant1-City26,201 w. 83rd st.
156,http://www.okkam.org/ontology_restaurant1.owl#City,new york,http://www.okkam.org/oaie/restaurant1-City62,,,,,
157,http://www.okkam.org/ontology_restaurant1.owl#Restaurant,hedgerose heights inn,http://www.okkam.org/oaie/restaurant1-Restaurant82,404/233-7673,http://www.okkam.org/oaie/restaurant1-Address82,international,,
158,http://www.okkam.org/ontology_restaurant1.owl#Restaurant,campanile,http://www.okkam.org/oaie/restaurant1-Restaurant4,213/938-1447,http://www.okkam.org/oaie/restaurant1-Address4,american,,
159,http://www.okkam.org/ontology_restaurant1.owl#Address,,http://www.okkam.org/oaie/restaurant1-Address98,,,,http://www.okkam.org/oaie/restaurant1-City98,340 stockton st.
160,http://www.okkam.org/ontology_restaurant1.owl#City,new york,http://www.okkam.org/oaie/restaurant1-City32,,,,,
161,http://www.okkam.org/ontology_restaurant1.owl#Restaurant,petrossian,http://www.okkam.org/oaie/restaurant1-Restaurant52,212/245-2214,http://www.okkam.org/oaie/restaurant1-Address52,french,,
162,http://www.okkam.org/ontology_restaurant1.owl#Address,,http://www.okkam.org/oaie/restaurant1-Address109,,,,http://www.okkam.org/oaie/restaurant1-City109,545 post st.
