id,price,manufacturer,description,title,entityUrl
17,195.53,,ibm bb0gyna : usually ships in 24 hours : : ibm informix dynamic server (ids) delivers superior reliability - meeting the needs of today's demanding e-business practices - particularly for applications requiring high-performance transactions.,bb0gyna ibm informix dynamic server enterprise edition - ( v. 9.4 ) - media - cd - linux,http://www.google.com/base/feeds/snippets/13490501694625983754
18,499.17,,equisys eqzfn07-201 : usually ships in 24 hours : in stock : the zetafax business edition is the equisys entry-level network fax software for 5 to 25 network users.,eqzfn07-201 zetafax business edition - license - 5 users - win,http://www.google.com/base/feeds/snippets/13495800857575425103
19,2021.99,,wasp bar code 633808390266 : usually ships in 24 hours : in stock : wasp mobileasset is the 1 selling industry-leading asset tracking solution for small to medium-sized businesses.,633808390266 wasp mobileasset professional edition combo pack with spt 1800 - ( v. 5 ) - comp,http://www.google.com/base/feeds/snippets/13498255156520573167
20,3715.48,,watchguard technologies wg017449 : usually ships in 24 hours : : turn your firebox x5500e into a comprehensive unified threat management (utm) solution - the best in its class - with the utm software suite from watchguard.,wg017449 watchguard firebox x5500e utm software suite - subscription license ( 1 year ) +,http://www.google.com/base/feeds/snippets/13498594914201055159
21,149.43,,lexmark international 11k2990 : usually ships in 24 hours : : international printing for mysap.,11k2990 international printing for mysap.com - complete package - 1 client - cd - englis,http://www.google.com/base/feeds/snippets/13680933987356137404
22,663.22,,adaptec 5325302018 : usually ships in 24 hours : : snap edr is a high-performance network-optimized software solution for distributing protecting and reporting on business-critical information throughout distributed enterprises.,5325302018 snap enterprise data replicator - license - 1 server - linux unix win,http://www.google.com/base/feeds/snippets/13719401226624644329
23,18.88,,adobe systems 38039440dm : usually ships in 24 hours : : adobe flash cs3 professional software is the most advanced authoring environment for creating rich interactive content for digital web and mobile platforms.,38039440dm adobe flash cs3 professional - ( v. 9 ) - media - tlp tlp nonprofit - dvd - win,http://www.google.com/base/feeds/snippets/13756542466722287702
24,16.09,,symantec 11105106 : usually ships in 24 hours : : symantec bindview policy manager reduces the increasing cost of it compliance for multiple regulations by providing automated policy management that defines and disseminates policy throughout the ...,11105106 symantec bindview policy manager - ( v. 1.0 ) - media - cd - win - english,http://www.google.com/base/feeds/snippets/13523914615628879714
25,1054.23,,adobe systems 25510587 : usually ships in 24 hours : : bring your vision to life with blockbuster visual effects and compelling motion graphics.,25510587 adobe after effects cs3 professional - complete package - 1 user - dvd - win - c,http://www.google.com/base/feeds/snippets/13515827501684146744
26,751.44,,watchguard technologies wg017127 : usually ships in 24 hours : : viruses and threats carried in by e-mail happen more frequently and become harder to catch.,wg017127 watchguard gateway antivirus for e-mail - maintenance ( 1 year ) - 1 device - wi,http://www.google.com/base/feeds/snippets/13519260862216750553
27,1562.06,,plasmon did0480p-m311 : usually ships in 24 hours : : plasmon provides the industry's most comprehensive line of automated storage libraries optical drives disks library storage management software and associated support services.,did0480p-m311 plasmon additional maintenance 24x7 - plasmon diamond technical support - consul,http://www.google.com/base/feeds/snippets/13522752516373728128
28,179.03,,wasp bar code 633808035020 : usually ships in 24 hours : in stock : wasp nest suite is a powerful desktop bar code solution that's right for your business.,633808035020 wasp nest ccd suite business edition - complete package - 1 user - cd - win,http://www.google.com/base/feeds/snippets/13630644212149116511
29,29.93,,microsoft 711-00072 : usually ships in 24 hours : in stock : microsoft is the worldwide leader in software services and internet technologies for personal and business computing.,711-00072 microsoft entertainment pocketpak 2004 productivity pack - complete package - 1,http://www.google.com/base/feeds/snippets/13467860255503828452
30,3992.98,,sonicwall 01-ssc-6993 : usually ships in 24 hours : : sonicwall client/server anti-virus suite leverages the award-winning mcafee netshield and groupshield applications for networks with windows -based file print and exchange servers.,01-ssc-6993 sonicwall client/server anti-virus suite - subscription license ( 3 years ) - 50,http://www.google.com/base/feeds/snippets/13464833788774660263
31,61.94,,corel buvsag-00000 : usually ships in 24 hours : in stock : ulead videostudio 10 features affordable and easy-to-use editing and authoring tools for making great home movies.,buvsag-00000 ulead videostudio 10 - complete package - 1 user - win - english,http://www.google.com/base/feeds/snippets/13472653188599800123
32,34.38,,microsoft s71-00009 : usually ships in 24 hours : in stock : joanna dark returns in the xbox 360 exclusive perfect dark: zero the prequel to the internationally award-winning and multi-million selling first-person shooter perfect dark from famed ...,s71-00009 perfect dark zero - complete package - 1 user - microsoft xbox 360 - dvd - engli,http://www.google.com/base/feeds/snippets/13470483249127905511
33,93.33,,microsoft c6q-00002 : usually ships in 24 hours : in stock : get powerful digital photography tools and perfect your shots - whether you're a beginner or a pro.,c6q-00002 microsoft digital image suite plus - complete package - 1 pc - cd-rom (mini box),http://www.google.com/base/feeds/snippets/13452628916237194338
34,72.74,,apple computer ma166z/a : usually ships in 24 hours : : ilife '06 the must-have update to apple's award-winning suite of digital lifestyle applications delivers major upgrades to iphoto imovie hd idvd and garageband plus an innovative new ...,ma166z/a ilife '06 - complete package - 1 user - dvd - mac,http://www.google.com/base/feeds/snippets/13449641891153735617
35,7022.74,,cisco systems s45es-12225sg= : usually ships in 24 hours : : cisco ios (internetworking operating system) software is the platform that delivers network services and enables networked applications.,s45es-12225sg= cisco ios enterprise services - ( v. 12.2(25)sg ) - complete package,http://www.google.com/base/feeds/snippets/13461172312323021942
36,1834.4,,microsoft t74-00004 : usually ships in 24 hours : in stock : as a small business you have to work harder than ever.,t74-00004 microsoft windows small business server 2003 - license - 20 additional user cals,http://www.google.com/base/feeds/snippets/13453533093802675063
37,742.21,,quark 122103 : usually ships in 24 hours : in stock : quarkxpress is powerful design and page layout software with an intuitive versatile interface that lets you combine superior typography with color and pictures to produce dynamic final output ...,122103 quarkxpress - ( v. 7 ) - complete package - 1 user - cd - win mac,http://www.google.com/base/feeds/snippets/13486878941125826714
38,2426.1,,avocent dsv3-swa : usually ships in 24 hours : : the avocent dsview management software provides the industry's most secure and reliable kvm over ip centralized management system for the data center.,dsv3-swa dsview - ( v. 3 ) - license - 5 users 1 hub - win,http://www.google.com/base/feeds/snippets/13489673299784367516
39,1589.95,,hp 366125-002 : usually ships in 24 hours : : hp software technical support provides comprehensive services and cost-saving updates to help you enhance the performance and availability of software from hp and other leading vendors.,366125-002 hp care pack software technical support - vmware virtualcenter 1 node 2 process,http://www.google.com/base/feeds/snippets/13488649820373195137
40,17.21,,lenovo group 378517z : usually ships in 24 hours : : in today's large-enterprise environment creating and managing the custom images in your organization and all of the costs and other processes effected by them can be one of the it department's ...,378517z lenovo thinkvantage imageultra builder (non-lenovo systems) - ( v. 3.0 ) - licen,http://www.google.com/base/feeds/snippets/13476194503583500314
41,3640.84,,datawatch fpm32c070-a08n : usually ships in 24 hours : : monarch is the world's leading report mining and data analysis tool transforming report output files into live data on your pc.,fpm32c070-a08n monarch standard edition - ( v. 7.0 ) - complete package - 8 users - cd - win,http://www.google.com/base/feeds/snippets/13474422966301323984
42,3223.26,,netmanage 910519-004 : usually ships in 24 hours : : rumba as/400 edition is known for its superior performance and rock-solid reliability in providing robust easy-to-use connectivity from windows desktops to ibm as/400 host applications and ...,910519-004 rumba as/400 edition - ( v. 7.4 ) - upgrade license - 1 processor - tier p10 - c,http://www.google.com/base/feeds/snippets/13485459790889612466
43,14.51,,encore software 10568 : usually ships in 24 hours : in stock : with old classics and new challenges there is something for every player with hoyle puzzle & board games.,10568 hoyle puzzle & board games 2005 - complete package - 1 user - pc - cd - win,http://www.google.com/base/feeds/snippets/13479220891875857477
44,371.5,,nortel networks dm0016009 : usually ships in 24 hours : : nortel networks a leading manufacturer of network components and solutions provides its products with all the necessary software in order to meet various needs of its customers.,dm0016009 contivity stateful firewall - license - 1 switch - english,http://www.google.com/base/feeds/snippets/13589609251216592510
45,377.61,,adobe systems 22030094 : usually ships in 24 hours : : adobe encore dvd software takes dvd authoring to a new level of creativity and efficiency.,22030094 adobe encore dvd - ( v. 2.0 ) - complete package - 1 user - dvd - win - universa,http://www.google.com/base/feeds/snippets/13594336434682042972
46,1320.64,,adaptec 5325302020 : usually ships in 24 hours : : snap enterprise data replicator advanced (snap edr advanced) is a high-performance network-optimized software solution for managing and reporting on business-critical information throughout a ...,5325302020 snap enterprise data replicator advanced - license - 1 server - linux unix win,http://www.google.com/base/feeds/snippets/13585307311432803676
47,94.08,,microsoft b11-01215 : usually ships in 24 hours : : with six easy-to-use tools in one affordable package microsoft works suite 2006 has something for everyone in your household.,b11-01215 microsoft works suite 2006 - license and media - 1 user - cd - win - english - u,http://www.google.com/base/feeds/snippets/13569745437647465764
48,459.3,,hp bb117ac : usually ships in 24 hours : : hp storageworks data protector express is easy to install easy to use and easy to manage backup and recovery software suitable for organizations without dedicated it or disaster recovery staff.,bb117ac hp storageworks data protector express backup server - product upgrade package -,http://www.google.com/base/feeds/snippets/13580973667608887322
49,538.5,,business objects w-1rp-f-wx-00 : usually ships in 24 hours : : crystal reports xi provides for dynamic and cascading prompts.,w-1rp-f-wx-00 crystal reports xi professional edition - complete package - 1 user - win - fren,http://www.google.com/base/feeds/snippets/13612431545534422863
50,195.77,,wasp bar code 633808105020 : usually ships in 24 hours : in stock : this top-selling bar code labeling software is packed with advanced features and solid performance.,633808105020 wasp bar code labeler - complete package - 3 users - cd - win - english,http://www.google.com/base/feeds/snippets/13613941901270543827
51,2565.08,,sonicwall 01-ssc-7316 : usually ships in 24 hours : : sonicwall content filtering service (cfs) provides unequaled protection and productivity policy enforcement for businesses of all sizes.,01-ssc-7316 sonicwall cfs premium gov/ed edition for sonicwall pro 4100 - subscription licen,http://www.google.com/base/feeds/snippets/13609887150599288900
52,16.09,,symantec 11105093 : usually ships in 24 hours : : symantec web security for microsoft internet security and acceleration (isa) server 2004 provides high-performance reliable virus and spyware protection and url filtering for web traffic served ...,11105093 symantec web security for microsoft isa server 2004 - ( v. 5.0 ) - media - cd -,http://www.google.com/base/feeds/snippets/13611923330241956429
53,6594.2,,microsoft 395-03824 : usually ships in 24 hours : in stock : microsoft exchange server 2007 is the next version of microsoft exchange server the industry's leading server for e-mail calendaring and unified messaging.,395-03824 microsoft exchange server 2007 enterprise edition - complete package - 1 server,http://www.google.com/base/feeds/snippets/13601805942726117851
54,215.57,,hp rl294aa : usually ships in 24 hours : : red hat enterprise linux ws is the technical and design workstation partner for enterprise linux as and enterprise linux es.,rl294aa red hat enterprise linux ws - ( v. 3 update 8 ) - license - 1 user,http://www.google.com/base/feeds/snippets/13609690668273526543
55,75.48,,netiq 808-1v500-mk-us : usually ships in 24 hours : : netiq directory and resource administrator provides highly secure and automated administration of windows nt 4 and windows 2000/active directory environments.,808-1v500-mk-us directory and resource administrator - ( v. 5.0 ) - media - win - english - unit,http://www.google.com/base/feeds/snippets/13600077751524133540
56,2181.91,,esker software 22799 : usually ships in 24 hours : : vsi-fax automates critical business communications which maximizes and streamlines day-to-day business operations - crucial to gaining and maintaining a competitive edge in today's fast-paced ...,22799 vsi-fax - upgrade license - 8 additional ports - linux unix win,http://www.google.com/base/feeds/snippets/13544956135698506439
57,197.65,,symantec e17887d : usually ships in 24 hours : : symantec backup exec remote agent client access license for windows or netware servers optimizes performance to protect remote netware and windows servers.,e17887d symantec backup exec for netware servers remote agent for windows or netware ser,http://www.google.com/base/feeds/snippets/13543305107321213490
58,85.85,,hp b7305pa : usually ships in 24 hours : : hp offers premium support pack for openview manager for ms exchange server mx application server edition (qty.,b7305pa supportpack for hp openview manager for microsoft exchange server 2.0 premium -,http://www.google.com/base/feeds/snippets/13542696963477981795
59,125.97,,lenovo group 40y9223 : usually ships in 24 hours : in stock : computrace lojack for laptops by absolute software is a computer tracking and loss control software service.,40y9223 computrace lojack for laptops - subscription package ( 4 years ) - 1 notebook -,http://www.google.com/base/feeds/snippets/13536386431084971336
60,12567.39,,ibm 04l1671 : usually ships in 24 hours : : using mqseries you can now enhance the mix and match of applications via the application link enabling (ale) layer to meet your business requirements minimizing duplication of data and increasing the ...,04l1671 ibm websphere mq link for r/3 - ( v. 1.2 ) - complete package - 1 server - cd -,http://www.google.com/base/feeds/snippets/13533497843810105113
61,1001.38,,cisco systems cd28-esk9= : usually ships in 24 hours : : cisco ios (internetworking operating system) software is the platform that delivers network services and enables networked applications.,cd28-esk9= cisco ios enterprise services - complete package - cd,http://www.google.com/base/feeds/snippets/13524826089365576174
62,18.88,,adobe systems 23500195dm : usually ships in 24 hours : : adobe incopy cs3 software is a professional writing and editing program that tightly integrates with adobe indesign cs3 software to enable collaborative editorial workflows.,23500195dm adobe incopy cs3 - ( v. 5.0 ) - media - tlp tlp nonprofit - dvd - win - univers,http://www.google.com/base/feeds/snippets/13569539585915039323
63,43.85,,sonicwall 01-ssc-5310 : usually ships in 24 hours : : in today's business environment providing mobile workers with a secure easy-to-use solution that gives them remote access to mission-critical resources on the corporate network is vital to a ...,01-ssc-5310 sonicwall global vpn client - license - 1 user - win,http://www.google.com/base/feeds/snippets/13569469265401894942
64,841.55,,scansoft f309a-g03-11.0 : usually ships in 24 hours : in stock : paperport professional 11 offers all the great features that have made paperport the 1 desktop document management solution plus you also get greater support for the pdf file format ...,f309a-g03-11.0 scansoft paperport professional - ( v. 11 ) - complete package - 5 users - win -,http://www.google.com/base/feeds/snippets/13566075717731610336
65,147.73,,netmanage 902453-007-b : usually ships in 24 hours : : the rumba product family provides users secure access to mission-critical applications and data residing on virtually any host system from the latest windows desktops including windows xp and ...,902453-007-b rumba unix-hp edition - upgrade license - 1 user - volume - level b ( 5-49 ) - c,http://www.google.com/base/feeds/snippets/13558726664717453661
66,2279.02,,watchguard technologies wg7569 : usually ships in 24 hours : : watchguard technologies is pleased to offer you the gold livesecurity program.,wg7569 watchguard livesecurity service gold - watchguard serverlock for solaris technic,http://www.google.com/base/feeds/snippets/13555492496576702552
67,2270.06,,hp j8779a : usually ships in 24 hours : : pcm+ 2.,j8779a hp procurve manager plus - ( v. 2.0 ) - upgrade license - unlimited devices - wi,http://www.google.com/base/feeds/snippets/13550180762640570766
68,18.88,,adobe systems 15510669dm : usually ships in 24 hours : : bring your vision to life with blockbuster visual effects and compelling motion graphics.,15510669dm adobe after effects cs3 professional - ( v. 8 ) - media - tlp tlp nonprofit - d,http://www.google.com/base/feeds/snippets/13550686268945952656
69,86.94,,network associates mtp07emb3rua : usually ships in 24 hours : in stock : mcafee total protection with siteadvisor is the final word in pc and internet security.,mtp07emb3rua mcafee total protection 2007 - complete package - 3 users - cd ( mini-box ) - wi,http://www.google.com/base/feeds/snippets/13556239020919475970
70,843.15,,adobe systems 29270077 : usually ships in 24 hours : in stock : adobe creative suite 3 web standard software is the basic toolkit for web designers and developers.,29270077 adobe creative suite 3 web standard - product upgrade package - 1 user - upgrade,http://www.google.com/base/feeds/snippets/13663736690242275539
71,1056.98,,adobe systems 29270055 : usually ships in 24 hours : in stock : adobe creative suite 3 web standard software is the basic toolkit for web designers and developers.,29270055 adobe creative suite 3 web standard - complete package - 1 user - cd - win - uni,http://www.google.com/base/feeds/snippets/13667626146458807727
72,3.29,,emc2 evyu7517 : usually ships in 24 hours : : emc visualsrm smb edition storage management software enables small and medium businesses to stay ahead of data growth and rein in costs while meeting their business needs.,evyu7517 emc insignia visualsrm smb edition - ( v. 1.7 ) - media - cd - win,http://www.google.com/base/feeds/snippets/13667854560905221243
73,666.65,,computer associates international cabprenaen150 : usually ships in 24 hours : : the ca business protection suite for microsoft small business server premium edition delivers a full range of antivirus anti-spyware data protection and desktop ...,cabprenaen150 ca business protection suite for microsoft small business server premium edition,http://www.google.com/base/feeds/snippets/13673080401566719655
74,20.97,,adobe systems 38040048dm : usually ships in 24 hours : : vlog it! lets you share photos and video clips and narrate them using a webcam or camcorder.,38040048dm vlog it! - ( v. 2.5 ) - media - tlp tlp nonprofit - download - win - worldwide,http://www.google.com/base/feeds/snippets/13673336906296836250
75,20.97,,adobe systems 19600061dm : usually ships in 24 hours : : maximize your productivity with adobe creative suite 3 production premium software the total post-production solution.,19600061dm adobe creative suite 3 production premium - media - tlp - download - mac - world,http://www.google.com/base/feeds/snippets/13676088604600368637
76,24.8,,vivendi universal 72212 : usually ships in 24 hours : in stock : four years have passed since the aftermath of warcraft iii: reign of chaos and a great tension now smolders throughout the ravaged world of azeroth.,72212 world of warcraft - complete package - 1 user - pc - cd - win mac,http://www.google.com/base/feeds/snippets/13676550626962262162
77,93.25,,microsoft dja-00892 : usually ships in 24 hours : : microsoft system center essentials 2007 (essentials 2007) is a new management solution in the system center family of it systems management products specifically designed for midsized businesses ( ...,dja-00892 microsoft system center essentials 2007 - license - 1 server - win - english,http://www.google.com/base/feeds/snippets/13682135504984237649
78,363.63,,datawatch fpxmlc020-a01 : usually ships in 24 hours : : vortexml v2 provides a variety of enhancements from more preview and verification features to more friendly and interactive template building capabilities making it much easier for you to ...,fpxmlc020-a01 vortexml - ( v. 2 ) - complete package - 1 user - cd - win,http://www.google.com/base/feeds/snippets/13683080246470730706
79,37.24,,emc2 eete7717 : usually ships in 24 hours : : emc eroom smb edition brings efficiency to how employees partners and suppliers work together.,eete7717 emc insignia eroom smb edition - ( v. 7.3 ) - media and documentation set - cd -,http://www.google.com/base/feeds/snippets/13685743345629396225
80,377.06,,adaptec 5325301873 : usually ships in 24 hours : : snap care service programs continually offer the latest operating system software features and product enhancements for snap server systems.,5325301873 snap appliance snap care - snap enterprise data replicator technical support - c,http://www.google.com/base/feeds/snippets/13689064480578307246
81,26759.24,,netmanage 910584-001 : usually ships in 24 hours : : rumba as/400 edition provides connectivity from windows desktops to ibm as/400 host applications and databases.,910584-001 rumba as/400 edition - ( v. 7.2 ) - upgrade package - 1 processor - tier p60 - c,http://www.google.com/base/feeds/snippets/13691825178637426167
82,3323.92,,symantec 10517940 : usually ships in 24 hours : in stock : symantec client security business packs proactively protect your business from viruses spyware and hackers.,10517940 symantec client security with groupware protection business pack - ( v. 3.1 ) -,http://www.google.com/base/feeds/snippets/13693694360546677062
83,14568.97,,sonicwall 01-ssc-7524 : usually ships in 24 hours : : sonicwall provides multi-layer defense against viruses.,01-ssc-7524 sonicwall email anti-virus mcafee and sonicwall time zero - subscription license,http://www.google.com/base/feeds/snippets/13695635236319996300
84,5189.82,,esker software 22798 : usually ships in 24 hours : : vsi-fax automates critical business communications which maximizes and streamlines day-to-day business operations - crucial to gaining and maintaining a competitive edge in today's fast-paced ...,22798 vsi-fax - license - 8 additional ports - linux unix win,http://www.google.com/base/feeds/snippets/13701486846245883615
85,4275.71,,esker software 22790 : usually ships in 24 hours : : vsi-fax automates critical business communications which maximizes and streamlines day-to-day business operations - crucial to gaining and maintaining a competitive edge in today's fast-paced ...,22790 vsi-fax - license - unlimited clients - linux unix win,http://www.google.com/base/feeds/snippets/13619545568915366865
86,16.98,,symantec 10527687 : usually ships in 24 hours : : symantec on-demand protection solution helps prevent the compromise of enterprise assets such as company financials customer information and intellectual property caused by unprotected network ...,10527687 symantec on-demand protection - ( v. 2.6 ) - media - elite forecast elite commi,http://www.google.com/base/feeds/snippets/13616645550697105213
87,41.74,,e frontier msd-w30-de-r : usually ships in 24 hours : in stock : the best way to create manga and comics from start to finish! imagine draw and publish manga and comic art with this affordable and powerful tool.,msd-w30-de-r manga studio debut - ( v. 3.0 ) - complete package - 1 user - cd - win,http://www.google.com/base/feeds/snippets/13627138174377206631
88,160.88,,niles software 9002 : usually ships in 24 hours : : how will you approach your next literature search? try refviz a text analysis and visualization software application designed to evaluate the literature.,9002 refviz - ( v. 2 ) - complete package - 1 user - mac,http://www.google.com/base/feeds/snippets/13629048235166470951
89,69.38,,intuit 298881 : usually ships in 24 hours : in stock : quickbooks customer manager is the easiest customer management software to give your customers excellent service to keep them coming back.,298881 quickbooks customer manager - ( v. 2.5 ) - complete package - 1 user - cd - win,http://www.google.com/base/feeds/snippets/13628923702313056259
90,409.56,,wasp bar code 633808344078 : usually ships in 24 hours : : wasp mobileinventory equips you to manage and track your inventory using your desktop pc and your palm os or wasp wdt2200 handheld! within minutes check items in and out manage item ...,633808344078 wasp mobileinventory combo pack - w/ spt1550 - license - 1 additional mobile dev,http://www.google.com/base/feeds/snippets/13638966826111180048
91,18.88,,adobe systems 19280016dm : usually ships in 24 hours : : follow your ideas anywhere with adobe creative suite 3 master collection software.,19280016dm adobe creative suite 3 master collection - media - tlp tlp nonprofit - dvd - ma,http://www.google.com/base/feeds/snippets/13635462580810024712
92,379.23,,computer associates international babnur1111s01 : usually ships in 24 hours : : delivering reliable recovery & backup for your distributed environment centered around novell netware backup servers this easy to use solution protects your novell ...,babnur1111s01 brightstor arcserve backup for netware w/sp1 - ( v. 11.1 ) - version upgrade pac,http://www.google.com/base/feeds/snippets/13643822312130118109
93,1306.68,,sonicwall 01-ssc-7520 : usually ships in 24 hours : : sonicwall provides multi-layer defense against viruses.,01-ssc-7520 sonicwall email anti-virus mcafee and sonicwall time zero - subscription license,http://www.google.com/base/feeds/snippets/13639036099727568054
94,67.47,,pinnacle systems 210100533 : usually ships in 24 hours : : pinnacle studio plus titanium edition combines the recognized ease of use of studio's intuitive three-step movie creation process with the power and quality of the pinnacle liquid engine to ...,210100533 pinnacle studio plus titanium edition - ( v. 10.5 ) - complete package - 1 user,http://www.google.com/base/feeds/snippets/13644676745896457077
95,1235.07,,watchguard technologies wg4110 : usually ships in 24 hours : : watchguard vpn manager provides centralized management and monitoring tools for larger organizations with multiple fireboxes.,wg4110 watchguard vpn manager - upgrade package - 10 nodes - cd - win - english,http://www.google.com/base/feeds/snippets/13650863465591381531
96,29578.09,,netmanage 910623-000 : usually ships in 24 hours : : rumba web-to-host lets you cost-effectively leverage important assets on your legacy host systems literally within minutes.,910623-000 rumba web-to-host for as/400 - ( v. 4.2 ) - license - 1 processor - tier p60 - s,http://www.google.com/base/feeds/snippets/13660085133260357894
97,10693.51,,sonicwall 01-ssc-6959 : usually ships in 24 hours : : sonicwall enforced client anti-virus and anti-spyware delivers enforced and auto-updated desktop protection through automatic system-wide updates of virus definitions eliminating the need for ...,01-ssc-6959 sonicwall enforced client anti-virus and anti-spyware - subscription license ( 2,http://www.google.com/base/feeds/snippets/13656453846025266476
98,4269.47,,hp 389449-b21 : usually ships in 24 hours : : pgi server-class compilers and tools are for 32-bit x86 (amd athlon xp/mp intel pentium 4 and xeon) 64-bit amd64 technology (amd opteron athlon 64) and 64-bit ia32 (intel pentium and xeon with em64t) ...,389449-b21 pgi server compiler suite - license - 2 users - linux,http://www.google.com/base/feeds/snippets/13752749759046909510
99,1687.48,,adobe systems 19500220 : usually ships in 24 hours : in stock : adobe creative suite 3 design premium software is the designer's dream toolkit for print web and interactive and mobile publishing.,19500220 adobe creative suite 3 design premium - product upgrade package - 1 user - upgra,http://www.google.com/base/feeds/snippets/13744571495556854892
100,23.53,,microsoft 269-10040 : usually ships in 24 hours : : microsoft office professional edition 2003 can help you and your organization communicate information with immediacy and impact.,269-10040 microsoft office professional edition 2003 service pack - ( v. 2 ) - media - vol,http://www.google.com/base/feeds/snippets/13745636562555952245
101,1234.09,,sonicwall 01-ssc-6791 : usually ships in 24 hours : : high performance: using its unique pre-emptive scanning mail transfer agent (mta) sonicwall email security offers breakthrough message analysis.,01-ssc-6791 sonicwall email protection subscription - subscription license ( 2 years ) + dyn,http://www.google.com/base/feeds/snippets/13753377846949700108
102,377.06,,adaptec 5325301871 : usually ships in 24 hours : : snap care service programs continually offer the latest operating system software features and product enhancements for snap server systems.,5325301871 snap appliance snap care - snap enterprise data replicator technical support - c,http://www.google.com/base/feeds/snippets/13753749056061414333
103,6998.48,,datawatch fpmdps070-a02a : usually ships in 24 hours : : gartner group estimates that workers spend at least 10% of their time just looking for the information they need to perform a business task or make a decision.,fpmdps070-a02a monarch data pump - ( v. 7.0 ) - license - 2 additional processors - win,http://www.google.com/base/feeds/snippets/13763824093482212615
104,42.79,,microsoft 9am-00014 : usually ships in 24 hours : in stock : from award winning game developer aces comes flight simulator x.,9am-00014 microsoft flight simulator x deluxe edition - complete package - 1 user - pc - d,http://www.google.com/base/feeds/snippets/13764248919283244886
105,92.8,,watchguard technologies wg017196 : usually ships in 24 hours : : leaving network users free to roam the internet can cost your organization thousands of dollars in lost productivity reduced bandwidth usage and at worst increased legal liability.,wg017196 watchguard webblocker - subscription license ( 1 year ) - 1 device - win,http://www.google.com/base/feeds/snippets/13758530883098400588
