title,starring,entityUrl,writer,editor
Jet Lag,Juliette Binoche,Match22816,"Daniu00E8le Thompson
Christophe Thompson",
,John Joseph Nicholson,Match21104,Marion Rothman,
,Roselyn Sanchez,Match5117,Keoni Waxman,
,Heidi Van Lier as Heather,Match14130,Heidi Van Lier,
,Carmen Garcu00EDa Maura,Match2442,José Sanchís Sinisterra,
,Vera June Ralston,Match17671,Richard L. Breen,
Bed of Roses,Constance Campbell Bennett,Match18814,,
Urban Legends: Final Cut,Eva Mendes,Match20909,Paul Harris Boardman,
A Woman Called Golda,Leonard Simon Nimoy,Match12370,"Harold Gast,
Steve Gethers",
,Larry Fine (actor),Match3739,Elwood Ullman,
Les Filles Du Botaniste,Mylène Jampanoï,Match12338,Dai Sijie,
,Dolores del Rio,Match625,Geza Herczeg,
,Metin Akp?nar,Match21037,"Sinan u00C7etin 
 Gu00FClin Tokat",
The Dark,,Match13058,Stephen Massicotte,
A Frightful Blunder,Charles West (actor),Match12751,Edward Acker,
The Brothers Karamazov,Yuliy Borisovich Brynner,Match2112,Fyodor Dostoevsky,
Ghost Galleon,Barbara Rey,Match10929,Amando de Ossorio,
